 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  06/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.79,30.56,35.84,87.07,158.86,126.28,118.56,94.28,44.85,59.06,188.64,137.51,126.65,123.62,123.48,100.69,54.09,280.15,22.38,30.38,32.75,35.85
Maximum Price,73,67,70,153,203,190,180,163,70,83,262,235,220,180,210,168,167,560,31,64,70,107
Minimum Price,25,22,27,60,87,85,85,70,37,39,120,101,91,99,103,80,35,163,9,11,11,10
Modal Price,40,28,35,90,170,120,120,100,44,60,200,140,120,130,125,100,50,200,28,30,30,40
Andaman and Nicobar,48.33, ,68,95,171,154.33,136,100.67,54.33,73,232.5,173,178.33, ,132.67,118.67,77.33,308.33,19.67,56.67,53.33,76.67
Andhra Pradesh,60.25,44,44.25,89.25,176.25,135.5,125.25,97.5,43.5,59,164.75,164,110.5,124.5,109.25,91.5,60.25,350,22.25,33,28,39.75
Arunachal pradesh,46,45,44.75,99.25,151.75,133.25,123.25,103.25,53.33,75.33,143.5,154.33,152.33,136,177.67, ,76.5,301,19.33,32.33,40,50
Assam,42.82,32.15,36.14,87.82,157.93,115.38,116,92.18,47.22,71.31,208.14,149.93,136.18,137.89,148,115.16,59.26,252.74,13.37,29.46,35.14,37.12
Bihar,37.84,26.69,33,80.88,152.75,121.47,113.84,79.84,44.23,55.94,180.64,133.84,120.71,124.42,157.04,101.81,47.52,278.55,22.81,22.29,29.94,29.1
Chandigarh,40,32,35,88,148,120,119,98,44,62,190,148,122,129,137,105,52,280,27,24,32,35
Chhattisgarh,41.14,38.57,40.29,93.71,166.29,115.29,114.86,97.14,43.29,55.71,201,151.14,130.86,133,146.57,117.14,47,262,22.71,27.71,32.43,29
Delhi,40,29,31,92,173,143,123,90,44,56,207,148,130,128,139,104,58,243,26,30,35,28
DNH and DD,50,41,47.33,90,174.67,144.67,131.33,95,43.33,65,192,148,134,134.67,127,107.67,63.67,350,27.33,32,30,39
Goa,52.5,48,45.5,92.5,175,150,131.5,98,44,57.5,220.5,157.5,140,148,115,98.5,59,329,24.5,40.5,38,50.5
Gujarat,43.86,38.14,40.86,86.57,170.43,125.29,116.86,92.71,42.43,61.43,178.14,144.71,130,130,126.14,104.86,54.17,252,15.33,30.29,31,31.86
Haryana,49,30.5,33.5,82,142,116,115,100.5,44.5,62,187.5,129.5,126,130.5,149,117,49.5,261,27.5,19,30.5,23.5
Himachal Pradesh,41,22,33.33,85.58,164.42,134,116.17,88.42,47.25,52.08,219.5,160.67,137.5,129.1,143.5,118,48.58,269.58,27.5,30.42,35,29
Jammu and Kashmir,46,29.8,37,91.33,153.67,128.67,123.33,100.5,52.33,51.5, ,147,133.5,128.67,144.8,126,55,315,27.5,29.83,35.17,35.33
Jharkhand,39.37,31.39,34.84,80.89,156.42,119.68,111.63,82.37,45.56,59,178.92,138.05,123.95,126,151,103.53,48.94,288.94,24.33,26.05,29,29.58
Karnataka,60.03,43.81,47.23,93.81,166.19,141.81,127.52,107.03,42.71,50.17,179.06,163.58,119.84,137,119.9,97.9,52.29,291.6,20.33,36.58,33.16,37.71
Kerala,50.83,44.83,45.58,102.18,183,150,136.2,116,44.23,54.38,223.29,173.1,143.23,130,117.69,100.91,62.31,234.31,15.23,47.54,35.69,63.69
Madhya Pradesh,40.9,28.85,34.31,85.81,164.02,120,115.31,91.29,43.28,57.57,189.23,135.28,120.47,112.45,136.63,110.36,47.45,249.36,19.74,25.49,25.79,26.77
Maharashtra,51.68,38.26,42.53,89.58,174.53,134.74,127.74,96.89,42.84,59.58,182.16,157.78,127.79,110.95,120.79,102.19,54.74,298.84,23.32,37.21,30.37,37.63
Manipur,50,45,40,105,180,145,135,90,55, , ,140,130,130,125,130,85,240,25,36,47,35
Meghalaya,38,38.25,36.38,91.33,168,132,121.25,90,49.25,73.63, ,135.63,133,126.38,171,101.5,68.6,381.88,21,33.13,38.63,40
Mizoram,48.18,42,45.9,107.44,150.71,125.86,128.11,99.55,50.27,78,159.5,185.55,170.8,128.45,183.67,130.83,119.63,479.67,29.18,40.18,53.36,75.91
Nagaland,41.75,42.88,48,101.25,129.83,132.5,121.67,97.38,50.38,73.29,200,139.19,166,150.19,195,142.5,84,322.67,17.88,33.69,50.94,50
Odisha,37.5,36.67,39.4,84.1,163.4,126.8,113.7,82.8,46,52.6,162.5,136.6,108.33,124.67,113.8,94,52,265.38,26.3,27.4,31.7,44
Puducherry,64,45,40,91,173,134,120,90,43,48,193,146,141, ,110,98,48,297,26,43,36,28
Punjab,39.73,25.2,31.27,90.27,157.27,126.73,116.6,99.67,44.73,59.87,200.08,128.07,121.67,119.13,134.77,102.36,53.67,270.6,26.47,25,28.93,22.47
Rajasthan,40.63,29,32.83,75.97,128.6,110.83,104.03,89.37,42.77,51.5,185.29,146.61,122.85,133.33,156.48,115.2,44.37,297.62,20.81,24.62,33.55,33.28
Sikkim,54.2,35.2,38.4,85,133,126.6,124,101,49,63.4, ,166,127,137.25,170.2, ,59.2,410,18.6,36.4,47,42
Tamil Nadu,61.67,45.88,54.91,92.5,179.97,144.35,125,93.73,44.09,47.38,204.03,173.31,126.62, ,113,93.47,56.24,313.48,24.36,45.5,36.79,48.56
Telangana,54,42.7,45.9,80,164,129,119,92.6,41.3,66.3,162.4,165.6,121.1,150.5,115.9,97.7,56.6,301.9,20.78,31,26.7,31.8
Tripura,38.25, ,39,87,144.33,128,111.25,103.75,48,70.25, ,131.75,122.67,116,139.75,100.25,69.25,221.5,10,33.75,35.5,39
Uttar Pradesh,38.61,26.12,32.35,82.04,154.28,119.21,114.08,93.41,43.69,62.72,188.92,139.31,127.99,130.89,152.84,110.78,48.59,239.63,26.63,24.25,28.29,27.01
Uttarakhand,37.75,26.75,33.25,88.75,145.5,115,113.25,99.25,42.5,60,154.5,138.5,130.75,132.25,147,116.5,56.25,264,28,28.25,27,23.75
West Bengal,44.41,30.1,37.77,85.14,156.05,125.19,129.27,106.27,46.09,55.14,200.9,132.55,112.55,113.23,126.77,99.5,52.36,274.05,22.27,28.32,31.86,37
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 ,NR -&gt Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,

