 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  13/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.99,30.85,35.98,87.74,160.75,126.67,118.9,94.34,44.78,58.94,187.42,138.8,126.28,124.01,123.01,100.25,54.23,281.25,22.39,31.18,35.66,39.1
Maximum Price,72,67,70,153,206,190,180,166,70,83,262,235,220,180,210,175,175,560,31,66,70,103
Minimum Price,25,22,27,60,87,80,85,70,36,39,120,101,91,99,103,82,35,163,9,12,14,11
Modal Price,40,28,32,90,180,125,120,100,44,60,170,137.5,120,110,115,100,50,300,28,30,30,40
Andaman and Nicobar,48.33, ,68,95.33,172.67,154,135.67,101.33,55.33,73,232.5,172.33,171.33, ,128.67,114,76.33,318.33,20.67,53.33,53.33,84.33
Andhra Pradesh,60.6,44.4,47.4,87.6,173.6,138,126.2,102.8,42.6,60.4,165.8,169.4,111.2,143,111.4,91.2,58.6,327,21.6,34,31.8,38.6
Arunachal pradesh,48,45,45.67,102.33,149.67,130,120.33,106.67,55,80,143.5,176.5,168.5,144,186.5, ,80,327,20,35,44,55
Assam,42.04,32.62,35.88,89.65,163.04,115.23,116.31,92.27,47.42,70.84,211.17,149.42,135.3,136.77,146.91,113.17,58.92,252.08,13.54,30.23,36.77,41.52
Bihar,38.12,27.09,33.06,80.76,152.79,121.15,114.42,80.24,44.24,55.97,180,135.09,122.06,126.03,160.89,103.43,46.88,283.19,23.06,22.84,30,29.53
Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,24,32,35
Chhattisgarh,41.63,38.38,39.88,93.13,164.63,114.88,113.38,94,43.25,57.88,203.5,150,128.38,129.75,142.88,113.75,48.25,299.13,23.25,28,33.71,33.43
Delhi,40,29,30,97,177,147,127,90,44,56,207,148,130,128,139,104,58,243,26,32,45,30
DNH and DD,50,41.33,47.67,91.67,175.67,148,132.33,95.67,43.67,65,192.33,150.33,134,135,127.33,107,63.67,350,27.33,32.67,32.33,48
Goa,52.5,48,45.5,94.5,181,153.5,132.5,97,44,57.5,220.5,162.5,141.5,152.5,117.5,98.5,60,329,24.5,42,45,57
Gujarat,43.13,37.75,40.63,87.75,170,126,118.38,92.75,43,60.86,176.88,144,128.25,128.63,124.63,104.25,56.57,258.43,17.57,29.75,34.38,38.38
