 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  07/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.73,30.77,36.01,86.96,159.14,126.28,118.52,94.02,44.84,58.98,187.14,138.51,126.27,123.86,122.95,100.36,54.09,279.58,22.49,30.43,32.93,36.55
Maximum Price,73,67,70,153,210,190,180,166,70,83,262,235,220,180,210,175,167,560,31,67,70,107
Minimum Price,25,22,27,60,87,80,85,70,37,39,120,101,91,99,103,81,35,163,9,11,12,10
Modal Price,40,28,35,90,160,120,120,100,44,60,190,140,120,130,120,100,50,300,28,30,30,40
Andaman and Nicobar,48, ,68,95.33,171.33,155,136.33,100.67,55.33,73,232.5,173,177, ,132.67,119.33,77,308.33,19.67,56.67,53.33,76.67
Andhra Pradesh,60.2,44.4,47.4,87.4,173,137.6,126.2,102.8,42.8,60.4,165.8,169.4,110.4,143,110.4,91.2,59,327,21.8,34.75,28.5,40.75
Arunachal pradesh,46,45,44.75,99.25,151.75,133.25,123.25,103.25,53.33,76,143.5,154.33,152.33,136,177.67, ,77.5,298.5,17.5,32.33,40,50
Assam,42.89,32,36.07,87.7,157.74,114.7,115.78,92.48,47.11,71,212.8,149.08,136.1,136.81,146.91,114,59,253.56,13.41,29.44,35.22,37.52
Bihar,37.84,26.94,33.03,80.75,152.38,121.5,114.53,79.88,44.31,55.69,175.85,134.09,121.16,125.38,158.81,102.23,46.94,269.97,23.5,22.38,29.69,30.94
Chandigarh,40,32,33,95,162,130,125,98,44,62,190,148,120,129,135,105,55,260,28,24,32,35
Chhattisgarh,39,37.8,40.2,92.4,161.2,114.2,114.4,91.2,43,57.4,189.8,145.2,118.4,129.8,147.6,111,46.4,248,23.6,30.6,32.6,31.4
Delhi,40,29,31,93,173,143,123,90,44,56,207,148,130,128,139,104,58,243,26,30,35,28
DNH and DD,50,41,47.67,89.33,174.67,146.67,131,95,43.33,65,192,148.67,134,134.67,127,107.67,63.67,350,27.33,32,30,48.33
Goa,52.5,48,45.5,92.5,175,150,131.5,98,44,57.5,220.5,157.5,140,148,116.5,98.5,59,329,24.5,41,38,50.5
Gujarat,42.88,37.63,40.5,87.63,170.13,125.75,118.25,92.88,42.57,62,177,145,128.63,129,124.75,104.38,53.71,252.71,16.83,29.14,30.57,32.57
Haryana,43.25,30,34.5,77.75,129.25,107.25,107.75,96.25,43.33,57.67,178.25,137.5,127,126,155,104.25,48.33,215,24,19,33.33,23
Himachal Pradesh,40.83,22,33.33,86.58,165.92,135,115.83,88.92,47.17,52.25,219.5,161,137.5,129.1,143.5,118,48.58,270.33,27.5,30.58,36,28.83
Jammu and Kashmir,47.8,28,34.4,90.6,154.4,125.4,121,100.6,51.8,52.4, ,148,135,128.6,137,126,53.6,319.4,26.6,28.2,34.6,34.6
