 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  04/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.42,31.02,36.17,86.75,158.53,126.82,118.66,94.64,44.91,59.09,189.01,138.2,126.96,122.73,122.61,101.08,54.5,275.04,22.65,30.19,32.66,35.15
Maximum Price,72,67,69,140,203,190,165,158,70,83,262,235,220,180,210,168,167,540,31,60,70,107
Minimum Price,25,22,27,60,87,85,85,70,37,39,120,101,91,99,103,84,35,163,9,11,15,10
Modal Price,40,28,35,90,160,120,120,100,44,60,200,150,120,130,125,100,50,260,28,30,30,40
Andaman and Nicobar,48.33, ,67.67,95,171,154.33,136,100.67,54.33,73,232.5,173,178.33, ,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67
Andhra Pradesh,52.5,45,47.5,92,179,138.5,125,88.5,44,61,166,162,110.5, ,107,91.5,58,288.5,20,36,31.5,40.5
Arunachal pradesh,46,45,44.75,99.25,151.75,133.25,123.25,103.25,53.33,74.67,143.5,154.33,152.33,136,177.67, ,72.5,313.5,20,33,40,50
Assam,41.74,33.11,35.83,85.52,157.26,113.11,115.39,92.43,47.23,72.24,220,147.82,132.47,133.55,146.56,111.71,59.77,242.23,13.55,29.27,34.86,37.75
Bihar,37.68,26.68,32.32,80.68,152.58,120.89,115.16,80.16,44.53,56.42,170.8,134.37,120.26,125.63,156.2,105.82,47.37,259.84,23.74,21.53,29.95,27.47
Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,20,33,40
Chhattisgarh,38.75,39.25,39,92.5,165.75,124.25,121,98.5,43.75,51,190.25,157.5,143.25,142.5,152.5,127.5,47,240.75,19.5,27.25,33.25,31.25
Delhi,40,29,31,88,173,142,123,90,44,56,207,148,130,128,139,104,58,243,26,28,32,28
DNH and DD,50,41,47.33,89.33,174.67,144.67,131.33,95,43.33,65,192.33,148,134,134.67,127,107.67,63.67,350,27.33,32,29.67,33.67
Goa,53,50,51,90,170,148,125,98,44,59,223,140,137,123,120,98,60,343,24,38,33,42
Gujarat,43.83,36.67,40.17,87,167,127.17,120,94,42.5,61.33,179.17,144.2,125.5,127.33,125.17,104.83,50.6,247.67,16.5,27,29,30.33
Haryana,43.75,29.75,34.5,77.5,126.75,107.75,107.25,95.75,43.5,60,177.25,137,128,128.25,154.25,106,48.5,231.25,25.5,19.5,35.25,26.75
Himachal Pradesh,40.67,22,33.08,85.58,164.08,134.08,116.25,88.25,47.08,52,219.5,160.75,137.58,129.7,143.5,118,48.5,269.58,27.5,30.25,35,30.08
Jammu and Kashmir,48,30,38.4,92,158,129.4,124.6,101.6,51.8,51.6, ,147,134.6,128,144,121.33,57,306,26.6,30.2,35.2,32.6
Jharkhand,39.5,31.47,35.38,81.13,154.19,120.56,112.31,83.19,45.67,59.21,168.64,139.19,125.56,127.53,152.75,104.67,49.13,282.21,24.2,25.5,29,29.38
Karnataka,59.83,44,47.53,92.1,165.67,141.23,126.63,107.1,43.1,50.6,181.37,163.83,120.43,135.31,118.73,98.4,53.13,291.63,20.8,35.5,31.9,35.5
Kerala,50.42,44.5,45.73,102.42,183.25,152.27,136.64,114.08,44.38,54.38,225.86,176.3,143.92,130,117.85,100.82,62.69,232.33,14.92,48.08,35.77,57.38
Madhya Pradesh,40.71,28.59,34.26,83.82,166,120.09,115.12,91.09,43.33,57.12,190.88,135.42,120.55,112.82,139.25,114.25,47.36,245.3,19.48,25.53,25.35,26.56
Maharashtra,51.37,38.42,42.58,89.26,174.11,134.68,127.84,97.26,42.74,59.47,182.11,157.94,127.74,111.05,120.47,102.25,54.42,298.89,23.32,36.68,29.11,35.47
Meghalaya,38.71,37.5,36.43,89.5,158,134,121.43,89.71,49.29,74.14, ,127.57,132.33,121.71,190.5, ,73.2,349.29,23.29,32.57,39.86,42.71
Mizoram,48.18,42,45.9,107.44,150.71,125.86,128.11,99.55,50.27,78,159.5,185.55,170.8,128.64,183.67,130.83,119.63,479.67,29.18,40.18,53.36,75.91
Nagaland,41.75,42.88,48,100.83,130.25,133.13,121.67,97.38,50.38,73.29,200,139.19,166,150.19,195,142.5,84,322.67,17.88,33.69,50.63,49.38
Odisha,37.89,38,40.12,83.56,161.28,125.67,113.61,83.56,44.83,52.65,172.5,139.39,112.65,125.6,116.22,96.11,50.17,263.92,26.44,27,33.17,38.11
Punjab,39.8,25.07,31.07,89.93,155.6,126.73,116.73,99.8,44.67,59.4,199.25,126.93,121.86,119.29,135.17,103,53.53,268.2,26.47,24.33,28.27,23.27
Rajasthan,39.65,29.55,32.45,77.9,134.1,112.85,104.9,88.3,42.75,51.5,186.26,146.21,122.83,126.61,152.65,110.33,45,280.15,19.65,24.26,32.32,32.68
Sikkim,54.2,35.2,38.4,85,133,126.6,124,101,49,63.4, ,166.6,127.2,137.5,170.2, ,59.2,410,18.6,36.4,47,42
Tamil Nadu,60.96,45.5,53.79,92.21,178.72,143.52,124.66,94.12,44.21,46.17,204.07,172.56,127.69, ,113.03,92.69,55.52,300.43,24.17,44.83,36.1,42.03
Telangana,51,40.86,45.86,78.57,159.57,127.57,117.43,90,40.14,65,162.14,163.29,117.57,142.67,113.57,98.14,56,295.57,19.5,26.14,26.71,30.14
