 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  10/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.77,30.8,35.98,87.3,159.65,126.3,118.59,94.3,44.84,59.08,187.62,138.16,126.45,123.62,123.15,100.22,54.1,279.89,22.53,30.57,33.98,37.11
Maximum Price,72,67,69,153,210,190,180,166,70,85,262,235,220,180,210,175,167,560,31,65,70,107
Minimum Price,25,22,27,60,87,82,85,70,37,39,120,101,91,99,103,81,35,163,9,12,13,10
Modal Price,40,28,35,90,160,120,120,100,44,60,170,150,120,120,115,100,50,300,28,30,30,35
Andaman and Nicobar,47.5, ,67,95,169,155,136.5,103.5,55.5,73,232.5,176,166.5, ,133,116,79.5,300,19.5,55,55,80
Andhra Pradesh,60.2,44.4,47.4,87.4,173,137.6,126.2,102.8,42.8,60.4,165.8,169.4,110.4,143,110.4,91.2,59,327,21.8,33.8,29.8,33.6
Arunachal pradesh,46,45,44.75,100.5,151.75,133.25,123.25,103.25,53.33,75.67,143.5,156,152.33,136,177.67, ,76,303.5,19.33,32.67,40,50
Assam,42.48,32.55,36.24,88.48,158.84,114.52,115.6,93.16,47.36,71.28,209,149.12,136.1,135.6,147.57,114.18,59.4,249.88,13.6,29.72,36.04,40.35
Bihar,38.06,27,33,80.65,150.88,121.59,113.76,80,44.21,56.3,177.75,133.82,122.03,125.67,161.56,103.21,46.94,275.7,22.91,22.18,29.73,29.67
Chhattisgarh,42,39,41,93,162.67,112.83,112.5,94,43,57.67,200.17,143.83,123.17,125.67,141.83,109,47.67,260.5,24.5,29.17,33.33,31.33
Delhi,40,29,31,93,173,143,123,90,44,56,207,148,130,128,139,104,58,243,26,32,42,28
DNH and DD,50,41,47.67,91,175.67,148.33,132.33,96.33,43.33,65,192,150.33,134,135.33,127.67,107.67,63.67,350,27.33,32.33,31,47.33
Goa,52.5,48,45.5,93.5,179.5,152.5,135,98,44,57.5,220.5,162.5,140.5,152.5,117.5,98.5,59,329,24.5,42.5,42.5,55
Gujarat,40.57,37.29,40,87.14,169.14,123.71,116.57,91.57,42.71,60.57,178,146.43,129.57,130.29,125,101.71,55,248.86,16.43,29.71,35.29,39.29
Haryana,44.33,31.67,34.33,82,139,111.33,113.67,99,44.33,61.67,175.33,128.67,126.67,124,150.67,108.33,50.33,245,27.33,21,37.33,25.67
Himachal Pradesh,40.83,22,33.5,88,167.17,134.92,116.08,89.33,47.08,52.08,219.5,161.33,137.58,129.2,143.5,118,48.83,270.33,27.5,30.92,37.25,28.42
Jammu and Kashmir,46.5,30,37.83,92.5,155,127.83,123.83,101.33,52,51, ,148.33,135.33,129.67,144.2,126,54.17,317.83,27.4,29.83,35.83,33.67
Jharkhand,39.47,31.39,34.84,81.26,156.26,119.89,111.63,82.37,45.61,59,178.92,138.05,123.79,125.83,151.13,103.59,49.06,286.94,24.33,26.21,29.79,29.89
Karnataka,59.94,43.75,47.59,93.63,166.44,141.47,127.47,106.84,42.78,50.94,180.47,162.91,120.38,136.35,120.38,97.59,52.78,290.03,20.5,36.16,33.42,40.81
Kerala,50.77,44.92,46,102.42,185.75,150.45,137.36,115.17,44.08,54.38,221.4,170.63,145.58, ,117.62,99.36,61.5,231.67,14.6,46.14,39.64,62.5
