 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  25/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,45.04,31.08,36.16,88.71,161.94,127.19,119.12,94.24,44.96,59,188.12,139.57,127.22,123.68,123.31,100.41,54.58,280.72,22.5,33.3,40.33,50.94
Maximum Price,75,52,70,153,207,190,180,166,70,83,262,235,220,180,210,175,175,560,33,73,80,120
Minimum Price,25,22,27,60,87,80,85,71,38,39,118,106,91,99,103,81,35,160,9,12,17,17
Modal Price,40,28,35,90,160,120,120,100,44,60,170,140,120,130,115,100,50,300,28,30,40,40
Andaman and Nicobar,48.67, ,68,96.33,174.33,156.67,135.33,100,54,73,232.5,172.33,164.33, ,128.33,114.33,77,314.67,20.67,62.5,55,105
Andhra Pradesh,60.6,44.4,47.4,88,176.8,138,125.8,101.6,42.8,60.4,166.8,167,111.2,148.67,111.4,90.2,58.6,317,21.8,35.4,40.6,54.6
Arunachal pradesh,46,45,44.25,101.75,156.75,131,122.5,105,53.33,76,143.5,157.67,161,139.33,181, ,75,298.5,18.33,38,46.67,66.67
Assam,43.27,32.77,36.5,89.23,160.31,114.23,115.38,92.81,47.46,71.4,210.33,150.46,136.75,137.36,147.4,115.39,59.35,257.15,13.52,31.88,41.85,50.44
Bihar,38.28,27.22,33.08,81.94,153.75,120.94,114.61,80.11,44.33,55.92,182.44,134.94,122.56,125.89,159.66,102.57,47.67,281.92,23.25,24.42,32.86,33.75
Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,27,40,40
Chhattisgarh,40.33,38.17,40,95.5,163,118.33,114.83,94,43.83,54.5,197.17,156.33,131,134.83,143.33,116.83,47.83,311.67,21.5,34.67,40.5,56
Delhi,40,29,32,97,177,143,127,90,44,56,209,148,129,128,139,104,58,243,26,32,50,37
DNH and DD,49.33,41.33,47.33,91.67,177,149,131,95.33,43.67,65,192,153.33,134.67,135,127.33,107.67,63.67,350,27.33,35.67,39.67,70.33
Goa,52.5,48,46.5,95.5,188.5,154,134,97,44,57.5,219,161,143,154,117.5,98,60.5,329,24.5,42,44,65
Gujarat,43.13,38,39.88,88.25,171.13,127.63,119.13,93.38,43.43,60.86,177,143.25,127.25,128.5,124.88,104.88,56.86,256.86,17.43,32.63,38.5,47.25
Haryana,42,30,33,79.33,137,107.67,106.67,90.33,45.67,61.67,177.67,142.33,124.33,119.67,145.67,97,49.33,220.67,24,24.33,40,29.33
Himachal Pradesh,41.08,22,33.17,90.25,170,135.5,117.17,89.83,47.08,52.17,219.75,163.08,138.42,129.5,143.5,118,48.67,270.75,27.5,33.17,45.33,35.17
Jammu and Kashmir,45.86,32.33,37.43,97.14,150.86,126.86,124.71,102.43,50.71,50.57, ,153.14,136.71,132.71,145.33,125.25,53.43,319,27.5,31.86,38.71,39.86
Jharkhand,40.06,31.76,35.44,85.61,160.17,120.89,113.67,83,45.71,58.94,176.42,141.11,127.5,126.12,149.86,104.76,50.35,278.06,24.88,29.33,35.67,47.47
Karnataka,59.94,43.59,47.72,94.66,169.72,142.41,127.16,107.38,42.94,51,180.39,162.58,121.29,135.6,121.06,97.52,52.68,286.9,20.56,38.66,39.94,60.78
Kerala,50.31,44.77,45.69,103.25,190,150.73,136.45,114.08,44.29,54.21,220.17,162.25,145.07,129,118.21,99.83,62.5,234.07,14.92,50,42.86,76.21
Madhya Pradesh,40.8,29.09,34.35,85.72,165.13,119.57,115.39,92.04,43.58,57.82,189.41,136.3,121.09,113.07,135.86,111.63,48.49,254.24,19.39,29.87,34.04,43.18
Maharashtra,53.26,38.95,43,92.16,178.63,136.68,127.42,97.16,43,59.84,183,159.33,129.74,112.42,122.53,103.13,55.47,302.26,23.63,40.11,39.74,65.53
Manipur,50,43,40,100,180,145,140,95,55, , ,150,140,140, ,140,85,220,25,40,45,35
Meghalaya,46.2,38.4,36.7,94.67,164.29,132,121,89.8,49.4,73.6, ,135,138,125.7,172,126,73.83,374.2,21.3,35.9,45.8,55.7
Mizoram,47.91,42.1,45.9,107.44,151.14,125.29,127.78,100.27,50.55,77.82,159.5,185.55,170.8,126.82,190.25,130.83,121.71,477.78,29.18,43.45,54.36,78.91
Nagaland,41.75,42.88,48,102.5,131.08,133.13,121.67,97.69,50.06,73.29,200,138.88,166,150.19,195,142.5,84,322.67,17.88,33.38,56.56,69.69
Odisha,38.7,37.47,39.55,85.26,165.35,124.74,111.61,81.52,44.91,52.3,182.6,141.7,113.09,127.33,114.35,95,51.04,276.5,25.74,32.22,39,61.74
Puducherry,65,45,40,91,178,138,121,90,43,48,203,146,142, ,110,100,48,298,26,45,40,31
Punjab,39.93,25.2,31.33,91.13,160.53,128.6,118.27,98.13,44.67,60.93,200.69,129.8,122.47,117.6,135.23,102.36,54.53,281.33,26.33,29.33,42.07,33.27
Rajasthan,41.75,29.21,32.75,78.13,131.33,112,105.29,89.75,42.5,51.42,182.52,146.71,122.68,132.75,159,110.33,44.96,294.23,20.48,26.83,36.7,38.74
Sikkim,52,35.2,38.4,86,136.25,126.6,125,100,49,63.4, ,167.8,128.4,138.75,177, ,60.2,380.75,18.8,36.6,55,67.4
Tamil Nadu,61.91,45.03,54.97,94.41,182.59,144.88,125.41,94.41,44.16,47.31,205.59,174.83,126.81, ,113.53,94,56.28,313.39,24.5,48.25,46.66,70.38
Telangana,53.8,42.2,45.9,80.44,166.3,130,119.6,93.1,41.4,65.2,162.4,163.8,121.3,149.83,115.4,98,56.3,304.6,20.1,35.4,44.7,67.4
Tripura,38.5, ,39,87.33,146.67,128,111.25,103.5,48,71.25, ,132.25,122.67,116,139.75,100.25,69.25,221.5,10,34.25,46.75,52.75
Uttar Pradesh,38.97,26.42,32.69,84.53,159.35,121.7,115.3,93.84,43.84,62.84,189.89,140.41,127.68,130.15,152.52,110.23,49.82,238.86,26.7,28.23,37.59,37.16
Uttarakhand,37.75,26.5,34,90.5,145.5,115.5,113.5,99.5,42.75,60.5,154.5,139,130.25,131.75,147.25,116.5,56.75,264,28,30.75,36.25,29.25
West Bengal,44.67,30.67,37.81,85.1,156.05,123.7,131.43,106.81,46.14,54.9,196.64,132.48,115.33,113.57,127.48,99.75,52,271.24,21.65,29.81,39.1,55.67
