 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  28/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.91,31.14,36.14,88.44,161.99,126.89,118.85,94.29,44.88,59.2,187.82,139.9,126.77,123.92,123.2,100.42,54.53,279.77,22.34,33.68,41.18,51.98
Maximum Price,75,64,70,155,207,190,180,173,70,83,262,235,220,180,210,175,175,520,31,80,90,120
Minimum Price,25,22,27,60,87,82,85,71,37,40,118,107,94,99,104,81,35,160,9,12,20,18
Modal Price,40,26,35,90,170,120,120,100,44,60,170,140,120,120,115,100,50,300,28,30,40,40
Andaman and Nicobar,48.33, ,68,95,172.67,155,136.67,100.33,55.33,73.33,232.5,174.67,165, ,129.67,114,77.33,307.67,21,61.67,56.67,110
Andhra Pradesh,60.6,43.8,47.4,88,176.8,138,125.8,101.6,42.8,60.4,166.8,167,111.2,147.33,111.4,90.2,58.6,317,21.8,36,40.4,52
Arunachal pradesh,46,45,44.25,101.75,157.75,131,122.5,105,55,77,143.5,157.67,167.33,139.33,181, ,80,327,17.5,38.67,46.67,66.67
Assam,42.84,33.08,36.64,89.96,162.32,114.14,116.72,93.04,47.6,71.88,215.8,150,135.84,137.36,147.3,113.41,59.72,258.44,13.56,32.32,42.08,56.88
Bihar,38.44,27.03,33.34,81.72,152.69,121.31,114.28,80.06,44.34,56.03,179.29,135.97,123.5,126.97,158.5,104.82,47.25,282.69,22.91,25,34.81,37.88
Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,28,40,43
Chhattisgarh,38.5,37.5,39.5,93.83,160.17,113.33,113.83,94.67,43.5,55.33,191.83,154.83,128.67,137.67,153.5,119.83,45.83,252.17,21.5,34.67,39.67,51.5
Delhi,40,29,32,97,177,143,127,90,44,56,209,148,129,128,141,104,58,243,26,33,50,40
DNH and DD,49,41.33,47.33,91.33,177.33,149,131,95.33,43.67,65,191.67,153.33,134.67,135,127.33,107.67,63.67,350,27.33,36,39.33,71
Goa,52.5,48.5,46.5,95,183.5,152.5,132.5,97.5,44,57.5,220,161,143,154,117.5,98,60.5,329,24.5,42,44,62.5
Gujarat,42.14,38.57,40,87.57,171.71,126.57,120.43,92.43,43,62,176.29,142.86,125.43,129,125.29,105.57,56.57,251.71,14.71,33.29,40.29,57.43
Haryana,39.5,29.5,32.5,78.5,143.5,108,107.75,86.5,45.5,60.75,179.75,138.75,120.5,118.5,140,95.75,49.25,225.5,24.75,23.75,38.25,31
Himachal Pradesh,41.08,22,33,90.58,170,136.17,117,90,46.83,52.17,216.25,164,138.67,130.2,140.5,115.5,49,270.75,27.67,33.08,45.75,35.83
Jammu and Kashmir,45.2,32.6,38.4,101,152.4,131,126.6,105.4,50.2,48.8, ,152.4,137,134.2,143.8,120.33,54.2,305.8,28,33,40.8,38
Jharkhand,40.05,31.67,35.37,85.89,160.79,120.89,113.84,82.95,45.72,59.18,180.46,140.74,127.21,125.5,153.13,105.67,51.17,284.94,25,29.95,36.63,52.37
Karnataka,59.97,43.39,47.39,93.65,170.77,141.81,127.16,107.23,42.9,51.33,180.43,161.73,120.97,134.83,120.3,96.97,52.77,287.97,19.97,40,41.14,63.86
Kerala,49.64,45.36,46.45,105.73,191.6,150.45,138.7,116.73,44.08,53.58,222.75,165.5,146.67, ,118.64,99.5,61.55,238.25,15.09,49.67,42.58,64.91
Madhya Pradesh,41,29.28,34.49,86.02,165.72,119.89,115.51,91.7,43.34,57.57,189.94,136.21,120.3,112.87,135.04,110.22,48.3,253.96,19.55,31.45,36.19,50.06
Maharashtra,53.53,39.05,42.89,92.37,179.21,136.11,127.21,96.21,43.16,59.95,183,159.44,129.79,112.42,122.68,102.75,55.63,302.79,23.63,41.21,39.84,62.63
