 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  11/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.89,30.84,36,87.52,159.93,126.29,118.74,94.2,44.8,58.94,187.65,138.62,126.21,123.44,123.21,100.53,54.06,281.17,22.44,30.73,34.66,38.14
Maximum Price,72,62,70,153,210,190,180,166,70,83,262,235,220,180,210,175,167,560,31,67,70,107
Minimum Price,25,22,27,60,87,80,85,70,37,39,120,101,91,99,103,82,35,163,9,12,13,10
Modal Price,40,28,35,90,160,120,120,100,44,60,200,135,120,130,115,95,50,300,28,30,30,30
Andaman and Nicobar,48.33, ,68,95.33,173,154.33,136,101,55,73,232.5,172.33,174.33, ,129.33,116.33,75.67,316,20,53.33,53.33,81.67
Andhra Pradesh,60.75,44,44.25,89.5,177,136,125.25,97.5,43.25,59,164.75,170.67,111.5,124.5,110.5,91.5,59.75,359.25,22,33.5,31.5,41.75
Arunachal pradesh,48,45,46.33,102.33,149,131,121,107.67,55,80,167,163,137,143,163, ,72.5,327,20,31.5,40,50
Assam,42.32,32.42,36.4,89.2,160.48,114.36,116.76,92.48,47.24,71.2,212.8,150.12,135.89,135.28,145.81,113.88,59.48,255.24,13.52,30.16,35,40.48
Bihar,37.89,27.14,33.14,80.97,152.56,120.86,114.64,80.06,44.36,56.06,179.27,135.31,121.39,125.69,156.93,104.03,46.86,279.43,23.56,22.86,29.72,30.17
Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,24,32,35
Chhattisgarh,41.33,39.17,39.17,90,164.33,114.33,114.83,96,43.17,56.5,200,149.67,135.67,132.83,148.83,119.17,47.83,247.17,22.33,27.83,33.33,32.5
Delhi,40,29,31,93,173,143,123,90,44,56,207,148,130,128,139,104,58,243,26,32,42,28
DNH and DD,50,41.33,47.67,91.67,175.67,148.67,132.33,96.33,43.33,65,192,150.33,134,135.33,128,107.67,63.67,350,27.33,32.67,31.33,46
Goa,52.5,48,45.5,93.5,180,154.5,135,98,44,57.5,220.5,162.5,140.5,152.5,117.5,98.5,59,329,24.5,42,45,56
Gujarat,42.14,38.29,40.86,87.43,170.29,124.71,119.86,91.71,42.86,62,176.14,143.57,126.29,128.86,124.29,105.14,53.67,251.29,14.86,29.86,35,39.86
Haryana,43.25,30,34.5,77.75,129.25,107.25,107.75,96.25,43.75,60,177.75,137.75,127.5,127.25,153.75,106.25,48.75,231.25,25.5,19.5,34.25,24.25
Himachal Pradesh,40.64,22,33.09,87.91,166,133.55,115.73,88.82,46.73,51.55,223,161.45,138,129.22,143.5,118,48.18,274.91,27.45,30.45,39,28.55
Jammu and Kashmir,47.17,32.8,39.33,97.5,151.67,127.83,125,103.5,50.8,50.8, ,149.67,136.33,131.33,143,121.33,53.2,312.8,27,29.5,36,31.83
Jharkhand,39.42,31.39,34.84,81.11,156.26,119.84,111.53,82.26,45.61,59,178.92,138.21,123.95,126.11,150.93,103.88,49.11,286.89,24.33,26.21,29.79,30.05
Karnataka,59.91,43.75,47.56,93.94,167,141.5,127.53,106.88,42.81,50.91,180.63,163.13,120.44,136.23,120.41,97.69,52.78,290.47,20.47,36.5,34,41.22
Kerala,50.67,44.67,46.18,102.36,185,150.5,136.1,116.55,44.31,54.38,221.4,170.63,141.83, ,117.08,100,62.46,236.92,15.09,48.23,42.15,66.15
Madhya Pradesh,41.07,28.7,34.04,86.59,164.5,119.78,115.04,91.8,43.4,57.91,189.36,135.04,120.38,112.91,137.23,110.9,47.67,256.35,18.93,26.4,28.6,28.62
Maharashtra,51.68,38.58,42.63,90.47,175.58,134.84,127.37,96.42,42.95,59.63,182.37,158,128,111.53,121.26,102.19,55.11,299.21,23.37,37.37,34.58,43.68
Meghalaya,46.1,38.3,36.9,93.17,162.86,134.67,121.1,90,49.5,73.8, ,134.8,138,128.1,172,126,73.83,371,21.3,34.7,41,45.6
Mizoram,48.18,42,45.9,107.44,150.71,125.86,128.11,99.55,50.27,78,159.5,185.55,170.8,128.45,183.67,130.83,119.63,479.67,29.18,40.45,53.36,75.91
Nagaland,41.53,43.29,48.87,105,133,136.43,122.5,98.33,50.67,72.17, ,138.47,157.5,148.87,190,120,84.44,330.71,18.07,33.33,51,54.33
Odisha,38.35,37.25,40.45,84.3,162.9,122.9,112.4,83.15,44.85,52.26,155,141.1,116.32,120.83,116.7,95.05,50.7,277.88,25.45,26.05,35.7,41.8
Puducherry,64,45,40,91,173,136,120,90,43,48,193,146,141, ,110,98,48,297,26,43,36,28
Punjab,39.87,25.2,31.07,90.13,157.73,126.67,116.73,98.87,44.8,60.53,199.46,128.27,121.4,116.53,134,102.27,53.93,273.67,26.4,25.93,33.53,23.2
Rajasthan,41.73,29.15,33.12,76.42,132.12,112.35,105.38,89.62,42.36,52.04,180.44,146.44,123.13,131.63,157.41,114.25,44.2,292.38,20.17,24.92,32.83,33.75
Sikkim,53.25,35,39,86.25,132.5,124.5,122.5,98.75,48.75,64.25, ,161.5,117.25,137.5,160.25, ,57.5,426.75,19,37,48,42.5
Tamil Nadu,62.03,45.69,54.68,93.06,181.15,144.44,124.76,94.03,44.09,47.18,204.09,173.44,126.88, ,112.82,93.18,56.24,309.08,24.67,46.55,42.27,56.73
Telangana,54.3,42.7,45.9,80,164.7,129.3,119.3,93.4,41.3,66.3,164.4,165.6,121.2,150.5,115.9,97.7,57.1,301.9,20.4,31.5,27.4,35.3
Tripura,38.5, ,39,87,144.33,128,111.25,103.75,48,70.25, ,132.25,122.67,116,139.75,100.25,69.25,221.5,10,35,38.75,45
