 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  21/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.73,31.05,36.03,88.23,161.29,126.64,118.95,94.2,44.91,59.17,188.77,139.94,126.93,123.76,123.38,100.45,54.66,279.5,22.65,32.58,38.67,47.95
Maximum Price,77,64,70,153,207,190,180,166,70,83,262,235,220,180,210,175,175,559,32,77,70,120
Minimum Price,25,22,27,60,87,80,85,71,38,39,118,106,91,99,103,80,36,160,9,12,17,16
Modal Price,40,28,35,90,160,120,120,100,44,60,200,140,120,120,115,100,50,300,28,30,40,40
Andaman and Nicobar,48.67, ,68,96.67,173.33,156.33,136,100,55,73.33,233.5,174.33,163.67, ,128.67,114.33,78.33,316,21,61.67,56.67,106.67
Andhra Pradesh,62,42.75,45.5,86.75,172.75,135.75,124.75,103,42.75,58.5,166.75,165.67,109,159.5,112,89.5,58,288.33,22.5,34.5,38,59.75
Arunachal pradesh,46,45,44.25,101.75,152.75,132,122.5,104.25,55,77,143.5,157.67,153.33,138.67,180, ,75,298.5,20,38.33,45,56
Assam,41.83,32.27,36.83,89.29,160.42,114.24,115.33,92.29,47.54,71.13,210.67,151.04,136.63,134.71,143.42,116.47,59.54,248.92,13.79,31.75,39.21,50.18
Bihar,38.06,27.37,33.03,81.63,154.46,120.89,114.29,80.31,44.35,56.38,180,135.56,122.32,126.21,159.93,103.44,47.59,279.33,23.15,23.73,32.03,31.64
Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,24,38,35
Chhattisgarh,42,38.25,39.88,92.88,163.63,114.25,113.5,93.88,43.63,57.88,204.38,150.75,128.5,129.75,142.88,113.75,48.5,299.75,23.38,32.88,38.88,44.63
Delhi,40,29,31,97,177,147,127,90,44,56,209,148,130,128,139,104,58,243,26,30,50,33
DNH and DD,50,41.33,47.33,91.67,177.33,148.67,131.33,95.33,43.67,65,192.67,150.33,134,135,126.67,107,63.67,350,27.33,34.67,35.67,53.67
Goa,52.5,48,45.5,95,186.5,153.5,133.5,96.5,44,57.5,219,161,140.5,155,117.5,98,60.5,329,24.5,42,43.5,64
Gujarat,38.67,38.17,40.4,86.83,169.5,122.67,118,90.5,43.17,61,177.17,145.17,127.5,130.83,125.17,102.33,58.33,249.33,14.33,30,36.83,45.83
Haryana,40.67,27,31.33,76.33,141,108.33,104.67,85.33,45,60,187.33,138.67,117,120,134.33,96,47.33,230.67,23.67,22.33,30,24
Himachal Pradesh,40.92,22,33.25,88.42,168,135.83,117.17,89.67,47.08,52.17,219.75,162.25,138,129.4,143.5,118,48.83,270.42,27.58,31.5,42,32.42
Jammu and Kashmir,44.6,33,36.75,99.2,151.4,129,126,103,52,49.4, ,148.8,137.2,133,142.8,120.33,55.8,309.8,28,32,38.2,37.6
Jharkhand,39.78,31.76,35.39,83.5,159.5,120.72,112.67,82.39,45.76,59,175.67,141.11,125.89,125.88,151.46,104.47,49.65,278.29,24.35,28.44,34.72,40.39
Karnataka,59.67,43.77,48.16,95.03,169.13,142.03,127.63,107.65,42.94,50.71,179.47,162.74,121,135.57,120.94,97.61,52.48,286.97,20.37,38.61,38.94,59.71
Kerala,49.64,44.55,46.09,103.8,189.78,149.22,138.78,118.6,44.18,54.82,216.8,162.57,144, ,118.45,100.56,61.73,234.9,15.2,52.82,44.09,89.09
Madhya Pradesh,41.15,29.19,34.38,86.17,165.1,119.67,115.67,91.67,43.43,57.65,190.11,135.98,120.87,112.7,135.96,110.17,48.07,253.52,19.6,28.56,32.42,36.42
