 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  16/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,45.02,31.02,36.2,87.2,163.45,127,118.7,94.23,44.32,58.24,185.91,138.65,124.09,120.82,121.76,99.97,52.38,270.88,22.83,30.93,35.36,37.74
Maximum Price,71,51,65,140,196,174,163,147,60,80,253,235,220,180,210,168,175,559,30,63,70,80
Minimum Price,25,22,27,60,87,89,87,70,38,39,118,101,91,99,104,83,35,160,9,12,14,11
Modal Price,40,28,32,90,160,130,120,100,44,60,185,130,120,130,125,95,50,200,28,30,40,35
Andhra Pradesh,59,45.5,49,88.75,173.25,140.75,127.5,102,42.5,63.25,165.25,168.5,111.25,150,111.25,90.75,58.5,312,21.5,35.5,34.5,45.5
Arunachal pradesh,55,45,49,105,156,135,120,110,60,80,167,163,137,143,163, ,80,327,20,50,50,70
Assam,42.73,32.43,37.07,86.4,159.4,111.42,116.47,93.33,47,71.13,215,149.8,135.18,132.87,146,109,60,247.67,14.93,30.07,38,47.07
Bihar,36.81,27.5,32.31,82.69,156.81,122.31,115.06,80.19,44.81,57,170.29,135.19,118.5,122.06,155.79,102.92,47.44,274.25,22.69,24.75,31.56,31.31
Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,24,32,35
Chhattisgarh,40.8,38.6,38.6,87.2,160.6,118.4,119,87.2,43.2,61.8,197,141.8,120.6,125.2,143.8,109.6,50.2,289.6,24.2,31.6,33.8,39.8
Delhi,40,29,31,97,177,147,127,90,44,56,209,148,130,128,139,104,58,243,26,30,48,32
DNH and DD,50,41.33,47.67,91.67,177,148,132.67,95.67,43.67,65,192.33,150.33,134,135,127.33,107.33,63.67,350,27.33,32.67,32.33,47.67
Gujarat,46.67,39.33,43.33,89.33,170.67,132.67,129.33,99.33,42.67,63,180,145,130.67,133,130.33,115.33,49.33,252.33,17.67,30.33,32,33
Haryana,36.5,26,31.5,70.5,128.5,103,99,82,43,56.5,188.5,144,119,126.5,143,100.5,46.5,216,22.5,15,22.5,17
Himachal Pradesh,40.75,22,33.33,87.92,167.25,135.25,116.67,89.5,47.08,52.17,219.5,162.25,138,129.4,143.5,118,48.67,270.33,27.5,31.67,41.42,29.5
Jammu and Kashmir,38.5,35,43,94,147.5,132.5,130,100,50,47, ,145,137.5,134,163,140,54,333.5,28,35,37.5,41.5
Jharkhand,39.75,32.18,35.17,82.25,157.75,117.17,111.58,83.67,45.36,58.9,187.75,140.17,119.67,126.64,154.33,106.73,49.55,281.73,23.36,26.5,32.67,32.42
Karnataka,59.83,43.6,46.87,94.73,167.9,141.33,127.07,105.6,42.97,50.47,179.8,163.47,119.03,136.07,119.03,97.3,52.4,289.23,19.93,38.23,36.7,47.8
Madhya Pradesh,41.47,28.71,34.18,86.03,166.37,120.42,115.21,92.45,43.45,57.84,190.61,134.92,119.61,112.11,136.76,111.72,47.82,254.24,18.61,27.92,29.95,30.47
Maharashtra,51.84,38.42,42.47,91,176.74,135.47,128,96.32,43.05,59.95,182.74,158.06,128.05,111.84,120.89,102.69,55.32,298.68,23.47,38.11,36,48.37
Meghalaya,44.33,37.33,35.33,92.67,153.33,127.67,121,93.67,48.33,74, ,144.33,133.5,124,210, ,64.33,329,30,34.33,44.33,50
Mizoram,50,37.5,52.5,98, , ,120,105,50,77.5, ,185,220,140, , ,137.5,520,27.5,50,65,66.5
