 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  26/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.97,31.08,36.19,88.36,162.89,126.85,118.81,94.01,44.9,58.69,188.6,139.84,126.52,123.7,123.24,100.22,54.38,280.2,22.54,33.55,40.59,51.8
Maximum Price,75,53,70,153,207,174,180,169,70,83,262,235,220,180,210,175,175,560,33,80,90,120
Minimum Price,25,22,27,60,87,80,85,71,38,39,118,106,94,99,104,81,35,160,9,12,17,18
Modal Price,40,28,35,90,170,120,120,100,45,60,170,140,120,125,120,100,50,300,28,30,40,40
Andaman and Nicobar,48.67, ,68,95,172.67,155,136,100.33,55.33,73.33,232.5,175,164.33, ,127.67,114.33,77.33,308.67,21,61.67,56.67,108.33
Andhra Pradesh,60.75,44,44.25,90,181,136,124.75,96,43.5,59,166,161,111.5,131,110.5,90.25,59.75,346.75,22.25,34.5,42.75,62.75
Arunachal pradesh,46,45,44.25,101.75,157.25,131,122.5,105,53.33,76,143.5,157.67,163.33,139.33,181, ,77.5,298.5,18.33,38,46.67,66.67
Assam,42.5,33.08,36.62,89.92,162.46,115.55,116.23,92.31,47.62,71.96,210.6,149.81,133.5,136.65,146.24,112.65,60.5,251.62,13.56,32.15,41.81,51.88
Bihar,38.03,27.12,33.21,81.76,154.38,120.85,114.35,80.15,44.52,56.39,179.33,135.91,124.09,126.91,160.14,103.64,47.94,280.64,22.79,25.24,33.82,35.45
Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,255,28,28,40,43
Chhattisgarh,40.33,38.17,40,95.5,163,118.33,114.83,94,43.83,54.5,197.5,159,131.5,135.17,143.67,117.17,47.83,311.67,21.5,34.67,40.5,58.17
Delhi,40,29,32,97,177,143,127,90,44,56,209,148,129,128,139,104,58,243,26,33,50,38
DNH and DD,49.33,41.33,47.33,91.67,177,149,131,95.33,43.67,65,192,153.33,134.67,135,127.33,107.67,63.67,350,27.33,35.67,39,68
Goa,52.5,48,46.5,95.5,188.5,154,134,97,44,57.5,220,161,143,154,117.5,98,60.5,329,24.5,42,44,65
Gujarat,43.13,38,39.88,88.25,171.13,127.63,119.13,93.38,43.13,61.5,177,143.25,127.25,128.88,125,104.75,56,251.5,16.38,33.38,39.38,52.38
Haryana,42,30,33,79.33,137,107.67,106.33,89.67,45.67,61.67,177.33,142.33,124.33,119.33,145.33,96.67,49.33,218.67,24,24.33,41.33,31.33
