 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  15/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.84,30.83,36.07,87.85,162.32,127.16,119.18,94.07,44.81,59.41,187.08,138.36,126.31,121.45,123.24,100.68,54,274.53,22.18,31.15,35.88,38.96
Maximum Price,71,53,70,153,206,190,163,166,70,80,262,235,220,180,210,175,175,559,33,68,70,100
Minimum Price,25,22,27,60,87,85,85,70,37,40,118,110,91,99,103,83,36,160,9,12,14,11
Modal Price,40,28,32,90,180,120,120,100,44,60,185,130,120,130,125,100,50,250,28,30,40,30
Andaman and Nicobar,48.33, ,68,95.33,172.67,156,137.33,101.67,55.33,73,232.5,171.67,168.67, ,128.67,114,76.33,318.33,21,53.33,53.33,84.33
Andhra Pradesh,60.6,44.4,47.2,88,176.6,138.6,126,101.6,42.8,60.4,166.8,169.4,111,146.33,111.4,90.2,58.8,327,21.8,34.2,33.2,40.2
Arunachal pradesh,55,45,49,105,156,135,120,110,60,80,167,163,137,143,163, ,80,327,20,50,50,70
Assam,42.35,32.5,36.27,89,161.58,116.64,116.27,91.5,47.19,71.52,208.57,149.04,134.5,136.35,145.29,111,58.85,250.81,13.35,29.92,38,44
Bihar,38.29,27.11,33,81.23,153.37,121.03,114.6,80.37,44.34,55.94,182.31,135.06,122.71,125.71,160.34,102.82,47.63,279.79,22.97,23.49,30.89,30.66
Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,24,32,35
Chhattisgarh,40.8,38.6,38.6,87.2,160.6,118.4,119,87.2,43.2,61.8,197,141.8,120.6,125.2,143.8,109.6,50.2,289.6,24.2,30.6,32.8,39.8
Delhi,40,29,31,97,177,147,127,90,45,56,209,148,130,128,139,104,58,243,26,30,48,32
DNH and DD,50,41.33,47.67,91.67,177,148,132.67,95.67,43.67,65,192.33,150.33,134,135,127.33,107.33,63.67,350,27.33,32.67,32.33,48.67
Gujarat,42.14,38.29,40.86,87.43,170.29,124.71,119.86,91.71,42.86,62,176.14,143.57,126.29,128.86,124.29,105.14,56.29,251.29,14.86,29.86,35,40
Haryana,46,28.67,33.67,76,127.33,108.67,106.67,96.33,43.67,60,186.67,141.33,127.33,132.67,153.67,111.33,47.67,237.33,25,18.33,26.33,21
Himachal Pradesh,40.75,22,33.33,87.92,167.25,135.25,116.67,89.5,47,52.17,219.5,162.25,138,129.4,143.5,118,48.67,270.33,27.5,31.5,41.25,29.25
Jammu and Kashmir,46.5,30,37.83,93.33,155,127.83,123.83,100.5,51.5,51.17, ,147.83,134.5,128.67,142,125.5,54.5,317.83,27.4,30.67,38,34.67
Jharkhand,39.53,31.44,34.89,82,158.58,120.32,112.53,82.58,45.61,59.18,177.23,139.37,124.63,126.17,151.13,104.35,50,285.72,24.33,26.79,32.42,31.84
Karnataka,60,43.61,47.97,94.65,167.58,141.68,128,107.32,42.94,50.58,180.45,162.87,120.55,135.7,120.68,97.61,52.58,287.03,20.35,37.16,35.52,45.74
Kerala,50.67,44.67,46.18,103.18,188.3,149.8,136.3,118,44.15,54.38,221,163.14,142.33, ,117.25,99.9,62.77,231.54,14.8,50,42.31,70.77
Madhya Pradesh,40.7,29.13,34.37,86.3,165.74,119.76,115.63,91.65,43.41,57.96,189.85,134.46,119.78,112.3,135.62,110.3,47.96,250.91,19.39,27.09,29.07,30.02
Maharashtra,51.84,38.42,42.47,91.16,176.63,135.58,128.11,96.16,43,59.95,182.79,158.11,128.05,111.79,120.89,102.63,55.32,298.68,23.47,38.11,36,47.42
Meghalaya,45.75,37.75,36.38,92.75,156,132.6,121,89.75,49.57,74.29, ,126.57,138.33,123.57,185.33,175,80.75,351.43,21.14,34.63,43.5,51.88
Mizoram,50,37.5,52.5,98, , ,120,105,50,77.5, ,185,220,140, , ,137.5,520,27.5,50,65,66.5
Nagaland,41.75,42.88,48,102.5,130.67,132.5,121.67,97.38,50.06,73.29,200,138.88,166,149.88,195,142.5,84,322.67,17.88,33.06,51.56,57.19
Odisha,39.67,37,39.22,87.11,167.67,126.33,112.11,83.11,45.89,52.44,165,141.11,111.22,115,114.78,96.78,52.44,265.38,26.67,28,35.67,46.89
Puducherry,64,45,40,91,177,137,120,90,43,48,195,146,142, ,110,98,48,298,26,45,36,28
Punjab,38.86,25.21,31.07,91.93,162.57,128.57,118.29,98.29,44.57,60.64,199.33,130,122.43,117.21,132.83,101.5,54.29,276.85,26.36,26.29,37,21.14
Rajasthan,42.6,28,31.4,75.4,148,115.2,105.2,87.6,41.6,56.4,167.4,148.4,127,129,153.5, ,43.6,314,20.2,24.2,27,30.2
Sikkim,53.25,35,39,87.5,136.25,124.5,123.75,97.5,48.75,64.25, ,161.5,117.25,137.5,160.25, ,58.75,426.75,19,37,52.25,46
Tamil Nadu,61.52,45,53.32,93.68,180.76,144.72,124.68,93.95,44.08,46.84,204.52,175.78,127.48, ,113.24,93.6,55.32,307.05,24.44,46.08,45.8,57.64
Telangana,54.3,42.8,45.9,80.22,165.5,129.1,119.4,93.3,40.89,65.33,164.4,165.5,121.3,150.5,116,97.7,57.22,300,19.44,33.2,37,43.78
Tripura,38.5, ,39,87,144.33,128,111.25,103.75,48,70.25, ,132.25,122.67,116,139.75,100.25,69.25,221.5,10,34.5,39,49
Uttar Pradesh,38.78,26.06,32.4,83.42,157.97,120.4,114.96,93.47,43.85,62.86,189.41,140.19,128.04,130.9,152.7,110.25,49.49,238.39,26.61,25.71,31.81,27.51
Uttarakhand,37.75,26.75,33.25,89.5,146.75,115,113.25,99.25,42.75,60.5,154.5,138.75,130.75,132.25,147,116.5,56.75,264,28,28.25,30.25,24.5
West Bengal,42.94,29.75,37.38,81.94,155.19,120.73,125.38,104.44,45.94,54.63,195.8,130.19,112.06,110.63,125.63,98.75,50.88,264.69,21.13,28.25,35.06,39.5
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 ,NR -&gt Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,

