 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  03/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.54,30.64,35.89,86.49,157.93,125.93,118.29,93.89,44.83,58.9,188.14,137.38,126,123.62,123.21,100.67,53.78,278.78,22.48,29.97,32.39,34.73
Maximum Price,72,53,69,153,203,190,180,158,70,83,262,235,220,180,210,175,167,560,33,60,70,107
Minimum Price,25,22,27,60,87,82,85,70,37,39,100,101,91,99,103,80,35,163,9,11,11,10
Modal Price,40,28,35,87.5,160,120,120,100,44,60,200,140,120,120,125,100,50,300,28,30,30,40
Andaman and Nicobar,48.33, ,67.67,95,171,154.33,136,100.67,54.33,73,232.5,173,178.33, ,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67
Andhra Pradesh,60.2,44.4,47.4,87.4,173,137.6,126.2,102.8,42.8,60.4,165.8,169.4,110.4,143,110.4,91.2,59,312,21.8,33.8,29.8,33
Arunachal pradesh,46,45,44.75,99.25,152,133.5,123.5,103.5,53.33,75,143.5,152.67,152.33,135.33,177,130,75,305,19.33,32,40,50
Assam,42.63,32.25,36.11,87.37,156.59,115.26,115.67,91.56,47.15,71.8,208.14,149.04,134.86,136.52,146.65,112.67,58.77,252.12,13.42,29.37,34.89,35.76
Bihar,37.91,26.94,33.24,80.3,152.48,120.76,113.61,79.82,44.24,56.12,175.07,133.24,120.91,125.36,158.63,104.44,47.18,275.06,23.3,22.18,29.82,30.36
Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,20,33,40
Chhattisgarh,41.14,38.57,40.29,93.71,166.71,115.29,114.86,97.14,43.43,55.86,201.14,151.14,130.86,133,147,117.14,47.14,262.57,22.71,27.71,32.57,27.57
Delhi,40,29,31,88,173,142,123,90,44,56,207,148,130,128,139,104,58,243,26,28,32,28
DNH and DD,50,41,47.33,88.67,173.67,144,131.33,94.67,43.33,65,194,147,134,134.67,127,107.67,63.67,350,27.33,32.67,29,32.67
Goa,53,50,51,90,170,148,125,98,44,59,223,140,137,123,120,98,60,343,24,38,33,38
Gujarat,43.29,36.14,39.29,85.71,158.43,125.13,118.14,92.5,42.5,60.75,179.29,139.75,128.88,128.5,123,105.25,50.71,252.5,16.25,28.13,29,32.13
Haryana,43.75,29.75,34.5,77.5,126.75,107.75,107.25,95.75,43.5,60,177.25,137,128,128.25,154.25,106,48.5,231.25,25.5,19.5,35.25,26.75
Himachal Pradesh,40.67,22,33.08,85.58,164.08,134.08,116.25,88.25,47,52,219.5,160.75,137.58,129.7,143.5,118,48.25,269.58,27.5,30.42,34.92,30.42
Jammu and Kashmir,46.83,32.8,39,96.17,151.17,128.33,125,103.17,51,50.67, ,146.67,135.83,130.83,144,121.33,55.17,310,26.83,29.5,34.83,33
Jharkhand,39.37,31.39,34.84,80.95,156,119.63,111.63,82.37,45.61,58.94,178.92,138.05,123.89,126,151,103.59,48.94,288.88,24.28,25.74,28.84,29.32
Karnataka,60.4,43.7,47.2,92.9,166.27,142,127.3,106.2,43.07,50.47,180,164.73,119.17,137.14,119.67,97.57,52.47,285.73,20.47,37.03,32.8,35.73
Kerala,50.77,44.69,46.17,101.85,184.54,151.17,139,114.08,44.42,53.83,224,173,142.58,130,118.25,102.27,64,232.82,14.73,48.75,35.58,57.83
Madhya Pradesh,40.92,28.81,34.23,85.17,163.29,119.83,115.29,91.02,43.34,57.4,189.29,134.79,120.35,112.25,136.72,110.3,47.19,252.19,19.84,25.53,25.87,27.19
Maharashtra,51.37,38.37,42.58,89.16,173.84,134.63,127.84,97.26,42.84,59.47,182.05,157.89,127.63,110.79,120.37,102.19,54.53,298.53,23.32,36.58,29,35.37
Manipur,50,42,37,100,180,145,135,90,55, ,100,140,130,130,125,130,85,240,25,36,45,35
Meghalaya,38.1,38.33,37.1,90.83,164,134.5,121,89.8,49.5,73.8, ,133.1,138,125.2,172,126,74.17,370.9,21.3,32.5,39.6,40.9
