 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  09/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.96,30.74,36.11,83.39,154.57,121.99,116.48,94.23,44.61,58.43,193.85,138.54,127.63,124.3,124.1,100.54,53.33,280.35,22.34,24.93,59.27,36.4
Maximum Price,70,54,70,133,213,181,175,152,70,80,257,258,220,200,244,198,167,560,31,65,96,87
Minimum Price,23,21,27,58,87,83,88,70,37,40,125,108,92,98,99,80,34,155,9,11,21,10
Modal Price,38,28,35,80,160,120,120,100,43,60,200,130,120,115,120,100,50,300,28,20,60,40
Andaman and Nicobar,45.33, ,68,91.33,169,144,131,97.67,54.33,71.67,226.5,184,194.67, ,140.67,122.33,77,308.33,20.33,46.67,76.67,77.33
Andhra Pradesh,52.8,43,45.6,81.8,170.4,134,121.8,100.8,43.4,58.6,172.8,183.2,112.8,153,111,93.8,59.4,342.2,21.6,31,72.2,25
Arunachal pradesh,34.75,42,37.5,91,138.75,125,120,105,51.67,71,160,146.67,153.33,134.33,188.33, ,70,300,21,26.67,75,53.33
Assam,42.71,30.91,36.86,81.79,143.3,112.71,113.79,91.93,46.68,69.75,207.29,148.43,138.57,138.68,153.91,115.61,57.79,256.67,13.36,21.71,60.18,42.88
Bihar,38.49,27.57,33.97,77.26,149.66,117.51,112.57,80.94,44.4,55.86,188.5,135.46,124.06,127.86,164.28,110.24,48.66,273.11,22.37,19.23,53.83,37.89
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,25,70,40
Chhattisgarh,41.13,36.25,37.63,85.5,159.63,111.25,111.38,92.88,42.5,57.5,200.63,149.75,130.38,128.75,144.13,115.25,49.63,300,23.38,27.63,59.13,33.13
Delhi,39,30,33,88,173,140,125,90,45,53,214,143,126,124,139,99,57,243,26,28,62,43
DNH and DD,48,40.33,45.67,90.33,166,135.67,126,97.67,44,64.33,210,151.67,137.67,133.33,127,101,69.33,348.67,27,20,57.33,22
Goa,48,44.5,42.5,94.5,179,134,130,96.5,44,57.5,226,161.5,142.5,149,117,95,59,325.5,24.5,34,62.5,28
Gujarat,40.38,34.25,38.75,81.63,149.13,116,111.25,92.13,42.38,58.63,193.75,139.13,132,134.38,127.75,105,50.25,266.14,16.88,24.38,62.14,25.88
Haryana,41.25,27.25,33.75,75.5,127.25,106.25,104,94.5,44,59.25,180.33,130.67,132,125.33,156.33,108.67,47,234.25,26.25,16.33,50,30.67
Himachal Pradesh,38.5,21,33.17,84,157.25,124.58,115,91.08,46.58,53.5,220,160.67,134.17,125.6,145.83,112.67,47.75,258.92,27.58,32,60.67,39.42
Jammu and Kashmir,39.75,31.75,41,86.75,131.25,119.75,118.25,101.25,52,52.5,243,157.75,142,143,159.5,132.67,48.25,311.25,25,27.5,55,36.25
Jharkhand,39,31.71,35.28,82.06,155.28,115.17,111.44,83.56,46,58,188,138.33,123.83,128.94,151.31,105.71,48.76,290.19,24.41,20.33,52,36.94
Karnataka,56.16,43.44,46.78,91.97,165.38,136.5,124.69,107.81,42.44,50.56,181.41,167.63,122.5,137.29,120.75,96.84,51.59,290.81,19.5,32.69,65.34,22.66
Kerala,50.79,44.57,47.29,101,185.79,148.69,135.54,112.36,43.43,53.93,230.14,189.1,148.07, ,118.21,98.62,60.93,230.43,14.29,37.86,61.64,35.93
Madhya Pradesh,38.4,28.55,34.45,80.81,157.89,112.85,112.53,89.98,43.35,57.59,194.78,135.35,118.15,110.07,138.29,107.17,48,251.61,19.64,20.17,56.48,32.83
Maharashtra,48.68,39.53,43.58,85.37,174,126.79,123.95,97.95,43.47,58.63,188.16,158.5,127.32,109.47,122.11,100.06,53.79,294.42,23.79,27.32,58.16,24.68
Meghalaya,39,37.29,36.63,82.5,135.6,127,119.43,90.88,48.13,72.5,139,130.63,139.25,124.63,183,164.33,80,333.13,22.63,25.75,75.75,38
Mizoram,47.91,41.67,45.55,104,138.86,122.17,124.5,101.55,50.27,77.82,174,188.9,179.2,128,203,131.4,114.63,480.3,29.18,39.27,56.91,71
Nagaland,40.69,41.88,48.13,96.25,131.08,124.75,122,97.69,50.06,71.36,200,140.63,172,150.5,202.5,137.5,77.78,312.67,17.56,26.25,63.13,51.56
Odisha,37.33,38.35,40.52,80.38,160.75,123.46,114.33,80.88,44.78,52.09,176.6,136.38,112.73,125.29,113.58,93.75,50.04,272.18,25.91,19.7,53.87,38.43
Puducherry,54,41,38,83,182,139,120,86,41,46,207,170,140, ,110,90,50,393,20,40,85,15
Punjab,38.13,25.4,30.47,85.07,154.4,122.27,114.8,100.73,45.6,59.47,199.23,126.13,120.2,116.07,137.31,103.27,51,257.93,26.13,20.93,53.47,34.4
Rajasthan,40.44,29.12,32.72,73.68,121.28,106.44,103.04,89.48,42.56,51.91,186.56,152.6,127.17,137.04,160.05,131.4,43.88,306.48,21.52,22.16,47.56,35.64
Sikkim,53.8,35.8,43,83,139.4,133.6,123.6,104,48.6,63.4, ,180.8,136.2,158.5,189.4, ,57.2,446,19,35.4,65.4,44
Tamil Nadu,57.18,44.06,52.91,88.34,179.63,146.74,124.37,93.35,43.34,46.09,211.2,181.69,125.37, ,113.14,90.89,55.31,309.75,24.49,36.17,65.71,37.8
Telangana,50.8,39.6,44.4,74.1,164,121,112.8,90.4,40.6,63.78,168.9,171.4,119.2,147.17,116.6,98,55.5,300.9,19.1,27.8,63.6,30.4
Tripura,39, ,38.75,85.67,148.67,129,112,105.5,48.5,70.25, ,130,127.67,113.5,144.5,99.75,70.5,221.5,10.5,23.25,59.5,48.5
Uttar Pradesh,37.09,26.32,32.71,78.83,149.55,114.53,110.95,94.04,43.72,62.38,191.42,141.56,129.65,132.6,159.22,112.22,48.37,243.35,26.87,19.6,59.57,34.75
