 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  15/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.5,31.25,36.6,84.41,156.8,123.57,117.2,94.8,44.78,58.73,193.99,138.43,127.05,122.18,123.17,99.83,54.29,280.41,22.3,25.47,59.72,40.04
Maximum Price,71,58,70,133,234,181,166,153,70,80,260,258,220,200,228,191,167,560,31,70,90,87
Minimum Price,23,21,27,60,90,83,87,70,37,40,125,110,94,98,99,80,34,155,9,11,27,10
Modal Price,40,40,35,80,160,120,120,100,43,60,190,140,120,115,117.5,100,50,200,28,20,60,40
Andaman and Nicobar,45.67, ,68,91.67,169,144.33,132,97.67,54.33,72.67,226.5,184,194.67, ,140.67,122.33,77.33,308.33,20.67,43.33,76.67,77.33
Andhra Pradesh,52.8,43.2,45.6,81.8,172.4,134.4,121.8,100.8,43.4,58.6,174.4,183.2,112.8,153,110,87.25,59.4,342.2,21.6,31.6,68,25.6
Arunachal pradesh,32.33,42,38.33,89.67,135,126.67,120,103.33,55,72, ,120,120,120,180, , , ,15,25,80,50
Assam,42.76,31.44,37.16,82.36,142.92,114.52,113.48,93.2,46.76,69.96,208.67,148.64,139.89,137.5,155.65,115.27,58.6,261,13.76,21.52,60.76,42.95
Bihar,37.75,28,33.55,79.2,155.1,120.4,114.8,80.55,44.65,56.35,192.6,134.9,121.25,124.95,159.89,106.19,47.2,275.45,22.95,19,53.1,39.75
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,25,60,40
Chhattisgarh,39.5,35.13,36.5,84.5,160.5,110.25,110.5,91.75,42.38,58.75,196.75,150.38,129.38,126.88,140.88,115.38,51.88,283.63,24.13,24.88,55.63,38
Delhi,39,30,33,88,173,140,122,90,45,53,214,143,126,126,139,99,57,243,26,30,60,45
DNH and DD,48.67,40.67,46,90,167.33,134,126,97.67,44,64.33,211.33,154,137.33,133.33,127.67,101,69.67,348.67,27,21,53,34
Goa,48.5,45,42.5,94.5,179,138.5,130,96.5,44,57.5,226,160,142.5,149,117,95.5,59,325.5,24.5,34,65,37
Gujarat,43,37,44,88.33,142.5,125,121.67,103.33,42.33,59,186,136.5,136.5,132.5,122.5,105.67,51,248.5,12.5,26,75.67,26
Haryana,41,27.25,33.5,75.25,127.25,105.75,104.75,94.75,43.5,59.25,183,141,132.5,130.25,157,106,47,231.5,25.75,17.5,50.75,31
Himachal Pradesh,38.67,21,33.33,83.92,157.92,124.83,115.33,90.92,46.75,53.5,220,161.08,133.67,125.2,145.83,112.67,47.25,259.83,27.58,30.75,58.5,43.75
Jammu and Kashmir,41.4,38,40.2,94,136.8,121.4,118.4,102.4,52,51.2,243,146.8,137,133.8,145.75,121,49.2,337.6,26.6,30,56.2,49
Jharkhand,39.15,31.58,35.77,81.62,151.69,115.23,112.08,83.85,45.83,57.73,183.38,137.69,124.77,129.33,155,106.58,48.83,283.36,23.83,21.85,50.85,42.62
Karnataka,56.31,43.69,46.84,91.42,165.75,136.81,124.97,107.81,42.56,50.56,181.44,167.5,122.44,137.26,121,96.91,51.59,290.59,19.59,32.69,62.06,25.66
Kerala,51.17,44.42,45.82,102.25,188,148.91,132.2,114,43.67,53.5,231.43,189.9,144.17, ,118.75,100.73,63.08,228.67,14.25,39.92,62.75,39.08
