 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  03/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.79,30.66,35.92,83.03,153.31,120.58,115.89,94.29,44.46,58.56,192.7,139,127.1,124.99,124.29,100.68,53.25,279.34,22.24,24.87,59.56,33.75
Maximum Price,70,58,70,133,213,180,176,152,70,80,257,258,220,200,244,198,167,559,31,60,90,88
Minimum Price,23,21,27,60,85,78,80,70,37,40,125,110,90,98,99,80,34,155,9,11,18,10
Modal Price,40,28,35,80,160,120,120,100,44,60,200,140,120,115,115,100,50,300,28,20,60,40
Andaman and Nicobar,45, ,68,90.67,169,142.67,131.33,98.33,54.33,72.67,226.5,184,194.67, ,143,122.67,77.33,308.33,20.67,46.67,68.33,70
Andhra Pradesh,53,43,46,83,170.8,132.2,122.8,101.2,43.2,58.6,174.6,183.8,112.6,153,112.5,94.6,59.2,342.2,21.6,31.2,62.4,22.8
Arunachal pradesh,35.5,42,38,91.5,138.75,123.75,120.75,105,52,71,160,131.5,120,124,170, ,68,300,21.33,25,80.33,46.67
Assam,42.37,31,36.33,81.33,142.69,111.35,112.26,91.93,46.37,69.56,207.29,148.04,137.9,138.19,153.91,115.61,57.56,255.65,13.44,21.67,60.67,43.28
Bihar,38.17,27.25,33.72,77.11,147.44,116.36,112.28,81.28,44.31,55.69,189.67,135.75,123.31,127.72,164.31,109.93,47.94,271.86,22.86,19.56,57.31,34.97
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,25,70,40
Chhattisgarh,41,35.11,37.44,85.44,159.56,109.44,110.56,94.89,42.56,58.56,192.33,149.78,128.22,126.22,141.44,114.33,50.56,290.11,24.22,27.11,54.11,31
Delhi,39,30,33,88,173,142,125,90,45,53,214,143,126,124,139,99,57,243,26,28,75,37
DNH and DD,48,40.33,45.67,90,167.33,134,126.33,97.67,44,64.33,209.67,153.33,137.33,134.33,126.67,100.33,69.67,348.67,27,21.33,62.33,21
Goa,48,44.5,42.5,95,179,134,130,96.5,44,57.5,223.5,161.5,142.5,149,117.5,95.5,59,325.5,24.5,34,67.5,25
Gujarat,40,34.83,38,81,150.83,116,112.5,96.5,42,60,197.17,138.67,131.5,134.17,127.83,109.33,51.33,263,16.83,25.5,60.17,22.5
Haryana,40.5,26.75,33,76,126.25,105.75,103.5,94,43.5,59.25,182,140.75,132,126.25,159,106,48,231.75,25.75,18,48.5,28.5
Himachal Pradesh,38.5,21,33.25,84.17,156.92,124.17,115.17,91,46.58,53.42,218.5,160.25,133.83,126.3,145.83,112.67,47.92,258.33,27.58,30.58,65.5,36.42
Jammu and Kashmir,38.33,33.33,41.67,89.33,135.67,120,121,101.67,53.33,48.67,243,150.33,138.33,135.67,156,121,49,313,26.67,29.33,51.67,36
Jharkhand,39.11,31.06,34.89,82.33,158.22,115.06,110.83,84.28,46.06,58.13,184.67,138.22,123.56,130,151.63,105.24,48.35,295.56,24.65,19.94,50.78,35.44
Karnataka,56.16,43.19,46.78,91.63,164.09,135,123.91,107.44,42.47,50.56,181.31,167.13,122.25,136.77,120.75,97.09,51.63,289.94,19.47,32.63,62.63,21.91
Kerala,50.23,44.85,47.54,100.69,184.92,141.31,136.58,113.23,43.46,53.77,234.17,189.89,148.85, ,117.77,97.58,60.62,229.38,14.23,37.08,64.85,27.23
Madhya Pradesh,38.2,28.38,34.24,80.11,156.2,110.22,111.98,89.89,43.42,57.2,193.84,134.42,117.31,109.69,137.82,107.71,48.13,245.8,19.09,20.64,60.13,30.76
Maharashtra,48.95,39.47,43.53,85.05,173.89,125.68,124.26,98.16,43.68,58.68,188.53,159.06,127.32,109.53,122.32,100.63,53.21,294.53,23.79,27.32,59.47,23.74
Meghalaya,38.1,38.22,37.6,83.33,141.14,129.17,119.67,90.9,47.7,72.2,139,134.7,139.25,131.3,171,145.6,81.17,363.5,21.6,26.6,75.2,42.8
Mizoram,47.91,41.67,45.55,103.78,138.43,122.17,124.5,101.55,50.27,77.82,174,188.9,179.6,128,203,131.4,114.63,480.3,29.18,39.91,56.73,71.25
Nagaland,40.63,41.88,48.13,96.25,131.08,122.88,118,95.81,50.06,71.71,200,140,170,149.56,202.5,137.5,78.33,311,17.69,26.56,58.44,50.94
Odisha,37.55,38.35,40.23,80.77,161,121.86,114.86,81.09,44.71,52.35,166.25,138.64,113.48,126.75,115.5,93.86,50.43,260.12,25.86,20.23,58.27,36.36
