 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  30/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.97,31.09,36.34,83.82,155.15,123.02,116.83,94.23,44.84,58.44,193.47,139.1,127.15,125.22,124.16,99.81,53.3,280.83,22.43,25.13,57.97,44.75
Maximum Price,71,58,69,133,213,174,178,153,70,85,263,258,220,200,244,176,167,560,31,70,90,90
Minimum Price,23,21,27,60,87,82,80,70,37,40,120,108,92,96,102,83,34,155,9,11,31,14
Modal Price,40,28,35,80,160,120,120,100,43,60,200,130,120,117.5,115,95,50,300,28,20,60,40
Andaman and Nicobar,46.33, ,67.67,93,170,146,131.67,98,54.67,73,232.5,182.33,190.33, ,140,122.33,77.33,308.33,19.67,43.33,79,81
Andhra Pradesh,53.6,43.6,46.2,83.2,176.2,133.8,123,101.8,43.4,60.2,174.4,183.6,112.2,153,110.2,89,59.4,310.5,21.6,32.2,57.6,26.8
Arunachal pradesh,35.5,42,38,92.25,138.75,124.25,120.75,105,51.67,71,160,133.5,120,124,170, ,68,300,21.67,25,80,56.67
Assam,42.88,30.89,36.77,82.12,143.92,112.68,114.15,92.46,46.88,70.36,207.83,147.08,137.85,138.08,152.91,115,57.8,256.83,13.24,23.04,62.28,50.48
Bihar,38.19,27.84,34.22,77.73,148.7,118.78,112.78,81.7,44.6,55.77,182.47,135.2,123.11,127.14,163.66,108.5,48.11,270.94,22.34,19.14,54.6,48.71
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,29,53,50
Chhattisgarh,40.44,36.44,38.56,86.11,162.78,110.67,110.33,93.22,41.67,58.88,197.56,148.56,126.11,127.67,140.89,113.44,50.67,289.22,24.22,25.22,60.67,37.67
Delhi,39,30,33,88,170,143,118,90,45,53,214,146,126,126,139,99,57,243,26,27,60,53
DNH and DD,48.33,41,44.33,89.67,164.33,136.33,129.67,96.67,44,64.33,205.67,152,136.67,135.33,127,101.33,69.67,350,27,23,51.33,42
Goa,48.5,44.5,42.5,95,181,143,136,96.5,44,57.5,226,160,142.5,149,117,95.5,59,325.5,24.5,35,56.5,48
Gujarat,41.13,34.88,38.38,80.63,148.5,117.25,110.25,92.88,42.38,58.29,192.38,138.63,137.63,133.86,126.14,104.57,51.63,263.14,16.88,24.38,60.5,36
Haryana,41.75,28,34.25,77,130.5,107.5,106,97,45,60.67,181.5,140.25,127.25,127,159.75,106.25,47.33,248.33,26.67,18.5,51.5,39.5
Himachal Pradesh,38.75,21,33.33,84.08,159.17,127.75,115.92,90.25,47.17,53.5,222,162.17,133,126.2,145.83,112.67,46.67,260.17,27.58,27.5,60.33,61.92
Jammu and Kashmir,42,33,40.67,92,135,120.67,118.67,101.67,51.67,53,243,151.17,140.17,138.17,150.6,132.67,49.33,333,25.83,29,61.17,58
