 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  18/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.21,31.08,36.62,83.62,156.51,123.34,116.86,94.11,44.72,58.41,192.18,138.64,126.62,122.51,124.02,99.45,53.04,277.15,22.36,24.97,59.44,42.08
Maximum Price,71,58,70,133,213,181,166,153,70,80,257,258,220,200,244,176,167,560,31,70,90,88
Minimum Price,26,21,28,60,87,82,90,70,37,40,124,107,92,95,97,83,34,155,9,10,33,10
Modal Price,40,28,35,80,160,120,120,90,44,60,190,130,120,122.5,115,100,50,280,28,20,60,40
Andaman and Nicobar,45.67, ,68,90.67,170,144.33,133.33,98.33,55.33,72.67,227.5,184,195.33, ,143.33,123.67,77.67,308.33,20.67,43.33,77.33,79.33
Andhra Pradesh,53.2,43.6,45.8,82,174,134,122.6,100.8,43.2,59.8,174.4,184.2,112.8,153,110.4,87.5,59.6,342.2,21.8,31.4,58.25,25.8
Arunachal pradesh,36, ,40,99,155,130,130,100,55,72, ,120,120,120,180, , , ,15,25,80,50
Assam,42.81,30.7,36.77,82.31,144.32,113.82,114.08,91.81,46.92,71.22,210.5,146.68,137.22,137.28,150.95,112.93,58.46,260.87,13.79,21.58,61.48,44.3
Bihar,38.5,27.72,34.22,78.32,147.66,118.66,112.47,81.41,44.57,55.63,175.85,134.97,122.77,124.55,164,104.3,48.93,273.23,21.97,19.06,55.35,45.44
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,29,60,48
Chhattisgarh,39.71,35.43,38.43,82.43,159,110.14,111.43,89.71,42.71,61,189,144.43,117.71,124.71,139.71,108.86,52.14,290.14,25.43,27.57,59.71,42.14
Delhi,39,30,33,88,170,140,122,90,45,53,214,146,126,126,139,99,57,243,26,27,63,53
DNH and DD,48.67,40.67,46,90,167.33,134.33,126,97.67,43.67,64.33,211.33,154,137.67,132.67,126.33,101,69.67,351,27,21,53.33,39.67
Gujarat,43.5,35.33,41.33,85.67,148.67,119.83,115.67,95.17,43.17,57.17,194.17,138.33,145.67,133.83,124.83,103.67,52,270,15.67,25,65.4,31.5
Haryana,44.67,27.33,34.33,75,128.33,108.33,106.67,96.67,43.67,59.67,187.33,142,128.33,132,163,108.33,44.33,237,25,16,56.5,33
Himachal Pradesh,38.67,21,33.33,84.25,156.83,126.75,115.5,90.75,46.83,53.5,222,161.42,133.42,125,145.33,112.67,47.5,259.83,27.58,30.33,60.25,56.58
Jammu and Kashmir,41.6,38.25,39.8,94,136.8,122,118,102.4,52,51.2,240,146.8,137,134,145.25,121,49,338.2,26.6,30.8,56.2,53.8
Jharkhand,38.79,31.44,35.32,82.16,155.95,117.32,111.84,83.84,46.28,58.12,185.08,138,123.42,128.56,150.59,105.06,48.83,292.65,24.61,21.26,51.68,44.95
Karnataka,56.22,43.94,46.78,92.41,165.53,137.34,125.06,107.47,42.53,50.56,181.34,166.88,122.03,137.16,121.03,96.75,51.69,291.16,19.53,33.5,61.5,26.44
Kerala,50.67,45.75,48.25,102.75,188.92,150.27,133.73,109.83,43.58,54.17,230.57,182.22,140.08, ,117.75,97.45,60.75,228.17,14.25,39.33,61.5,37.83
Madhya Pradesh,38.32,28.49,34.37,80.88,156.59,112.95,111.85,89.49,43.29,58.27,191.63,135.49,118.25,110.63,137.78,108.95,48.05,254.27,20.1,19.9,55.46,36.95
Maharashtra,48.58,39.58,43.42,84.74,174.37,126.74,124.11,97.79,43.58,59.11,187.84,159,127.26,110.74,122.79,100.13,53.26,295.89,23.79,27.53,57.58,35.58
Meghalaya,38.63,38.71,37.63,83,134.67,127,118.57,91,48.75,72,138,133.13,139.25,134.38,184.67,151.5,81,348,22.5,26,73.38,42.88
Mizoram,50,37.5,52.5,98, , ,120,106,50,77.5, ,185,220,140, , ,133.5,520,27.5,50,65,61.5
Nagaland,40.4,42.14,49,98.64,131.18,128.29,122.14,99,50.33,70.69, ,139.33,165,147.53,200,110,77.5,320.36,17.73,27,68,54.33
Odisha,37.52,37.17,40.7,79.43,160.57,120.17,113.39,80.57,44.73,51.95,171.43,139.43,118.1,137.1,117.39,94.78,51.68,274.53,25.95,19.87,54.23,42.41
Punjab,38.67,25.87,31.47,85.47,157.27,122.87,116.4,101.2,45.73,59.2,199.38,126.33,120.4,117,138.54,99.9,50.8,260.13,26.47,22.13,57.93,54.2
Rajasthan,36.57,29.14,32.43,70.86,125,109.57,105.71,97.43,41.71,53.29,184,154.57,124.17,138.86,170.43, ,45.14,290,21.71,23.71,55.33,35.14
Sikkim,53.8,35.8,43,83,139.4,133.6,123.6,104,48.6,63.4, ,180.8,136.2,158.5,189.4, ,57.2,446,19,35.4,64,54
Tamil Nadu,57.4,44.48,53.09,88.26,179.2,147.26,123.63,93.87,43.54,46.66,210.86,179.63,125.2, ,113.63,90.83,55.31,309.54,24.06,35.97,64.46,35.94
Telangana,51.3,40.7,44.3,74.4,167.11,121,113.4,90.1,41,63.4,168.5,169.8,119.7,146.5,117.8,97.8,54.8,301,19.3,27,61.9,31.1
