 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  23/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.14,30.94,36.24,83.51,155.18,122.76,116.58,94.28,44.71,58.4,193.12,138.76,126.94,124.84,124.21,100.21,53.23,281.66,22.28,25.26,58.8,43.39
Maximum Price,71,58,70,133,213,178,165,158,70,80,262,258,220,200,242,176,167,560,32,70,90,90
Minimum Price,27,21,27,58,95,80,80,70,37,40,120,108,90,99,97,80,34,168,10,11,35,10
Modal Price,40,28,35,80,160,120,120,100,43,60,190,130,120,110,120,100,50,250,28,20,60,40
Andaman and Nicobar,45.67, ,68,92,169,144.33,132,97.67,54.67,72.67,226.5,184,194.67, ,140,122.67,77.33,308.33,20.67,43.33,78,79.33
Andhra Pradesh,53.2,43.6,45.8,82,175.2,134,122.2,100.8,43.2,59.8,174.4,184.2,112.8,153,110.4,87.75,59.6,343,21.8,33.2,59.2,26.8
Arunachal pradesh,37,42,40,94.5,142.5,130,125,105,55,72, ,120,120,120,180, , , ,15,25,80,50
Assam,42.85,31.1,37.04,82.19,142.36,112.48,114.08,92.31,46.73,70.12,208.17,148.15,137.95,137.35,150.9,116.24,57.81,258.68,13.58,21.85,62.48,45.87
Bihar,38.61,27.75,33.94,77.69,147.22,118.83,112.78,81.61,44.47,55.22,186.06,135.03,122.53,126.67,163.93,107.21,48.22,272.33,22.67,19.03,53.6,48.22
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,29,60,55
Chhattisgarh,40.13,36.38,38,85.63,160.13,111.88,111.88,93.13,41.88,57.71,205.25,149,128.63,129.63,143.38,115.5,49.5,297,23.63,26,58.25,37.75
Delhi,39,30,33,88,173,143,122,90,45,53,214,146,126,126,139,99,57,243,26,27,62,53
DNH and DD,48,39.67,45.67,88.33,165,137.67,126,96.33,43.67,64.33,210,152.67,137.33,133,126.33,100.33,69.67,348.33,27,21,54.67,43.33
Goa,48.5,44.5,42.5,95,179,140,131.5,96.5,44,57.5,226,160,142.5,149,117,95.5,59,325.5,24.5,35,64,46
Gujarat,40.75,34.75,39.13,81.13,149.63,116.88,110.63,92,42.38,58.29,193.75,137.75,141,135.88,130.5,107.13,51.5,264,16.88,24,64.88,29.63
Haryana,42.67,29,33.67,80.67,138,110.67,111.33,99,45,60.67,176,131,127,123.67,158.33,107,47.33,243.67,26.67,19.33,58.67,42
Himachal Pradesh,38.75,21,33.33,84.08,158.5,126.75,115.42,90.25,46.83,53.5,222,161.92,133.17,126,145.83,112.67,46.83,259.17,27.58,29.67,58.33,56.42
Jammu and Kashmir,40.86,32.4,39.86,92.14,136.14,121.14,117.71,104.86,51.5,53.33,243,149,139.17,137,154,135.25,49.33,337.83,25.5,30.17,58.67,54.33
Jharkhand,38.39,31.65,35.33,80.39,156.67,117.83,112.39,82.67,46.59,58.38,183.92,137.67,122.5,126.06,149.38,105.12,49,296.88,24.65,22,52.39,45.06
Karnataka,56.32,44.19,47.06,91.68,165.58,137.87,124.9,107.9,42.48,50.35,182,167.61,121.81,137.6,121.52,97.42,51.35,293.23,19.71,33.65,60.55,28.13
Kerala,51.08,45.23,46.42,102.58,190,149.09,135.75,111.5,43.85,54.08,234.17,186.78,148.08, ,118.62,98.33,62.62,233.77,14.54,39.62,60.31,48.92
Madhya Pradesh,38.44,28.78,34.73,81.33,157.8,113.6,112.87,90.62,43.22,57.82,193.2,135.76,118.53,111.4,136.36,107.22,48.58,249.24,19.24,19.96,55.8,35.4
Maharashtra,48.63,40.16,43.47,84.53,174.05,127.32,123.89,97.37,43.63,59.16,188.16,159.28,127.05,111.21,123.21,100,53.05,295.63,23.79,27.89,57.53,37.79
Meghalaya,39.43,38.33,37.14,90,135.2,126.6,119.17,91.57,49.29,72.29,138,129.86,138,125.14,184.67,157,79.6,330.57,23.57,26.86,73.14,46
Mizoram,47.91,42.22,45.55,104,138.43,122.17,124.5,101.55,50.45,77.82,174,189.1,173,128,197.5,131.4,114.63,480.6,29.18,39.09,58.09,72
Nagaland,40.69,41.88,48.13,96.67,129.83,125.38,122.33,98.31,50.06,71.71,200,140,172,148.94,202.5,137.5,77.78,313,17.56,26.69,66.56,54.69
Odisha,37.71,37.44,41.13,79.83,160.13,121.25,113.17,80.46,44.57,52.22,172.5,138.21,116.36,129.88,115.42,94.67,51.41,285.89,25.83,20.21,54.43,41.75
Puducherry,55,42,39,83,182,139,120,86,42,46,208,170,140, ,108,91,50,393,20,42,67,20
Punjab,38.4,25.87,31.4,85,159.67,124.27,116.8,101.07,45.53,59.4,201.31,126.53,119.53,117.33,135,99.91,50.4,263.53,26.4,23.13,55.53,56.2
Rajasthan,40.08,29.04,32.36,73.48,121.67,106.6,101.48,90.04,42.2,52.3,182.84,153.48,124.38,137.88,159.4,143.25,43.24,300.48,20.24,22.88,53.89,35.56
