 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  02/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.58,30.58,35.85,83.05,153.12,120.61,115.86,94.08,44.43,58.52,193.09,138.28,127.31,125.15,124.43,100.71,53.35,278.3,22.23,24.8,58.09,33.4
Maximum Price,66,58,70,133,203,174,176,152,70,80,259,258,220,200,244,198,167,559,31,60,85,84
Minimum Price,23,21,27,60,80,75,80,70,37,40,125,110,88,97,99,80,34,155,9,11,18,10
Modal Price,40,28,35,80,160,120,120,100,45,60,200,140,120,115,115,100,50,200,28,20,60,40
Andaman and Nicobar,45, ,68,91.33,168.67,142.67,131,98,54.33,72.67,226.5,184,194.67, ,141.67,122.33,77.33,308.33,20.67,46.67,68.33,69
Andhra Pradesh,53,42.6,45.6,82.2,168,130.6,122,100,43.4,58.6,174.6,183.8,113.2,154.67,111.4,94.6,59.2,340.6,21.6,31.4,63.2,22.6
Arunachal pradesh,35.75,42,38.75,92.25,138.75,125,120,105,51.67,71, ,153.33,170,136.67,202.5, ,70,300,21.67,26,63.33,51
Assam,42.82,30.82,36.68,81.71,142.04,112.38,113.32,92.36,46.63,69.74,207.14,147.93,138.52,138.54,154,115.61,57.89,255.77,13.33,21.93,61.11,42.75
Bihar,38.52,27.21,33.76,78,149.21,116.64,112.48,81.52,44.21,55.7,191.69,133.64,122.42,126.67,166.29,108,48.33,271.27,22.94,19.42,56.03,34.06
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,25,70,40
Chhattisgarh,40.78,35.11,37,84.56,157.11,108.67,110.44,94.11,42.56,58.11,191.78,148.67,127.89,126.56,141.89,114.33,50.33,289.44,24,26.22,50.78,30.22
Delhi,39,30,33,88,173,142,125,90,45,53,214,143,126,124,139,99,57,243,26,28,77,37
DNH and DD,48,40.33,45.67,90,167.67,134,126.33,97.67,44,64.33,209.67,153.33,137,134.33,126.67,100.33,69.67,348.67,27,21.33,63.67,21
Goa,48,44.5,42.5,95,179,134,130,96.5,44,57.5,223.5,161.5,142.5,149,117.5,95.5,59,325.5,24.5,34,68.5,24
Gujarat,38,34.43,38.57,81.14,146.83,116.29,110.86,95.57,42.33,60,197,141.67,132.17,138.17,130.67,108.17,52,267.17,15.83,24,37.5,23.83
Haryana,40.5,26.75,33,76,126.25,105.75,103.5,94,43.5,59.25,182,140.75,132,126.25,159,106,48,231.75,25.75,18.25,43,29.25
Himachal Pradesh,38.58,21,33.17,84.33,157.08,124.33,115.25,90.83,46.5,53.42,218.5,159.92,135.67,126.3,146.5,112.67,48.67,258.17,27.58,30.42,67.17,34.92
Jammu and Kashmir,38,33.33,42.67,89.33,135.67,118.33,121.67,101.67,53.33,48.67,250,150.33,139,135,158.67,121,49.33,309.67,26.67,29.67,51.67,37.67
Jharkhand,39.06,31.94,34.83,81.44,155.17,114.44,111.11,83.33,45.76,57.94,183.58,138.56,124.56,130.35,152.47,106.53,48.88,289.75,24.35,20.17,45.94,35.06
Karnataka,56.06,43.13,46.9,91.9,163.74,134.55,124.19,107.13,42.42,50.52,181.23,167.81,121.77,137.6,120.87,97.74,51.94,291.61,19.61,32.52,60.84,22.13
Kerala,50.64,44.64,47.14,101.57,184.79,143.36,136.31,111.92,43.69,54.08,230.14,188.4,146.92, ,117.54,98.58,61.08,228.15,14.15,39.54,65.23,27.38
Madhya Pradesh,37.87,28.15,34.04,80.11,155.17,110.57,112.06,89.57,43.38,57.36,193.91,135.62,118.13,110.15,139.91,107.92,48.19,248.28,19.43,20.62,58.87,29.98
Maharashtra,47.53,40.12,44.12,86.29,175.65,126.59,125.41,98.35,43.59,59.35,189.41,156.65,124.88,109.71,121.88,101.36,54.06,287.94,24.82,27.18,58.65,23.12
Meghalaya,38.1,38.22,37.6,83.33,141.14,129.17,119.67,90.9,47.4,72.2,139,134.7,139.25,131.3,171,145.6,81.17,363.5,21.6,26.6,75.1,41.1
Mizoram,47.44,41.43,46.11,102,139.83,126.6,125.14,102.44,50.33,78.44,174,180.63,189.5,122.33,203,129.75,114.63,473.33,29,40.22,58.22,69.86
Nagaland,40.63,41.88,48.13,96.25,131.08,123.5,118.33,95.81,50.06,71.71,200,140,170,149.25,202.5,137.5,78.89,311,17.69,26.56,57.69,50.94
Odisha,37.14,38.69,40.05,80.36,158.91,121.32,114.14,80.68,44.76,51.81,180,136.95,112.8,131.88,114.23,93.95,50.25,267.63,26.1,19.48,54.24,34.95
Puducherry,54,41,38,83,182,139,120,86,40,46,207,170,140, ,110,90,50,393,20,37,80,15
Punjab,38.38,25.08,30.62,84.62,154.85,121.62,115.92,99.46,44.69,58.92,197.75,126.62,121.54,118.38,136.58,103.6,50.08,260.54,26.31,20.92,56.54,30.62
Rajasthan,39.82,29.57,32.68,73.68,120.25,107.11,101.25,89.96,41.93,51.54,186.11,154.61,128.42,140.74,157.82,137,43,299.68,20.21,21.82,39.32,32.54
Sikkim,53.8,35.8,43,83,137.4,133.6,123.6,104,48.6,63.4, ,180.8,136.2,158.5,189.4, ,57.2,446,19,35.4,55.4,43
Tamil Nadu,56.63,44.57,53.67,87.43,176.93,144.4,123.23,94.38,43.03,46.53,212.1,179.26,121.87, ,112.4,90.23,54.23,289.58,23.5,35.8,69.8,27.57
Telangana,49.89,39.7,43.67,74.3,162.5,119.5,112.7,89.9,40.44,64,168.3,173.5,118.9,148.33,116.2,97.9,54.78,300.5,18.25,28.2,66.4,29.8
Tripura,39, ,37.75,84.67,146.67,129,112,106.25,49.25,70.25, ,129.5,127.67,114.25,140,99.75,70.5,221.5,10.5,23.25,57.75,48.25
Uttar Pradesh,37.19,26.24,32.68,78.4,148.61,114.03,110.59,93.88,43.43,62.43,191.56,141.43,129.61,132.4,159.12,112.28,48.75,243.61,26.83,19.56,58.09,31.48
Uttarakhand,35.5,26,32.75,88.75,136,111.75,114.25,96.5,42.25,62.5,161.25,137.5,130.5,136,150,112,52,264.5,28.25,22.5,61.5,28.25
West Bengal,44.05,29.11,37.43,81.14,151.1,119.05,126.38,107.62,44.9,53.86,199.4,132.1,114.43,116.24,130.86,99.58,52.1,277.1,21.95,21.24,58.43,42.86
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 ,NR -&gt Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,

