 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  27/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.28,31.11,36.34,83.98,157.03,124.48,117.26,94.79,44.69,58.06,194.72,137.82,126.29,123.11,124.13,99.82,52.73,277.03,22.15,25.25,57.8,43.59
Maximum Price,71,58,67,133,213,174,165,153,70,80,263,258,220,200,244,176,100,560,31,70,90,80
Minimum Price,27,21,27,60,87,82,87,70,37,40,122,110,92,100,105,83,34,155,9,9,31,11
Modal Price,40,28,35,80,160,120,120,100,45,60,190,130,120,115,115,100,50,225,28,20,60,40
Andaman and Nicobar,50, ,67,94,177,145,130,96,53,73, ,176,209, ,134,124,74,325,20,40,77,80
Andhra Pradesh,53.2,43.6,46,82.2,174.8,133.8,122.2,100.8,43.4,59.8,174.4,184.2,112.8,153,110,88.75,59.4,343,22,32.6,58.4,26.4
Arunachal pradesh,37,42,40,94.5,142.5,130,125,105,55,72, ,120,120,120,180, , , ,15,25,80,50
Assam,41.95,31.33,36.59,82.64,143.24,111.63,113.41,90.95,46.82,70.18,208.57,146.14,134.81,131.82,151.33,111.27,57.32,253,14.05,21.73,62.14,49.15
Bihar,38.13,27.77,33.84,77.9,151.32,120.45,113.84,80.58,44.46,55.61,187.13,135.32,122,127.97,162.26,108.15,47.61,273.75,22.61,19.23,52.9,48.17
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,29,53,50
Chhattisgarh,40.83,36.67,37.67,82,156.5,113,114.33,89.67,42.67,60.67,210.17,144.33,125.33,123.17,140,111.17,52,295.83,25.5,25.33,59.83,37.83
Delhi,39,30,33,88,173,143,122,90,45,53,214,146,126,126,139,99,57,243,26,27,60,53
DNH and DD,48.67,41,44.33,88.67,165.33,136.33,128.67,96.33,44,64.33,206,152,136.33,135,126,101,69.67,350,27,22.33,50.33,39.33
Goa,48.5,44.5,42.5,95,181,143,135,96.5,44,57.5,226,160,142.5,149,117,95.5,59,325.5,24.5,35,56.5,47.5
Gujarat,44.6,35.67,39.5,84.6,153.17,118.17,114.17,96.33,42.5,57.5,192.8,130,133.25,134.5,126.6,106.17,51.17,266.75,18.33,25.4,64.2,32.2
Haryana,42,28,34,76.75,128.75,106.5,106,96.5,44.25,59.5,178.25,139.5,127.75,127,159.5,105.25,46.5,230.25,25,18.25,52.25,39.25
Himachal Pradesh,38.83,21,33.42,83.92,158.67,127.33,115.5,89.83,46.92,53.5,222,162.08,133.08,126,145.83,112.67,46.75,259.17,27.58,28.75,58.08,54.92
Jammu and Kashmir,37.33,34.67,41.67,93.33,126.67,117.33,122.33,103.67,53.33,48.67,243,141.67,138.33,134.33,155.67,138.5,50.33,342.33,26.67,32,51.33,50
Jharkhand,38.86,31.54,35,81.36,155.21,116.43,111.64,82.5,45.93,57.85,196.13,135.14,120.71,127.69,150.58,104.15,47.79,287.62,23.86,22.71,53.14,45.79
Karnataka,56.23,44.35,47.13,92.97,165.65,138.45,125.13,107.26,42.55,50.19,181.45,167.03,122.29,136.9,121.65,96.81,51.61,287.32,19.29,32.94,59.19,29.1
Kerala,50.58,45.25,46.42,103.83,190,151.33,136.09,113.17,43.75,53.58,230.57,188.44,149.08, ,118.83,98.92,62.42,237.5,14.5,38.75,56.67,49.58
Madhya Pradesh,38.22,28.66,34.49,81.8,160.32,115.59,113.27,90.37,43.34,57.63,195.9,136.27,118.78,111.34,140.45,107.81,48.05,254.9,19.39,20.12,55.46,35.41
Maharashtra,48.68,40.37,43.53,84.58,172.89,127.63,123.47,97.37,43.53,59.26,188.05,159.28,126.84,111.21,123.58,100.25,53.16,296,23.84,27.63,54.21,38.16
Meghalaya,38.4,39.11,38.2,88.33,141.43,128.83,119.78,91.5,48.8,72.2,139,133.5,138,129.9,170,141.2,81.5,363.2,21.6,26.3,71.7,53.3
Mizoram,50,42.5,50,94,160,130,125,102.5,50,77.5,198,188.5,185,135.5,198,143,100,520,27.5,40,60,71.5
Nagaland,40.69,42.25,48.13,96.25,131.08,124.13,121.33,97.69,50.06,71.71,200,139.38,172,148.31,202.5,137.5,78.33,313,17.56,27.19,67.5,57.5
Odisha,37.15,36.6,40.33,79.46,156.69,122.77,114.46,81.23,44.67,52.83,171.67,138.23,115.58,138.5,117.92,94.92,51.75,273.33,26.33,19.69,54.25,42
Punjab,38.87,25.67,31.4,85.4,161.67,124.47,117.27,102.07,45.4,59.4,204,126.8,120.6,118.6,137.15,100.27,50.13,265.5,26.47,23.13,55.93,53.67
Rajasthan,38.45,29.36,32.27,69.36,119,106.36,103.36,92.55,41.18,52.27,177,151.18,122.7,136.91,164.45,123,44.09,290.1,20.3,23.64,55.18,40.73
Sikkim,53,34.33,42,83.33,141.67,135,119,101.67,48.33,63.33, ,176.67,133.67,153.5,193.33, ,58.67,401,19.33,33.33,60,51.67
Tamil Nadu,57.58,44.59,53.64,88.11,179.08,147.78,123.69,94.16,43.42,46.53,210.86,180.5,124.81, ,113.31,90.69,54.78,308.29,23.97,36.78,59.42,39.03
Telangana,48.33,37,49,79,168,126,113,92.33,40.33,59,163.33,158.67,106,104,112.33,97.67,54.67,290,19.5,23.33,55,27.67
Tripura,39, ,39.25,83.67,148.33,129,111.5,104.75,49,70.25, ,130.25,127.67,114,144.5,99.75,70,219.75,10.5,22.5,61,60.5
