 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  13/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.59,31.15,36.63,84.26,156.4,122.87,117.43,94.32,44.8,58.44,193.72,137.86,126.68,121.85,123.8,100.33,53.86,279.74,22.26,25.24,59.09,38.18
Maximum Price,71,54,70,133,213,181,166,152,70,80,257,248,220,180,244,175,167,559,31,70,90,88
Minimum Price,28,21,27,60,90,83,90,70,37,40,125,110,94,98,99,80,34,155,9,12,20,10
Modal Price,38,40,40,80,160,120,120,100,43.5,60,200,130,120,122.5,120,100,50,225,28,20,60,40
Andaman and Nicobar,45.67, ,68,91.67,169,144.33,132,97.67,54.33,72.67,226.5,184,194.67, ,140.67,122.33,77.33,308.33,20.67,43.33,76.67,77.33
Andhra Pradesh,52.5,43.5,48.5,87.5,179.5,145.5,122,93,44.5,61,171.5,158,110, ,109.5,87,60,288.5,21,27,65.5,31
Arunachal pradesh,39.67,42,39,96.33,145,125.67,124.33,106.67,53,72.5,160,120,120,124,170, ,66,300,17,25,77.5,50
Assam,42.79,31.22,37.33,82.54,143.48,113.05,114.13,92.33,46.96,70.54,209,147,135.89,138.33,152.5,115.67,58.75,261.04,13.75,21.75,61.88,42.91
Bihar,38.56,27.56,33.86,77.72,150.28,117.28,113.03,81.06,44.39,55.44,187.65,134.92,122.47,127.36,163.97,108.9,48.19,275.58,22.56,18.81,52.83,38.56
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,25,70,40
Chhattisgarh,40.5,35.67,38.17,81.83,157.17,111.17,113,89,43.17,60,194,144.17,120.17,126.33,143.17,109.83,50.83,300.67,24.83,28,61.33,39.33
Delhi,39,30,33,88,173,140,122,90,45,53,214,143,126,124,139,99,57,243,26,30,60,47
DNH and DD,48.67,40.33,46,90.33,166.67,134,126.33,97.67,44,64.33,210,154,137.67,133.33,127.67,101,69.67,348.67,27,20.33,55,30.33
Goa,48.5,45,42.5,94.5,179,136.5,130,96.5,44,57.5,226,160,142.5,149,117,95.5,59,325.5,24.5,34,62.5,35.5
Gujarat,35.67,32.75,38,73.33,143.33,110,107,91.67,42,58.67,192,139.5,131,147.67,134.5,109.25,50,266.67,16.5,21.25,47.75,25.5
Haryana,44.67,27.33,34.33,75,128,110,106,97,44.33,59.67,185,127.5,125,125.5,164.5,113,44.33,239,25.67,16.67,48.67,31.67
Himachal Pradesh,38.67,21,33.25,84,157.75,124.83,115.33,90.75,46.83,53.5,220,160.92,134,125.4,145.83,112.67,47.25,259.83,27.58,31.08,59.33,41.5
Jammu and Kashmir,41.4,33.33,40.25,94,136.8,121.4,118.4,102.4,52,51.2,243,146.8,137,133.8,147,121,49.2,337.2,26.6,29.8,55.4,45.8
Jharkhand,39.29,32.08,35.64,81.64,152.71,116.36,111.79,83.5,46.23,57.58,193.33,138.21,120.86,130.15,151.42,106.46,48.69,287.75,24.15,21.64,50.14,39.71
Karnataka,56.16,43.56,46.75,91.66,165.41,136.31,124.59,107.5,42.47,50.56,181.53,167.53,122.56,137.26,120.81,96.88,51.56,290.78,19.59,32.72,62.59,24.53
Kerala,50.79,44.64,47.21,101.21,186.64,149.15,135.62,112.07,43.57,53.93,230.57,188.9,146.71, ,117.93,98.77,60.5,230.64,14.21,37.5,61.43,37.5
Madhya Pradesh,38.42,28.71,34.37,80.18,155.55,111.42,111.5,89.53,43.38,57.03,194.39,135.71,118.08,110.39,138.32,108.58,47.46,249.49,18.41,20.16,56.13,35.68
Maharashtra,48.42,39.63,43.42,84.89,174.16,126.26,123.89,97.47,43.37,58.58,188.11,158.33,127.37,108.79,121.74,99.94,53.58,295.84,23.79,27.47,58.21,27.05
Meghalaya,39.8,37.4,36.6,80.67,117.67,114.33,119.6,91.6,48.2,72.8, ,133,141.67,124.4,187.5,147.5,76.67,332.4,24.8,24.8,74.4,36
Mizoram,47.91,41.67,45.55,104,138.86,122.17,124.5,101.55,50.27,77.82,174,189.3,178.8,128,203,131.4,114.63,480.3,29.18,39.36,57.18,71.38
Nagaland,40.93,41.14,48.2,95.45,130.27,124.29,120.71,97.87,50.07,71.31,200,138.67,172,149.2,202.5,137.5,77.78,310.36,17.4,26.33,66,51.67
Odisha,37.67,37.44,40.78,80.63,161.38,123.42,114.71,81.38,44.75,52.08,158.2,136,113.32,125.11,113.58,93.33,50.42,275,26,19.63,54.46,39.54
Punjab,38.86,25.43,31.07,86.5,155.07,122.71,116,100.71,45.77,59.38,195.55,125.62,121.38,117.46,138.55,103.11,51,254.23,26.15,22.15,57.46,37.92
Rajasthan,37.2,28,33,71,130.6,109.6,107.8,88.4,42.8,54.25,182.2,146.4,116.4,130.6,149.5,111,42.8,338.2,23,19.8,57.2,31
Sikkim,59.5,36,46,82.5,128.5,129,115,95,46.5,63.5, ,179.5,123,163,171.5, ,55,483.5,19,36,70,47.5
Tamil Nadu,58.85,44.13,54.5,88.46,180.73,147.31,125.35,95.87,43.31,46.85,210.54,185.09,124.54, ,113.08,90.42,55.31,305.75,24.81,36.77,66,39.04
Telangana,51.4,40.1,44.6,74.89,164.44,121.2,113.7,90.2,40.9,63.4,168.8,171.22,119.4,148.67,117,97.9,55.5,303.4,19.5,28,65.3,31
Tripura,40.5, ,39.5,85,148,127,108.5,102.5,47,69, ,138,145,115,145,101.5,72.5,232.5,11,24,60,50
Uttar Pradesh,37.65,26.36,32.6,79.33,150.54,114.23,111.1,93.69,43.88,62.11,191.62,139.98,128.79,131.46,158.29,111.15,48.38,237.52,26.73,19.69,57.52,36.38
Uttarakhand,36,29,32.5,99.5,142.5,115.5,116,100.5,41,60,171,142,136.5,136.5,144.5,112,51.5,235.5,28,26,60,32.5
West Bengal,43.12,29.11,38.18,79.88,147.94,116.56,124.53,108.76,45.13,54.56,194.1,130.82,112.94,115.13,129.59,100.82,51.88,268,21.44,20.56,60.88,47.31
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 ,NR -&gt Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,

