 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  24/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.19,31.05,36.38,84.14,156.55,123.49,117.2,94.47,44.78,58.54,193.16,138.81,126.84,123.28,123.58,100.29,53.57,281.13,22.39,25.24,58.76,44.05
Maximum Price,71,54,70,133,213,178,176,153,70,80,262,258,220,200,244,176,167,559,31,70,90,88
Minimum Price,23,21,27,60,87,82,87,70,37,40,121,108,92,99,97,83,34,175,9,11,35,10
Modal Price,40,28,35,80,160,115,120,100,44,60,195,130,120,110,120,100,50,200,28,20,60,40
Andaman and Nicobar,45.67, ,68,92,169,144.33,132,97.67,54.67,72.67,226.5,184,194.67, ,140,122.67,77.33,308.33,20.67,43.33,78,79.33
Andhra Pradesh,53.2,43.6,45.8,82,175.2,134,122.2,100.8,43.2,59.8,174.4,184.2,112.8,153,110.4,87.75,59.6,343,21.8,31.8,57.2,26.6
Arunachal pradesh,34.67, ,36.67,93,141.67,121.67,121.67,103.33,52.5,72.5,160,133.5,120,124,170, ,66,300,17.5,25,80,53.33
Assam,42.87,31.25,36.35,82.3,144.64,112.68,112.78,92.17,46.83,70.3,208.67,146.74,136.12,136.48,152.95,113.57,57.78,257.86,13.91,21.7,62.45,46.76
Bihar,38.33,27.86,34.11,77.46,148.03,118.64,112.92,81.44,44.51,55.91,183,135.72,122.17,126.31,161.69,106.82,47.86,268.71,22.8,19.19,53.78,49.81
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,29,60,55
Chhattisgarh,40.11,36,38.22,85.89,161.33,111,110.44,93.22,42.33,58.56,196.89,148.89,126.22,127,140.44,113.56,50.89,291.89,24.33,25.33,58.67,37.67
Delhi,39,30,33,88,173,143,122,90,45,53,214,146,126,126,139,99,57,243,26,27,60,53
DNH and DD,48.33,40.33,45.67,88,166.33,135.67,127.33,96.33,44,64.33,207.67,153.67,136.33,134.33,126,100.67,69.67,349.33,27,21.67,53.67,43.33
Goa,48,45,45,92,180,143,128,95,44,59,230,145,135,125,122,93,60,343,24,35,65,45
Gujarat,39.71,35,38.57,80.57,147.57,114.86,110.29,93.29,42.43,58.67,194,134.83,136,134.5,125.5,107,51.43,264,16.14,24.57,66,28.14
Haryana,42,28,34,76.75,128.5,106.75,106,96.25,44.25,59.5,178.25,139.5,127.75,127,159.5,105.25,46.5,230.25,25,18.25,58.67,42
Himachal Pradesh,38.75,21,33.33,84.08,158.75,127.25,115.33,90.42,46.92,53.5,222,162.08,133.08,126,145.83,112.67,46.75,259.17,27.58,29,58.08,55.5
Jammu and Kashmir,41.67,32.75,39.67,91.67,135,121,117,102,51.33,53.33,243,152.17,140.17,138.67,150.6,132.67,48.83,332.33,25.5,28.5,56.5,56.83
Jharkhand,38.79,31.61,35.37,82.05,155.16,117.37,112,84,46.44,58.47,185.08,138,123.58,128.33,150.59,105.06,48.89,292.88,24.67,21.89,52.53,45.84
Karnataka,56.19,44.16,47.03,91.68,165.55,137.94,124.68,107.81,42.45,50.32,181.55,168.06,121.58,137.57,121.65,97.45,51.32,295.81,19.68,33.35,60.19,28.39
Kerala,50.79,45,47.36,102.36,188.71,151.77,136.15,111.71,43.71,53.93,230.57,185.9,147.29, ,118.21,98.62,62.5,230.57,14.21,39.36,59.43,46.36
Madhya Pradesh,38.59,28.54,34.39,81.72,157.93,113.98,113.04,90.46,43.15,57.5,193.4,135.43,118.5,111.04,136.22,107.65,48.04,251.87,19.09,19.59,55.96,34.93
Maharashtra,48.63,40.26,43.53,84.58,173.37,127.37,123.58,97.37,43.68,59.32,188.05,159.11,126.89,111.37,123.32,100.19,53.21,295.63,23.79,27.79,56,38.37
Meghalaya,38.4,39.11,38.2,88.33,141.43,128.83,119.78,91.5,48.8,72.2,139,133.5,138,129.9,171,141.2,81.5,363.2,21.6,25.7,72.2,49.5
Mizoram,47.91,42.22,45.55,104,138.86,122.17,124.5,101.55,50.45,77.82,174,188.9,170.8,128,197.5,131.4,114.63,480.6,29.18,38.55,58.09,72
Nagaland,40.69,41.88,48.13,96.67,129.83,125.38,122,98.31,50.06,71.71,200,140,172,148.94,202.5,137.5,78.33,313,17.56,27.19,67.19,56.88
Odisha,37.32,37.21,41.08,79.32,158.64,121.04,113.48,80.36,44.48,52.68,171.43,139.16,117,134.45,117.76,95.12,50.65,276.83,25.96,19.92,54.67,41.84
Puducherry,55,42,39,83,182,139,120,86,42,46,208,170,140, ,108,91,50,393,20,42,67,20
Punjab,38.14,25.86,31.21,85.57,163,125.21,117.71,101.21,45.29,59,201.58,126.64,119.71,117.29,133.08,99.5,50.5,268.46,26.5,23.21,56.07,56.14
Rajasthan,39.09,29.33,32.08,76.5,127.33,108.25,103.58,90.08,42.17,53.08,181.75,156.33,123.36,137.17,151.2,130.25,43.83,296.92,20.75,21.83,55.22,34.58
Sikkim,53.8,35.8,43,83,139.4,133.6,123.6,104,48.6,63.4, ,180.8,136.2,158.5,189.4, ,57.2,446,19,35.4,63,55.8
Tamil Nadu,58.15,44.5,53.06,88.41,179.56,147.91,123.62,94.33,43.15,46.15,210.5,181.33,125.26, ,113.18,91.09,55.15,297.78,24.15,36.47,62.85,40.18
Telangana,51.3,40.7,44.2,74.7,165.7,122,114.3,90.4,41,61.78,168,169.11,119.2,145.67,117.9,98.56,54.5,299.6,19,28,60.8,29.3
Tripura,38.67, ,40.33,83,150,134.5,111,106,48.67,69.67, ,133,137.5,115.33,149.33,102,74.33,237,10.67,23.67,60,61.67
Uttar Pradesh,37.43,26.24,32.57,79.69,151.94,115.72,112.32,94.16,44.07,62.34,191.42,140.44,129.59,132.01,158.96,112.15,48.53,240.6,26.85,19.93,57.37,45.09
Uttarakhand,35.67,28,34,91.33,138.33,112.67,117.33,101.33,41.33,60.33,168,136.33,131,132,151.33,112.5,50.67,253,28,25.33,60.33,47.33
West Bengal,43.57,29.8,38.04,81.57,151.74,119.59,126.83,108.09,45.83,54.74,199.27,131.91,113.78,115.78,129.17,99.81,51.96,274.43,21.83,21.17,59.3,53
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 ,NR -&gt Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,

