 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  28/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.09,31,36.27,83.59,155.22,122.86,116.75,94.3,44.71,58.42,192.94,138.88,127.07,124.97,124.17,100.17,53.27,281.11,22.34,25.09,57.64,43.94
Maximum Price,71,58,70,133,213,174,176,153,70,80,263,258,220,200,244,176,167,560,31,70,90,90
Minimum Price,23,21,27,58,87,80,80,70,37,40,120,108,92,98,97,83,34,155,9,10,31,11
Modal Price,40,28,35,80,160,120,120,100,43,60,190,130,120,115,120,100,50,300,28,20,60,40
Andaman and Nicobar,45.67, ,68,92,169,144.33,131.67,97.67,54.67,72.67,226.5,184,192.33, ,140,123.33,77.33,308.33,20.67,43.33,77.33,82.67
Andhra Pradesh,53.2,43.6,46,82.2,174.8,133.8,122.2,100.8,43.4,59.8,174.4,184.2,112.8,153,110,88.75,59.4,343,22,31,55.5,25.2
Arunachal pradesh,35.5,42,38,92.25,138.75,124.25,120.75,105,51.67,71,160,147,120,128,160, ,68,300,21.67,26,71.67,60
Assam,42.85,30.91,37,82.07,143.08,112.79,114.48,91.96,46.73,70.19,208.29,148.3,138.4,137.19,152.55,115.83,57.92,259.24,13.58,22,61.81,47.54
Bihar,38.09,27.66,34.06,77.89,149.17,119.6,112.94,81.49,44.6,55.43,183.81,135.51,123.26,127.31,164,108.57,47.86,273.29,22.4,18.69,53,49.89
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,29,53,50
Chhattisgarh,41.63,36.75,39.38,85.25,159.88,111.5,111.5,92,42.5,60.88,198.38,143.38,121,122.38,136.25,108.38,52.13,294.75,26.13,25.63,58.25,38.13
Delhi,39,30,33,88,170,143,118,90,45,53,214,146,126,126,139,99,57,243,26,27,60,53
DNH and DD,48.67,41,44.33,89.33,165,136.33,128.67,96.33,44,64.33,206,152,136.67,135,126,101,69.67,350,27,21.67,48,37
Goa,48.5,44.5,42.5,95,181,143,136,96.5,44,57.5,225,159,141.5,149,116,95.5,59,325.5,24.5,35,56.5,47.5
Gujarat,40.63,34.75,38.63,80.25,147.25,115.75,109.88,92.5,42.5,57.67,193,138.13,142.43,134.29,126.57,104.71,51.5,267.17,16.88,24.63,64.63,29.63
