 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  10/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.89,30.76,36.05,83.34,154.65,122.18,116.32,94.27,44.61,58.46,193.81,138.37,127.15,123.97,124.16,100.46,53.36,280.7,22.39,24.81,59.07,36.92
Maximum Price,70,58,70,133,213,181,175,152,70,80,257,258,220,200,244,198,170,560,31,65,96,90
Minimum Price,23,21,27,60,87,85,80,70,37,40,125,110,94,98,99,80,34,155,9,11,21,10
Modal Price,39,28,35,80,160,115,120,100,43,60,200,130,120,115,120,100,50,250,28,20,60,40
Andaman and Nicobar,45.33, ,68,91.33,169,144,131,97.67,54.33,72.67,226.5,184,194.67, ,140.67,122.33,77.33,308.33,20.67,43.33,76.67,77.33
Andhra Pradesh,52.8,43,45.6,81.8,170.4,134,121.8,100.8,43.4,58.6,172.8,183.2,112.8,153,111,93.8,59.4,342.2,21.6,31,72.2,25
Arunachal pradesh,32.33,42,38.33,89.67,135,126.67,120,103.33,55,72, ,155,170,140,202.5, , , ,15,27.5,57.5,55
Assam,42.74,31.1,36.93,81.96,142.15,112.52,113.48,92.3,46.48,70.26,208.33,148.52,138.62,138.59,153.74,116,58.11,257.88,13.52,21.48,59.89,42.58
Bihar,38.61,27.67,33.97,76.97,148.56,117.39,112.83,81.14,44.4,55.51,189.69,135.11,123.14,127.49,167.14,108.79,48.8,271.82,22.43,19.06,53.39,37.44
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,25,70,40
Chhattisgarh,40.89,35.44,37.56,85.11,161.67,110.22,109.56,93,42.67,58.56,192.67,148.89,126.78,126.89,140.89,113.89,50.56,290.78,24.44,26.67,58.33,32.78
Delhi,39,30,33,88,173,140,125,90,45,53,214,143,126,124,139,99,57,243,26,30,62,45
DNH and DD,48.67,40.33,46,90.67,167,134,126,97.67,44,64.33,210,153.33,137.67,133.33,127.33,101,69.33,348.67,27,20.33,56.67,24.33
Goa,48.5,45,42.5,94.5,181,135,131,96.5,44,57.5,226,161.5,142.5,149,117,95,59,325.5,24.5,34,62.5,33
Gujarat,38.71,33.43,38.14,81,148.14,114.71,110,91.86,42.83,58,197.83,143.67,140.2,138.83,129.67,105.17,50.5,274.5,17.33,24.33,61.83,27.67
Haryana,41,27.25,33.5,75.25,127.25,107,104.25,95,44,59.25,181.25,140,131.25,128.25,157.75,106.25,47,233,26.25,18,52.25,30.75
Himachal Pradesh,38.67,21,33.25,84.17,157.58,124.83,115.42,91.08,46.67,53.5,220,160.92,134,125.4,145.83,112.67,47.58,258.92,27.58,31.25,61,41.08
Jammu and Kashmir,38.75,35,39.25,95,131.75,122.5,118,103.75,53.75,49.5,243,150.33,138.33,135,156,121,50,320.5,28,29.33,51.67,37.33
Jharkhand,38.95,31.5,35.42,82.21,156.11,116.53,111.84,84,46.28,58.12,185.46,138.16,123.32,128.61,151.06,105.44,48.33,294.47,24.61,20.26,51.95,37.95
Karnataka,56.03,43.42,46.77,92.1,164.9,136.48,124.32,107.9,42.58,50.35,181.57,168.07,123.73,137.97,121.1,97.37,51.81,292.35,19.58,32.63,64.2,23.4
Kerala,50.85,44.62,47.54,101.46,186.15,150,134.42,113,43.46,54.08,230.57,189.1,145, ,117.54,98.83,61.08,228.69,14.15,38.08,61.31,38.31
Madhya Pradesh,38.26,28.47,34.26,80.77,157.66,112.91,112.34,90.13,43.38,57.51,194.67,135.59,118.26,110.3,138.2,107.57,47.98,250.77,19.41,20.24,56.39,34.43
Maharashtra,48.74,39.53,43.63,85.42,173.89,126.68,124,97.95,43.47,58.63,188.16,158.44,127.42,109.47,121.84,100.38,53.84,294.42,23.79,27.42,57.74,25.47
Meghalaya,39.67,37.4,36.5,83.25,137.6,127,117.8,91.67,47.83,72.17,139,130.5,134,125.83,187,159,80,327.17,24.5,27.33,77.17,37.5
Mizoram,47.91,41.67,45.55,104,138.86,122.17,124.5,101.55,50.27,77.82,174,189.3,178.4,128,203,131.4,115,480.3,29.18,39.18,57.18,71.38
Nagaland,40.69,41.88,48.13,96.25,131.08,125.38,122,98,50.06,71.36,200,140.63,172,151.13,202.5,137.5,77.78,313,17.56,26.56,64.38,52.19
Odisha,37.45,38.8,40.47,79.95,160.9,125.6,114.3,80.15,44.55,52.25,176.2,136.25,108.67,134.63,113.5,94.25,50.15,281.25,26.2,19.7,54.35,38.25
Punjab,38.27,25.33,30.67,85.27,154.4,122.2,114.93,100.73,45.53,59.47,199.08,125.47,120.13,115.8,137.23,103.64,51.13,258.07,26.2,21.33,54.73,35.47
Rajasthan,39,29.59,32.45,72.55,120.86,107.41,101.55,88.23,41.62,51.68,186.76,152.71,123.32,137.05,156.72,131.67,42.9,310.38,19.71,21.19,46.33,34.67
