 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  05/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.29,30.61,36.17,82.57,155.99,121.34,116.26,94.13,44.17,57.59,190.82,138.16,124.5,121.52,124.05,99.68,51.8,273.08,22.79,24.37,60.36,32.24
Maximum Price,70,54,67,133,190,180,165,152,60,80,257,235,220,175,228,175,167,559,31,60,86,83
Minimum Price,27,21,27,60,87,85,87,70,37,40,130,113,90,98,99,80,34,155,9,11,25,10
Modal Price,40,28,35,80,160,120,120,90,44,60,200,140,125,115,111,100,50,243.33,28,20,70,30
Andaman and Nicobar,49, ,67,92,176,140,127,97,52,73, ,176,209, ,139,123,74,325,20,40,77,80
Andhra Pradesh,56,43.5,45.5,87,178.5,137.5,125.5,100,43.5,58.25,172.75,165.25,110.75,129.5,111.67,88.25,60.5,378.25,22,29,65.5,25
Arunachal pradesh,38,42,40,90,130,130,120,110, , , , , , , , , , , , , , 
Assam,42.42,31.5,36.26,79.79,142.5,108.25,112.95,94.16,46.79,70.37,234.5,145.84,136.15,134.84,157.19,113.2,60.47,262.83,14.58,20.74,61.26,44.29
Bihar,38.41,27.23,33.45,79.36,149.91,120.18,113.36,81.91,44.23,55.5,202,134.82,122.64,125.45,161.15,107.89,47.59,287.36,22.64,19.5,56.55,34.91
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,25,70,40
Chhattisgarh,41.8,36,38,82.4,154,107.6,110.6,89.6,43,62,192.6,146.8,122.6,127.8,149.4,111.2,50.2,314.2,26.8,30,65.2,38.4
Delhi,39,30,33,88,173,142,125,90,45,53,214,143,126,124,139,99,57,243,26,28,75,38
DNH and DD,48,40,45.67,90,167.33,134,126,97.67,44,64.33,210,153.67,137.33,133.67,127.67,100.33,69.33,348.67,27,20.67,61.67,20.67
