 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  29/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.03,31.07,36.3,83.64,154.99,123,116.55,94.29,44.81,58.31,193.16,138.6,126.98,125.28,123.92,99.94,53.24,282.45,22.39,25.2,57.85,44.53
Maximum Price,71,58,68,133,213,174,178,153,70,85,262,258,220,200,244,176,167,560,31,70,95,113
Minimum Price,23,21,27,60,87,85,80,70,37,40,121,108,92,96,97,83,34,155,9,10,29,11
Modal Price,40,28,35,80,160,120,120,100,43.5,60,190,140,120,110,115,100,50,300,28,20,60,40
Andaman and Nicobar,46.67, ,67.33,93.67,172,147.33,133.33,98,54.67,72.33,232.5,182.33,190.33, ,140,122.33,77.33,308.33,19,43.33,79,81
Andhra Pradesh,53.2,43.6,46.4,82.8,176,134.2,123,101.8,43.4,59.8,174.4,184.2,112.8,153,110,88.75,59.4,343,22,33,64.6,26.2
Arunachal pradesh,32.33,42,38.33,89.67,135,126.67,120,103.33,52.5,70, ,120,120,120,180, ,70,300,22.5,25,80,45
Assam,42.65,30.91,36.27,81.62,142.88,110.23,113.23,92.19,46.69,69.58,208.14,148.62,138,139.5,153.19,117.12,56.92,256.32,13.5,23.15,61.92,49.17
Bihar,38.29,27.91,34.26,77.59,147.94,118.59,112.41,81.88,44.65,55.38,182.53,135.88,122.09,126.15,159.04,106.12,47.85,274.88,23.12,19.55,55.52,49.27
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,29,53,50
Chhattisgarh,40.25,36.25,37.88,85.25,159.63,111.38,111.25,92.75,42.5,57.13,205.5,148.13,129.63,129.25,143.38,115,49.5,299.25,23.63,26.29,57.14,37.14
Delhi,39,30,33,88,170,143,118,90,45,53,214,146,126,126,139,99,57,243,26,27,60,53
DNH and DD,48.67,41,44.67,89.67,165,136.33,128.67,96.33,44,64.33,205.67,152,137,135.33,127,101.33,69.67,350,27,23,50.67,40.33
Goa,48.5,44.5,42.5,95,181,143,136,96.5,44,57.5,226,160,142.5,149,117,95.5,59,325.5,24.5,35,56.5,47.5
Gujarat,40.13,34.75,38.38,79.88,146.88,115.75,109.25,92.63,42.38,57.67,193,139.14,142.29,135.63,128.88,106.5,51.5,267,16.88,24.57,60.86,37
Haryana,41.75,28,34.25,77,130.5,107.5,106,97,44.25,59.5,181.5,140.25,127.25,127,159.75,106.25,46.5,233.75,25,18.5,51.5,39.5
Himachal Pradesh,38.83,21,33.42,84.17,159.25,127.83,116,90.25,47,53.5,222,162.17,133,126.2,145.83,112.67,46.75,259.75,27.58,28.25,60.5,61.33
Jammu and Kashmir,42,33,40.67,92,135.83,120.67,119.5,100,52.5,53.33,243,151.5,140.17,139.17,150.6,132.67,50,334.33,26.5,29.67,57.67,57.33
Jharkhand,38.63,31.44,35.26,81.84,154.95,117.21,111.84,83.74,46.5,58.53,183,137.89,124.22,129.47,147.63,104.76,48.72,292.12,24.72,21.79,52.89,44.47
Karnataka,56.31,44.41,46.81,92.5,165.47,138.59,124.72,106.84,42.53,50.53,181.06,166.91,121.75,137.19,121.66,97.06,51.56,291.28,19.59,32.94,58.63,29
Kerala,50.33,46.08,48.33,102.67,189.83,150.82,135,109.75,43.5,53.83,233.83,182.88,143.42, ,117.5,97.73,62.08,229.42,14.08,38.83,57.92,44.58
Madhya Pradesh,38.53,28.71,34.42,82.31,159.04,114.11,113.47,90.51,43.27,57.3,193.56,135.58,118.84,111.33,137.3,107.91,48.3,252.16,19.23,19.93,54.41,34.55
Maharashtra,48.74,40.37,43.63,84.53,173,127.63,123.95,97.47,43.63,59.05,188.47,159.5,126.79,111.58,123.53,100.25,53.32,296,23.84,28.05,53.63,39.32
Meghalaya,38.7,39.33,38.2,88.33,141.86,128.83,119.78,91.3,49.2,72.2,139,133.5,140,129.9,169.67,132.75,81.5,363.2,21.6,26.2,71.7,56.2
Mizoram,47.9,41.88,46.2,102.25,143.4,122.17,125.17,101.9,50.5,79.4,174,186.33,176.75,125.4,197.5,130.25,115.88,474,29.1,39,57.9,78.4
Nagaland,40.69,42.25,48.13,96.25,131.08,124.13,121.33,98,50.06,71.71,200,139.69,172,148.31,202.5,137.5,78.33,313,17.56,27.5,68.13,61.56
Odisha,37.64,37.44,40.75,80.28,161.12,124.84,113.92,80.32,44.64,52.72,172,135.88,112.36,123.86,114.96,93.83,50.64,284.32,26.2,19.88,54.4,41.44
Puducherry,55,42,39,83,182,139,120,86,42,46,208,170,140, ,108,91,50,393,20,42,63,20
Punjab,38.8,25.6,31.33,85.4,161.2,123.73,116.47,101,45.36,59,203.62,128.2,119.53,118.53,136.38,101.18,50.5,268.08,26.36,21.6,58.4,60.4
Rajasthan,39.73,29.73,33,73.23,119.92,106.96,101.69,90.73,42.44,51.52,182.75,154.96,126.17,140.84,159.05,135,44.28,298.54,21.24,22.65,52.48,39.92
Sikkim,53.8,35.8,43,83,139.4,133.6,123.6,104,48.6,63.4, ,180.8,136.2,158.5,189.4, ,57.2,446,19,36,62,57.8
Tamil Nadu,57.81,44.68,52.89,88.31,178.25,147.97,123.64,94.58,43.39,46,210.81,180.28,125.47, ,113.19,90.81,54.67,307.58,23.92,36.69,58.67,36.97
Telangana,51,41,44.11,74.67,167.56,121.56,113.33,90.44,41,61.78,168,169.67,120.11,146.2,118.44,98.44,55.78,304.33,18.67,27.67,60.67,29.22
Tripura,39, ,39.25,83.67,148.33,129,111.5,104.75,49,70.25, ,130.5,127.67,113.25,144.75,99.75,70,219.75,10.5,23.75,61.5,58.75
Uttar Pradesh,37.12,26.44,32.88,79.11,149.73,115.47,111.88,94.4,44.08,62.7,192.25,141.66,129.85,132.74,159.25,112.11,48.17,243.28,26.89,19.58,56.78,43.3
