 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  08/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.83,30.62,36.04,83.21,154.28,121.47,116.17,94.11,44.56,58.5,193.39,138.77,126.85,124.27,124.37,100.31,53.22,280.28,22.27,24.89,59.37,35.77
Maximum Price,70,58,70,133,213,180,176,152,70,80,257,258,220,200,244,198,167,559,31,65,90,100
Minimum Price,27,21,27,60,87,85,87,70,37,40,125,107,88,96,97,80,34,155,9,11,21,10
Modal Price,40,28,35,80,160,110,120,100,43,60,200,130,120,115,120,100,50,250,28,20,60,40
Andaman and Nicobar,45.33, ,68,91.33,169,144,131,97.67,54.33,72.67,226.5,184,194.67, ,140.67,122.33,77.33,308.33,20.67,46.67,73.33,75
Andhra Pradesh,52.8,43,45.6,81.8,170.4,134,121.8,100.8,43.4,58.6,172.8,183.2,112.8,153,111,93.8,59.4,342.2,21.6,31,69,24.6
Arunachal pradesh,39.33,42,38.33,95.67,145,125,125,106.67,53.5,72.5,160,130,120,124,170, ,66,300,17,25,82.5,50
Assam,42.81,31.3,36.96,81.78,142.65,112.22,113.74,92.67,46.59,70.15,207.14,148.37,139.05,139.22,154.18,116.59,58.33,257.58,13.22,21.96,60.78,43.04
Bihar,38.5,27.33,33.83,77.86,150.31,117.39,113.31,81.08,44.5,55.38,191.56,134.29,122.03,127.06,164.9,107.52,47.94,275,22.47,19.2,54.37,36.14
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,25,70,40
Chhattisgarh,41.75,35.5,37.38,86.25,159.88,107.63,107.63,94.63,42.13,59.38,192,151.25,129.25,128.5,144.38,115.13,50.13,297.63,25.5,27.5,58.5,32.75
Delhi,39,30,33,88,173,140,125,90,45,53,214,143,126,124,139,99,57,243,26,28,62,43
DNH and DD,48,40.33,45.67,90.33,165.33,134.33,125.33,97.67,44,64.33,210,151.67,137.33,133.33,127,101,69.33,348.67,27,20,56.33,20.33
Goa,48,44.5,42.5,94.5,179,134,130,96.5,44,57.5,226,161.5,142.5,149,117,95,59,325.5,24.5,34,63.5,27.5
