 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  19/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.69,31.19,36.36,82.85,149.46,122.17,115.86,93.46,44.58,58.48,190.53,136.5,125.11,122.77,123.56,98.52,52.85,280.77,22.37,22.82,37.76,31.78
Maximum Price,70,62,69,139,210,175,180,153,70,83,262,235,220,189,235,176,167,559,31,70,80,88
Minimum Price,26,21,27,58,87,80,80,70,38,40,122,108,88,97,101,77,36,157,9,9,18,11
Modal Price,40,28,35,80,160,120,120,100,44,60,190,130,120,120,120,90,50,300,28,20,30,20
Andaman and Nicobar,48.67, ,67.67,94,170.33,150.33,133,100.33,55.67,73.33,232.5,180,182.33, ,136.33,120.67,79,308.33,20,43.33,56.67,63.33
Andhra Pradesh,59,45.2,49.4,84.2,163.8,141,127.2,103.4,42.8,60,169.4,171,109.2,143,112.8,89.2,58.6,348.2,21.8,31.6,34,23.8
Arunachal pradesh,37.33,42,42,92.67,146.67,126.67,120,103.33,50,72.5,160,134,115,129,170, ,70,300,17.5,22.5,45,45
Assam,43.67,31.25,36.26,82.74,143.63,113.87,113.85,92.15,47.37,70.89,207.57,147.74,137.4,137.19,151.82,115.41,56.96,258.04,13.48,20.04,45.11,40.88
Bihar,37.41,27.54,34.03,76.59,144.59,117.65,111.97,79.73,44.36,55.97,178.93,131.84,120.68,126.43,160.53,104,46.97,275.17,22.86,16.25,36.36,30.19
Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,12,35,35
Chhattisgarh,41.56,36,38.89,88.11,160.78,111.44,110,93,42.75,59.25,195.89,149.38,124,124.78,137.11,112,49.13,288,23.63,23.33,42,21
Delhi,40,29,31,80,153,140,118,83,44,54,211,145,119,125,133,98,57,248,26,15,35,28
DNH and DD,47.67,41.33,46,88,156.67,140.67,127,96,43.33,64.33,191,145.67,134.33,133.67,124.33,100.67,69.67,350,27.33,19.67,26.67,27.33
Goa,52,45,46,92,170,150,125,95,44,58,228,145,135,127,123,93,60,343,24,33,37,35
Gujarat,41.5,35.38,39.5,82.25,149.25,119.88,111.88,94,42.63,61.5,189.5,141.13,132.75,129.75,123.63,103.38,52.5,252,14.13,23.5,39,26.5
Haryana,42.75,29.25,34.5,75.75,127.75,108,107.75,96.5,43.5,59.5,176,134.5,124.25,126.25,152.25,106.5,44.5,233.5,25,17.25,40.5,28.75
Himachal Pradesh,38.5,21,33.33,81.08,155,127.42,114.58,89.58,47.08,53.5,219.5,159.92,131.75,125.7,141.8,118.5,46.58,260,27.5,21,38.75,40.08
Jammu and Kashmir,44.5,36,40.17,91.67,138.67,121,123,101.17,50.5,51.5,250,143.17,134.33,130.83,146.2,113.33,49.83,312.33,26.83,23.83,39.17,38.83
Jharkhand,38.47,31.33,35.21,79.42,148.16,118.37,110.63,82.74,45.67,58.47,183.23,135.74,121.21,126.61,148.65,103.22,47.39,290.53,24.83,18.26,34.63,26.68
Karnataka,58.38,43.84,47.09,92.59,159.72,137.53,123.84,106.25,42.69,50.56,180.56,165,119.9,136.32,121.38,95.75,51.47,289.69,19.75,33.13,39.22,27.69
Kerala,51,44.92,47,101.83,179.08,151,136.27,112.67,43.5,53.5,228,176.5,140.92, ,118,97.55,64.33,229.25,15,40.33,34.92,38.17
Madhya Pradesh,39.13,29.28,34.7,80.77,150.02,113.91,112.47,89.74,43.04,57.23,190.23,134.6,117.6,110.11,135.65,107.29,46.72,252.34,19.22,18.26,31.49,22.77
Maharashtra,50.11,40.47,43.53,81.89,162.05,128.37,121.74,95.63,42.89,58.79,184,155.5,125.95,107.58,121.79,98.31,53.53,295.74,23.47,28.21,28.53,29.42
Meghalaya,38.89,38.5,37.22,90.4,151.33,130,119,89.44,49.89,73,137,132.22,138.5,131.56,182.33,142.75,80.6,351,21.78,24.33,48.56,38.33
Mizoram,48.18,41.89,45.55,104.22,142,124,128,101.36,50.45,77.9,157.5,188.8,170.8,129.36,175.5,131.2,120,481.4,29.18,39.91,62.64,74.89
Nagaland,41.69,42.63,48.63,97.08,134,126.88,122,97.38,50.69,73,200,138.13,168,146.75,200,137.5,78.89,319.67,17.56,26.88,61,55.33
Odisha,38.08,37.68,40.76,77.32,148.92,117.32,111.8,80.12,44.61,52.14,165,137.75,112.7,125.89,118.38,93.54,51.55,277.21,26.04,19.04,34.92,28.04
Puducherry,57,40,38,97,175,130,115,80,41,48,201,167,133, ,110,92,50,400,20,39,36,26
Punjab,38.47,25,31,83.73,154.07,125.47,116.4,99.13,44.27,59.2,200.08,123.43,117.36,115.64,133.5,99.2,50.8,269.2,26.47,14.57,30.93,31.93
Rajasthan,39.96,29.39,32.61,73.89,120.36,106.68,101,87.89,42.19,51.88,187.52,151.3,123.08,134.54,155.91,127.4,43.7,303.96,20.56,21.07,39.7,33.93
Sikkim,51,34.5,40.25,85,131.25,128.75,119.5,102.5,48.75,63.75, ,178.75,130.5,144.33,184.75, ,59,420.75,19.5,33.75,50,43.75
Tamil Nadu,60.54,45.33,53.09,85.51,164.63,142.37,122.37,94.87,43.17,46.54,207.49,177.22,124.06, ,113.31,88.63,55.89,296.29,23.83,36.69,35.4,31.26
Telangana,51.3,41.6,45,75.4,158,122.3,113.2,89.7,41.2,63.78,167,167.9,118.4,144.83,115.22,96.6,55.6,301.1,19.7,27.1,34.2,28.3
Tripura,40, ,40.5,88,132,127,103.5,102,46.5,69, ,138,145,115.5,145,101.5,72.5,232.5,11,20,40,40
Uttar Pradesh,37.76,26.85,33.16,78.93,145.92,115.79,111.4,94.12,43.71,62.36,191.29,140.01,129.03,131.51,157.15,110.99,47.64,244.05,26.91,15.23,34.52,26.65
Uttarakhand,36.25,28.5,34.5,88.25,144.75,110,108.25,98,42.75,61.25,154.25,137.75,133.25,131.75,145.5,115.5,51.5,264.25,28.75,14.5,32,28.25
West Bengal,43.78,29.8,38.17,80.35,147.78,118.59,127.22,106.91,45.74,54.7,196.27,128.96,111.61,113.04,125.35,97.67,50.87,272.78,21.74,19.26,37.91,32.22
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 ,NR -&gt Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,

