 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  31/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.88,31.07,36.19,82.83,148.9,122.65,116.17,93.55,44.54,58.41,190.67,135.78,124.71,123.39,123.68,98.61,52.84,281.5,22.46,22.29,34.73,32.96
Maximum Price,70,62,69,137,213,175,180,153,70,83,262,235,220,189,240,176,167,560,31,70,80,88
Minimum Price,25,21,27,60,87,80,81,70,38,40,123,108,89,95,98,77,31,157,9,8,15,11
Modal Price,40,28,35,80,155,120,120,100,44,60,190,130,120,130,115,90,50,300,28,20,30,30
Andaman and Nicobar,49, ,67.67,94,171.67,150.33,132.67,100,55,73,232.5,180,182.33, ,136,120,76.67,308.33,19.67,43.33,56.67,66.67
Andhra Pradesh,59.75,45.25,46.25,85.25,161.5,141.75,125.5,100,43.5,58.5,168,165.75,109.5,124.5,113,88.75,59.75,385.75,22.75,31.25,28,24.5
Arunachal pradesh,35,42,39.25,90.25,139.5,125,118.25,102,50,71.67,153,134,123.5,128.5,181.5, ,74,313.5,21.67,24,48.33,45.33
Assam,43.57,32,36.87,83.78,143.87,114.3,114.74,92.65,47.48,72.09,212.4,146.7,135.65,134.04,151,111.93,57.96,264.82,13.91,19.22,40.61,36.1
Bihar,37.62,27.59,33.76,76.82,144.29,118.38,112.26,79.44,44.3,55.06,179.31,130.71,120.09,126.38,161.64,102.82,46.88,276.7,22.85,15.82,32.7,29.03
Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,12,37,45
Chhattisgarh,41,36.25,38.13,88.63,159.63,112.25,110.25,92,42.75,57.25,204.75,148,127.25,126.5,140.38,112.25,49,298.13,23,22.38,36.38,20.75
Delhi,40,29,31,82,157,143,118,85,44,54,211,145,119,126,133,98,57,248,26,15,37,38
DNH and DD,48.67,41.33,46.33,87.33,156.33,139.67,125.67,96,43.33,64.33,191.67,145,134.33,132.33,124,100.67,70,350,27.33,19.33,25,36
Goa,52,45,46,88,165,150,125,93,43,59,223,145,135,127,123,93,60,343,24,33,33,38
Gujarat,44.6,36.4,40.4,81.6,145.8,120.8,115.8,93.8,42.4,59.8,184.8,142.4,138.4,133,122.4,107.2,51.4,253.8,16.2,23.4,34,25.6
Haryana,42.5,29.25,34.25,75.5,125.25,106.25,107.25,95.25,43.5,59.5,176,136.75,124,126.75,153.25,106.25,44.5,232.25,25,17.25,41.5,29.5
Himachal Pradesh,38.58,21,33.17,80,153.67,126.67,114.17,89,46.92,53.5,219,159,130.5,124.7,140.8,117.5,46.83,259.58,27.58,20.58,36.17,47.67
Jammu and Kashmir,44.67,36,40,92.17,136.33,120.17,122.5,103.17,50.33,51.5,235,143.17,134.67,131.33,146,113.33,49.67,313.67,26.83,20.67,35,42.67
Jharkhand,38.58,31.56,35.16,79,147.47,118.21,110.68,82.68,45.72,58.53,183.31,136.05,121.74,127.72,148.88,103.61,47.44,289.82,24.89,17.32,29.89,24.89
Karnataka,58.16,43.84,47.19,92.38,158.5,137.59,124.06,106.63,42.63,50.56,180.34,164.81,119.84,136.32,121.44,95.84,51.66,289.09,19.72,32.5,35.78,26.19
Kerala,50.62,45.62,47.46,101.46,177.15,152,135.75,112.62,43.31,54.38,228.29,176.2,140.77,130,117.23,97.08,63.38,230.85,15.08,37.46,28.08,36.23
Madhya Pradesh,39.29,28.98,34.69,79.42,150.02,114.73,112.6,89.58,42.89,57.18,189.93,133.6,116.96,109.91,135.66,108.14,46.3,248.11,19.5,17.96,28.71,27.11
Maharashtra,50.68,40.26,43.21,81.68,161.42,128.68,122.84,95.68,42.95,58.79,184,155.28,125.47,107,120.95,98.06,53.42,295.84,23.37,27.37,26.84,36.47
Manipur,51, , , ,171,130,136,92, , , , , , , , , , , , , , 
Meghalaya,38.89,38.75,37.22,90.4,157.5,130.6,118.44,89.44,49.78,73,137,132.22,138.5,131.56,195.67,142.75,80.6,352.11,21.78,23.56,45.44,38.22
Mizoram,47.91,41.89,45.55,104.89,140.86,122.67,127.25,101.36,50.45,77.45,159.5,188.8,170.8,129.27,175.5,131.2,119.63,481.4,29.18,39.18,60.18,73.11
Nagaland,42.06,42.63,48.75,96.67,133.17,124.38,121.33,97.38,50.38,73.29,200,137.33,157.5,144.53,200,137.5,78.89,320,17.56,26.56,60,52.19
Odisha,38.08,36.89,40.46,78.96,150.76,119.16,113.2,81.12,44.5,52.29,174,135.24,111.58,135.4,115.8,92.76,49.67,276.42,26.08,18.76,30.6,26.48
Puducherry,57,40,35,85,160,117,114,86,42,48,191,183,113, ,107,92,52,400,22,33,32,27
Punjab,38.27,24.93,31,83.33,154,123.8,115,97.07,44.33,59.07,201.62,123,117,114.87,131.69,99.18,50.87,268.8,26.47,13.5,28.5,44.57
Rajasthan,40.71,29.19,32.35,73.87,120.87,109.2,102.48,88.71,41.93,52.19,188.11,151.57,123.96,138,158.54,133.67,43.31,297.97,19.9,21.24,37.89,34.1
Sikkim,53.75,36.5,39.75,86.25,135,128.25,124.25,101.25,49.5,63, ,170.5,136,133,183, ,61.5,452.5,18.5,31.25,41.25,40
Tamil Nadu,60.49,45.42,53.29,84.91,162.8,142.2,122.8,94.37,43.17,46.86,207,176.78,124.31, ,113.89,89.31,55.89,297.46,23.8,34.91,30.54,28.63
Telangana,52.9,41.8,44.5,77.2,157,123,113.2,89.5,40.9,63,165.5,166.6,117.4,147.67,113.9,96.5,55.2,298.6,19.7,27.6,33.4,28.6
Tripura,38.75, ,38.75,85.33,140.33,128.33,111.25,102.25,48,70.25, ,130,127.67,114.5,144.5,99.75,69.25,221.5,10.5,21.25,36.5,41.25
Uttar Pradesh,37.86,26.95,33.14,78.86,144.99,115.55,111.19,94.03,43.7,62.34,190.53,139.95,128.93,131.68,157.77,111.12,47.58,244.04,26.89,14.85,32.21,29.89
Uttarakhand,37,27.5,35,88.5,143,109.75,108.75,98,43,61.5,154.5,137.5,133.5,132.25,146,115.5,52.5,264.25,28.75,15,33.75,30.25
West Bengal,43.7,29.8,38.22,80.87,147.57,119.91,127.04,106.87,45.61,54.74,195.45,128.22,111.26,113,124.91,97.62,50.7,272.78,21.74,18.57,35.87,32.39
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 ,NR -&gt Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,

