 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  13/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.14,31.14,36.53,82.62,150.73,122.64,115.96,93.07,44.69,58.59,190.09,135.71,124.49,120.83,123.79,98.16,52.09,276.84,22.55,22.18,38.2,31.63
Maximum Price,70,54,69,133,193,165,151,153,70,80,262,235,220,180,235,176,167,559,33,60,80,80
Minimum Price,26,21,27,60,87,82,87,70,38,40,122,109,88,97,101,77,36,157,9,9,14,12
Modal Price,40,28,35,80,160,120,120,100,44,60,200,127.5,120,130,120,90,50,243.33,28,20,40,20
Andaman and Nicobar,48.67, ,67.67,94.33,171.33,149,133.33,100,55,73,232.5,180,182.33, ,137,120.67,78.33,308.33,19.67,43.33,56.67,66.67
Andhra Pradesh,54,44,48.5,83.5,164,139.5,125,88.5,44,61,172,164,107.5, ,112.5,90.5,58,288.5,20.5,27.5,30,24.5
Arunachal pradesh,36,42,44,90,145,130,120,105,50,73, ,120,110,120,180, , , ,15,25,40,60
Assam,43.64,32,36.23,83.09,143.5,113.26,113.27,91.68,47.14,71.68,208.17,147.18,134.25,132.23,150.89,110.36,56.73,262.62,14,20.18,44.73,42.1
Bihar,37.68,27.56,33.56,76.94,145.41,118.68,112.97,79.71,44.29,55.26,184.59,130.74,120,126.21,160.14,102.64,46.94,279.47,23,16.71,36.79,31.88
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,15,35,35
Chhattisgarh,43,37,39.29,87.43,158.14,112.57,112.14,90.71,43,59.57,207.57,144.43,122.86,121.43,136.57,107.14,50.14,302.43,25.29,25.43,41.43,22.86
