 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  21/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.88,31.38,36.81,82.1,151.79,122.9,115.78,93.48,44.05,57.73,189.77,134.8,122.94,119.44,122.32,97.38,51.26,274.11,23.06,21.77,34.8,29.34
Maximum Price,70,54,69,133,193,164,150,133,53,80,260,235,220,180,210,170,167,559,30,70,80,70
Minimum Price,26,21,28,60,87,85,90,70,38,40,124,110,88,97,105,83,36,157,9,9,19,12
Modal Price,40,28,35,80,150,120,115,90,44,60,170,135,120,110,115.67,90,50,280,28,15,30,20
Andaman and Nicobar,52, ,69,95,164,154,129,97,53,73, ,176,202, ,135,128,74,325,20,40,50,60
Andhra Pradesh,57.25,45.25,50.5,85.5,164.5,143,129.25,105,42.5,62.75,168,170.75,109.5,145,114.5,89.75,58.75,309.5,21.5,30.5,29,21.75
Assam,42.71,31.8,36.21,81.64,140.14,106.77,113.64,92.64,46.5,71.5,234.5,143.79,136.55,129.29,149.08,105.67,55.14,256.85,13.93,18.71,41.07,41.62
Bihar,37.17,27.5,34.11,77.17,144.22,120.39,111.39,79.78,44.39,55.28,170.29,129,117.5,121.78,150.69,102.13,45.33,290.72,22.06,16.44,34.17,30.11
Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,12,35,35
Chhattisgarh,44.4,37,38.2,85,155.6,111.6,113,91.2,42.6,62.8,219.5,136,128.2,120,141.2,101,51.8,306.2,27.8,24.8,42.8,24.2
Delhi,40,29,31,80,153,140,118,83,44,54,211,145,119,125,133,98,58,248,26,15,35,28
DNH and DD,48.33,41.33,46.33,88.33,156.67,140.67,127,96,43.33,64.33,191.33,145.67,134.33,133.67,124.33,100.67,69.67,350,27.33,19.67,26.67,27.33
Gujarat,46.25,37.25,42,83,155,122.5,117.5,99.25,43.25,60.25,180.5,145,137.5,133,122.25,106.5,51.5,256,17,24.25,33.75,24.5
Haryana,42.75,29.25,34.5,75.75,127.75,108,107.75,96.5,43.5,59.5,176,134.5,124.25,126.25,152.25,106.5,44.5,233.5,25,17.25,41.25,28.75
