 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  29/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.86,31.19,36.3,82.98,149.35,122.66,116.37,93.78,44.55,58.56,190.05,136.31,125.26,123.1,123.39,98.72,53.08,281.74,22.43,22.37,35.4,32.5
Maximum Price,70,54,69,141,213,175,180,153,70,83,262,235,220,189,240,176,167,560,31,70,80,88
Minimum Price,25,21,27,58,87,80,87,70,38,40,120,109,88,95,98,77,36,157,9,8,15,11
Modal Price,40,28,35,80,160,120,120,100,44,60,190,130,120,110,115,90,47.5,300,28,20,30,30
Andaman and Nicobar,49, ,67.67,94,171.33,151,132.67,99.67,55,73,232.5,180,182.33, ,136,120,76.67,308.33,19.67,43.33,56.67,63.33
Andhra Pradesh,60.2,45.2,49.2,84.8,163.4,142.2,127.6,104.2,42.8,60,170.2,171.2,109.6,143,113.6,89.6,59,348.2,22.4,31,30.4,22.2
Arunachal pradesh,34.25,42,40.5,90,139.5,125,118.25,102,50,71,153,153.67,155.33,140,195.67, ,74,313.5,21.67,23.33,47.67,45.67
Assam,43.16,31.36,36.88,83.04,143.8,112.41,114.6,91.76,47.25,70.08,211.5,147.2,136.63,136.12,148.15,113.13,56.79,262.57,13.5,19.08,41.44,36.43
Bihar,37.36,27.82,33.73,76.7,144.94,119,111.88,79.36,44.25,55.66,177.87,131.69,119.97,126.58,162,103.5,47.13,274.94,22.5,15.76,33.73,29
Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,12,40,40
Chhattisgarh,41,36.25,38.13,88.63,159.63,112.25,111,92.13,42.75,57.25,205,148.38,127.63,126.63,140.38,112.25,49.25,298.25,23.63,22.5,39.13,20.75
Delhi,40,29,31,80,153,140,118,87,44,54,211,145,119,125,133,98,58,248,26,15,38,38
DNH and DD,48.67,41.33,46.33,87.33,156.67,139.67,125.67,96,43.33,64.33,192.33,145,134.33,133,124,100.67,70,350,27.33,19.33,25.33,29.33
Goa,52,45,46,88,165,150,125,90,43,59,223,145,135,127,123,93,60,343,24,33,33,42
Gujarat,42,35.14,38.86,80.14,149.14,119.14,112.29,91.57,42.14,59.86,186.86,141,131.71,130.71,122.43,103.43,51.29,251.57,14.71,22.43,34.29,25.29
Haryana,42.75,29.25,34.5,75.5,125,106.5,107.25,95.5,43.75,59.5,176.25,137,123.75,126.5,153.25,106.5,44.75,232.5,25,17.25,41.25,29.25
Himachal Pradesh,38.58,21,33.17,80,153.58,126.67,114.17,89,46.92,53.5,219,159,130.5,124.7,140.8,117.5,46.75,259.58,27.58,20.67,36.75,44.83
Jammu and Kashmir,44.67,36,40.33,92.83,136.33,120.17,123,102.67,50.33,51.33,242,143.17,133.6,131.17,146.6,113.33,49.67,312.33,26.83,20.83,35.67,42.67
Jharkhand,38.47,31.5,35.26,79.42,148.26,118.32,110.58,83.16,45.72,58.53,183.23,135.95,121.53,126.56,148.71,103.56,47.44,290.35,24.89,17.42,30.16,25.79
Karnataka,58.34,43.88,47.13,92.72,158.63,137.13,124.03,106.81,42.63,50.5,180.42,164.75,119.69,136.32,121.34,95.75,51.72,289.28,19.72,32.41,36.19,26.5
Kerala,50.64,45.57,47.29,101.43,177.64,151.62,136.46,111.43,43.21,54.14,228.29,175.9,142.86,130,117,96.85,62.14,230.71,15.07,36.86,28.71,36
Madhya Pradesh,39.32,28.84,34.64,79.48,150.25,114.84,113.09,89.39,42.95,57.45,189.34,132.05,116.02,109.28,134.67,108.09,46.39,248.52,19.68,17.68,27.95,25.73
Maharashtra,50.47,40.37,43.42,81.84,160.89,128.37,122.42,95.26,43,58.89,184.16,155.28,125.53,107.37,121.74,98,53.53,295.95,23.32,27.79,27.32,31.68
Meghalaya,39.13,38.57,36.88,90.4,151.33,130.6,118.25,89.38,49.75,73.13,137,132.5,134,131.75,206,132,80.6,351.13,22.25,24.5,46.88,36.25
Mizoram,47.91,41.89,45.55,104.89,140.86,122.67,127.25,101.36,50.45,77.45,159.5,188.8,170.8,129.27,175.5,131.2,119.63,481.4,29.18,39.18,60.18,74
Nagaland,41.94,42.63,48.63,96.67,133.58,124.38,122,97.38,50.38,73.29,200,138.75,166,146.75,200,137.5,78.89,319.67,17.56,26.25,60.63,52.5
Odisha,37.87,37.17,40.73,78.91,151.22,117.78,113.26,81.39,44.36,52.19,173.43,137.78,111.83,134.6,117.48,93.83,50.91,272.88,26.23,18.83,32.39,28.3
Puducherry,56,40,35,91,160,120,114,86,42,48,192,183,113, ,108,94,51,400,22,35,33,26
Punjab,38.6,24.93,31.2,82.93,154.67,123.27,114.73,97.33,44.21,59.36,199.92,122.29,117.14,115.14,132.08,99.1,50.5,266.86,26.64,13.29,28.71,41.36
Rajasthan,40.46,29.17,32.13,73.29,119.96,108.88,102.5,90.17,42.33,51.59,184.63,151.35,129.05,137.78,154.5,131.5,44.38,304.71,20.38,21.21,39.08,34.29
Sikkim,53.8,35.6,41.6,85,132.4,128.6,120.2,101,48.6,63.4, ,178.2,130.8,148,178.4, ,59.2,446,19,32,47,42
Tamil Nadu,60.27,44.87,53.3,85.06,164.64,142.58,122.85,94.41,43.21,46.55,207.24,178.43,122.91, ,113.91,89.39,56.36,310.52,24.21,35.45,32,29.48
Telangana,52.8,41.8,44.6,77.3,156.8,122.8,113.1,89.6,40.9,64.2,166.9,167.1,116.33,148,113.7,96.2,55.3,298.7,19.8,27.9,33.6,28.6
Tripura,38.75, ,38.75,85.33,140.33,128.33,111.25,102.25,48,70.25, ,130,127.67,114.5,144.5,99.75,69.25,221.5,10.5,21,35.75,41.25
Uttar Pradesh,37.86,26.99,33.14,78.91,145.19,115.62,111.28,93.97,43.69,62.47,191.19,140.04,129.19,131.86,157.38,111.35,47.68,244.26,26.89,15.28,32.73,29.09
Uttarakhand,36.75,27.75,34.5,88,142,109.5,108.75,97.75,43,61.5,154.5,137.5,133.5,132.25,146,115.5,52.5,264.25,28.75,15.25,33.75,30.25
West Bengal,43.7,29.8,38.22,80.78,147.3,119.77,126.96,106.78,45.61,54.74,195.55,128.43,111.26,113,125.26,97.57,50.74,272.78,21.74,18.57,36.43,32.26
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 ,NR -&gt Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,

