 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  20/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.52,31.27,36.54,82.7,150.38,122.74,116.15,93.56,44.55,58.85,191.51,136.33,125.09,121.8,123.48,98.59,52.48,277.45,22.34,22.24,37.15,31.15
Maximum Price,70,54,69,139,210,175,156,153,70,80,262,235,220,189,235,176,167,559,31,70,80,80
Minimum Price,26,21,28,60,87,82,90,70,38,40,122,110,88,97,98,77,36,157,9,9,18,12
Modal Price,40,28,35,80,150,120,120,100,45,60,190,130,120,120,120,90,50,260,28,20,30,20
Andaman and Nicobar,48.67, ,67.67,94,170.33,150.33,133,100.33,55,73,232.5,180,182.33, ,136.33,120.67,78,308.33,19.67,43.33,56.67,63.33
Andhra Pradesh,59,45.2,49.8,85.2,164.8,141.8,128,104.2,42.8,60,169.25,171.2,109.2,143,113.8,89.4,59,348.2,21.8,30.2,33.6,22.2
Arunachal pradesh,34, ,48,90,160,130,120,100,50,73, ,120,110,120,180, , , ,15, , , 
Assam,43.58,31.45,36.65,83.04,142.62,113.43,113.85,92.35,47.08,70.92,207.83,147.81,137.4,136.23,150.68,115.06,57.27,259.6,13.54,20,44.58,39.54
Bihar,37.68,27.51,33.92,76.65,144.65,117.86,112.32,79.89,44.19,55.53,181.56,131.73,121.03,126.22,160.4,103,47.33,274.92,22.83,16.42,36.06,29.61
Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,12,35,35
Chhattisgarh,43.5,36.83,39.17,88.83,158.5,110.67,111.17,91.33,43.2,62.8,210.67,151,124.67,121.83,140.67,105.67,50.6,335.4,27.4,24.4,37.6,20.6
Delhi,40,29,31,80,153,140,118,83,44,54,211,145,119,125,133,98,57,248,26,15,35,28
DNH and DD,48.33,41.33,46.33,88.33,156.67,140.67,127,96,43.33,64.33,191.33,145.67,134.33,133.67,124.33,100.67,69.67,350,27.33,19.67,26.67,27.33
Gujarat,41.5,35.38,39.5,82.25,149.25,119.88,111.88,94,42.63,61.5,189.5,141.13,132.75,129.75,123.63,103.38,52.5,252,14.13,23.5,40.25,26.5
Haryana,42.75,29.25,34.5,75.75,127.75,108,107.75,96.5,43.5,59.5,176,134.5,124.25,126.25,152.25,106.5,44.5,233.5,25,17.25,40.5,28.5
Himachal Pradesh,38.5,21,33.42,81.08,155,127.58,114.58,89.58,47.18,54.09,219.5,159.92,131.75,125.7,141.8,118.5,46.27,259.18,27.55,21.55,39,41.09
Jammu and Kashmir,44.5,36,40.17,91.5,138.67,121,123,101.5,50.33,51.33,240,143,134.33,131.17,143.8,113.67,49.67,311.83,26.83,23.67,39.17,38.5
Jharkhand,38.28,31.59,35.33,79.61,146.39,117.67,109.94,82.67,45.59,58.31,180.17,136.06,121.44,126.53,148.75,102.94,46.65,282.5,24.65,18.11,34.39,26.72
Karnataka,58.16,43.84,47.29,92.9,159.55,137.52,123.97,106.16,42.65,50.58,180.81,165.16,119.61,137.03,121.68,95.97,51.71,291.13,19.87,33,38.84,27.71
Kerala,51.08,45.08,45.92,101.92,178,151.18,134.45,111.42,43.5,54.25,228,176.5,141.58, ,117.67,96.92,63.5,235.92,15.33,39,34.42,38.75
Madhya Pradesh,39,28.89,34.52,80.75,151.58,114.6,112.93,89.95,43.05,57.56,192.24,135.26,118.02,110.76,137.41,106.86,46.64,254.86,18.95,17.91,31.05,22.07
Maharashtra,50.21,40.53,43.53,81.89,162,128.26,121.63,95.53,42.95,58.79,183.84,155.28,125.89,107.63,121.79,98.25,53.47,295.74,23.47,27.84,28.42,29.37
Meghalaya,38.88,38.71,37.13,91,151.33,130.6,117.63,90.63,50,72.71,143,132.13,139.75,131.63,185.5,132,81,351,23.14,24.63,48.5,39
Mizoram,50,37.5,52.5,98, , ,120,104,50,77.5, ,185,220,140, , ,133.5,520,27.5,50,65,61.5
Nagaland,41.69,42.63,48.63,96.25,133.58,126.88,122,97.38,50.69,72.93,200,138.13,168,146.75,200,137.5,78.89,319.67,17.56,26.56,61.56,55.94
Odisha,38,38.2,40.1,76.48,148.24,120.33,112.67,80.14,44.8,52.37,178.4,137.48,109.55,139.13,118.14,93.52,50.15,271.93,26.55,19.29,36.19,28.52
Puducherry,57,40,38,97,173,130,115,80,41,48,192,177,123, ,108,93,50,400,20,35,32,25
Punjab,37.43,24.86,30.71,83,156.21,125.07,116.36,97.93,44.21,58.79,201.58,123.93,117.14,115.57,130.25,97.3,50.86,270.57,26.5,14.43,31,32.29
Rajasthan,37.56,28.56,32.11,71.78,127.11,111.33,107,91.22,42.11,53.88,188.67,150.22,121.5,134.56,163.57,111,45.78,317.56,22.67,21.11,41.67,35.11
Sikkim,53.8,35.6,41.6,85,132.4,128.6,120.2,101,48.6,63.4, ,178.2,130.8,148,178.4, ,59.2,446,19,32.4,48,42
Tamil Nadu,60.69,44.83,53.38,85.12,164.46,142.12,122.12,95.26,43.31,46.04,206.73,179.38,124.88, ,112.96,88.69,56.65,310.82,24.42,36.15,35.27,31.19
Telangana,51.8,41.7,45.4,75.9,158,122.8,113.5,90.4,41.1,64.9,170.1,167.1,118,146,113.6,96.7,56,303.9,20.1,27.4,34.2,28.2
Tripura,38.75, ,39.25,87.67,142.33,126.67,110,103.5,48.25,70.25, ,130,127.67,114.25,144.5,99.75,68.75,221.5,10.5,20.5,39,44.75
Uttar Pradesh,37.84,26.89,33.18,79.08,145.65,115.69,111.53,94.04,43.77,62.66,191.86,139.93,128.95,131.74,157.57,111.03,47.68,243.92,26.91,15.11,34.27,26.84
