 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  09/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.48,31.11,36.18,82.87,150.6,122.34,115.95,93.64,44.56,58.4,190.67,136.88,125.55,123.42,123.26,98.28,52.76,281.8,22.38,23.05,39.62,33.18
Maximum Price,70,62,69,136,210,175,180,153,60,83,260,235,220,189,239,176,167,560,31,70,80,88
Minimum Price,23,21,27,58,87,80,87,70,38,40,120,108,88,98,101,77,35,157,9,9,15,10
Modal Price,40,28,35,80,160,120,120,100,44.5,60,190,125,120,130,120,100,50,300,28,20,35,30
Andaman and Nicobar,47.5, ,68,90.5,164,145,129,95.5,52.5,72,203,177.5,193.5, ,129,121,72.5,320,19,40,55,66.5
Andhra Pradesh,57.4,44.6,48.8,84,167,139,126.6,103.4,42.8,60,169.4,171,109.2,143,112.8,89.2,58.6,348.2,21.8,30.2,35.4,22.8
Arunachal pradesh,33.75,42,39.5,88.75,140,125,117.5,105,50,71,160,151.67,150,138.33,188.33, ,67.5,300,21.67,25,41.67,53.33
Assam,43.54,30.91,36.39,82.36,143.46,113.42,113.96,92.04,47.26,70.58,208.29,148.61,138.1,137,150.32,115.67,57.41,259.38,13.48,20.32,45.75,42.38
Bihar,37.78,27.57,33.95,77.11,144.36,116.92,112,80.54,44.32,55.38,186.69,133.51,121.57,126.89,160.23,106.07,47.76,277.46,22.68,17.08,38.89,32.46
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,15,35,35
Chhattisgarh,41.75,36,37.88,85.75,161.88,112,110.63,92.75,42.5,59.5,196.63,149.63,128.63,124.75,138,113.13,51.38,284.13,24.25,23.75,44.63,23.75
Delhi,39,29,31,82,157,143,118,85,44,54,212,145,121,124,133,97,57,243,26,15,40,30
DNH and DD,49,40.67,46,90,160.67,142,126.33,97,43.67,64.33,194.33,147,133.67,133.67,125.33,100.33,69.33,350,27.33,19.67,26.67,23.67
Goa,52,45,43,94.5,177,147.5,133.5,96,44,57.5,225,160,141.5,150,117,95.5,59,325.5,24.5,35,37.5,40.5
Gujarat,42.71,35.57,38.86,81.14,150.14,118.86,110.86,93.86,42.29,59.14,189.29,141.71,131.43,131,123.43,103.14,51.57,251.57,15,26.5,37.33,27.33
Haryana,42.5,28.75,34.25,75.75,127.75,106.25,107,95.5,43.75,59.5,177.5,137.5,123.75,125.5,153.25,106.75,46,231.75,25.25,17.25,41.75,30
Himachal Pradesh,38.58,21,33.25,81.33,156.17,128.42,114.42,89.92,47.17,53.5,219.5,160.17,131.92,126.1,141.8,118.5,46.5,260,27.58,21.25,37.83,40.5
Jammu and Kashmir,44.14,34.83,39.43,89.57,136.43,121.29,120.57,100.57,50,53,240,148.86,136.57,136,149.67,123.25,49.14,310.43,25.86,22.71,40.14,38
Jharkhand,38.39,31.33,35,79.39,148.89,117.94,110.56,83.11,46,58.5,183.85,136.72,121.44,126.59,150.75,102.76,47.59,290.76,24.76,19.89,39.17,31.56
Karnataka,58.16,43.81,47.28,93.06,161.09,137.91,124.22,106.53,42.59,50.56,180.5,165.59,119.84,136.26,121.03,95.53,51.47,289.41,19.78,32.88,42.38,27.81
