 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  04/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.56,31,36.18,83.08,151.82,122.74,116.25,93.93,44.53,58.38,191.22,136.83,125.74,123.76,123.85,98.66,52.64,280.84,22.33,23.33,40.77,34.31
Maximum Price,70,62,69,134,216,172,180,153,60,83,262,235,220,189,239,176,167,560,31,70,90,90
Minimum Price,26,21,27,58,87,80,80,70,38,40,116,108,88,97,101,80,32,157,9,9,20,10
Modal Price,40,28,35,80,160,120,120,100,44,60,190,130,120,130,112,100,50,300,28,20,40,30
Andaman and Nicobar,48.67, ,67.67,94,174.33,149,135,104.33,55,73,232.5,182,182.33, ,142.67,120.67,78.33,308.33,19.67,43.33,71,76.67
Andhra Pradesh,57.4,45,49.2,84.6,172.4,142,126.6,104.8,42.8,60,168.8,171,109.6,143,112.8,88.6,58.6,348.2,21.6,31.8,35.6,25.8
Arunachal pradesh,37.33,42,38.33,91.67,146.67,126.67,120,106.67,55,73, ,120,110,120,180, , , ,15,24,42,60
Assam,43.59,30.6,36.52,82.3,145.07,113.21,113.74,92.37,47.26,70.62,208,148.81,138.25,136.63,151.18,116.53,57.33,259.15,13.48,20.74,47.56,42.88
Bihar,38.16,27.76,33.86,77.54,146.65,117.84,112.32,80.86,44.32,55.38,183.94,132.32,121.73,126.08,160.97,105.47,47.84,274.41,22.73,17.46,39.68,32.22
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,15,35,35
Chhattisgarh,41,35.88,38.63,88,166.13,111.5,111.25,93.38,42.63,57,204.38,150.75,129.75,128.38,143.38,115.63,48.25,299.13,23.5,24.25,43.63,23.88
Delhi,39,29,31,80,153,140,118,83,44,54,212,145,124,124,133,97,57,243,26,15,40,28
DNH and DD,48.67,41,46,89.67,161.33,142.67,127.33,97.67,43.33,64.33,200.67,149,135.33,133.67,126.33,101.33,69.67,350,27.33,20,27.67,24.33
Goa,52,44.5,42.5,93.5,178.5,148.5,133.5,96.5,44,57.5,225,160,142.5,149,117,95.5,59,325.5,24.5,36,38,42.5
Gujarat,42.13,35.25,39.13,83.13,148.25,120.25,112,94,42.63,60.75,195.25,144,132.25,127,123.88,103.38,52.63,252.5,14.38,24.25,41.13,28.5
Haryana,42,28.75,34.25,76.5,128,108.5,108,96,43.5,59.5,178.25,136.5,124.75,125.5,153.5,107,45.75,232,25.25,16.75,41,29
Himachal Pradesh,38.67,21,33.33,81.67,156.92,129.17,115.42,89.92,47.17,53.5,219.5,160.92,132.58,126.9,142,118.5,46.33,259.67,27.58,21.17,37.5,39.92
Jammu and Kashmir,45.6,32.75,39,88,141.4,120.8,122.4,100.4,50.4,51.8,242,141.8,134.4,130,150,112.33,49.6,308.6,26.6,21,39.4,37.8
Jharkhand,38.37,31.44,35.26,79.95,150.89,119.79,111.74,82.84,45.94,58.53,183.85,136.84,121.84,126.72,149.53,103.39,47.39,290.88,24.83,20.53,40.37,34.16
Karnataka,58.19,43.81,47.28,92.78,162.28,137.81,124.38,106.53,42.56,50.56,180.25,165.69,119.75,136.16,121.13,95.66,51.38,289.41,19.75,32.31,42.91,27.31
Kerala,50.77,45.54,47.54,102.23,183.85,152.42,135.67,112.46,43.38,54.08,230.86,179.2,141.85, ,116.54,96.42,62.62,230.62,14.54,39.15,37.23,41.23
Madhya Pradesh,38.82,28.75,34.32,81,153.16,113.91,111.8,90.14,42.98,57.3,189.53,132.74,117.21,108.81,135.29,107.76,47.12,247.16,19.62,18.64,33.45,22.5
Maharashtra,49.32,40.16,43.53,81.89,165.11,127.89,123.68,96.21,43.37,59.05,185.16,156.44,125.74,108.26,121.16,97.69,53.37,296.79,23.89,28.26,33.95,33.68
Meghalaya,38.4,38.67,37.4,90.33,154.29,130.5,119.9,89.5,50.1,73.1,137,133.2,138,130.9,170.5,134.2,81.67,365.2,21.6,25.5,50.8,43.7
Mizoram,48,41.89,45.55,104.22,142.43,123.83,127.63,101.36,50.45,77.9,157.5,188.8,170.8,129.18,175.5,131.2,120,481.4,29.18,40.18,63.55,74.89
Nagaland,41.6,43,48.2,95.83,132.09,126.25,125.71,97.87,49.4,71.85,200,137.67,174,145.2,202.5,137.5,79.38,310.36,17.4,27.67,67.67,62.67
Odisha,37.48,38.13,40.32,78.65,151.13,120.04,112.61,79.83,44.57,52.17,178.75,135.35,110.73,131.38,114.74,92.65,49.26,274.56,25.96,19,35.48,28.78
Puducherry,57,40,37,96,175,127,115,82,42,47,201,167,133, ,110,91,51,393,20,39,40,25
Punjab,38,25.07,31.21,83,158.14,125.71,117.36,98.93,44.21,59.71,201.77,123.43,116.14,114.43,133.31,99.27,49.79,268.07,26.29,15.79,36.07,35.64
Rajasthan,40.5,29.57,32.63,73.17,118.73,107.17,100.73,89.7,41.87,51.86,184.57,152.43,126.21,137.79,158.4,137.8,43.33,296.43,20.1,21.8,43.03,34.7
Sikkim,54.67,36,44.67,81.67,130.67,131,122.67,103.33,47.67,64, ,185.67,131.33,164.67,185.67, ,53.33,482.33,19.33,32.33,54.33,44.33
Tamil Nadu,59.44,45,53.4,86.37,170.26,144.2,122.77,94.53,43.17,46.17,207.83,177.63,124.83, ,113.17,88.29,54.86,310.96,23.94,35.37,35.91,32.91
Telangana,51.7,41.7,45.2,75.7,161.5,123.3,114,90.1,41.3,64.6,174.9,168.1,118.6,146,117.2,97.4,55.3,303.9,19.8,27.6,40.2,29.2
Tripura,38.75, ,39.25,85.67,139,125,111.5,103.75,48.5,70.25, ,130,127.67,114.25,144.5,98.5,68.75,221,10.5,23,39,52
Uttar Pradesh,37.51,26.62,33.05,78.89,147.88,115.6,110.89,94.2,43.79,62.46,191.48,140.92,129.17,131.89,157.73,111.28,47.4,244.25,26.92,16.2,37.84,28.77
Uttarakhand,36.5,28.25,34.25,88.5,135.67,110,108.25,98,43.5,62,156.5,137.25,134,132,145.5,115.5,51.75,264.25,28.75,15.5,34.75,28.5
