 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  16/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.16,31.16,36.19,82.88,149.15,121.83,115.91,93.71,44.62,58.63,190.44,136.23,125.49,123.36,123.8,98.89,52.67,281.84,22.64,22.67,38.26,31.92
Maximum Price,70,54,69,138,210,164,180,153,70,83,262,235,220,189,228,176,167,559,33,70,80,88
Minimum Price,23,21,27,58,87,82,87,70,38,40,125,108,88,97,101,77,36,157,9,9,17,12
Modal Price,40,28,35,80,155,120,120,100,44,60,200,130,120,115,120,95,50,250,28,20,30,20
Andaman and Nicobar,48.67, ,67.67,94.33,171.33,149.67,133.33,100.33,55.33,73,232.5,180,182.33, ,137,120.67,78,308.33,19.67,43.33,56.67,66.67
Andhra Pradesh,58.25,44.5,46.25,84.75,164.5,138.25,125,96.75,43.5,58.5,169.25,166,109,124.5,112.25,89,59.75,385.75,22.25,29.25,35.5,23.75
Arunachal pradesh,33.5,42,39.75,90.5,139.5,125,118.25,104.25,50,71,160,152.67,150,139.33,188.33, ,70,300,21.67,25,46.67,48.67
Assam,43.95,32,36.62,83.43,141.05,114.33,113.95,92.62,47.19,72.24,207.4,145.62,137.25,133.67,150.78,109.23,57,260.45,14.1,20.38,45.14,42.42
Bihar,37.5,27.5,33.88,76.59,144.26,117.09,111.62,80.03,44.21,55.68,188.14,131.79,120.09,125.65,157.93,104.39,46.79,276.88,23.18,16.62,36.5,30.38
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,15,35,35
Chhattisgarh,41.71,35.57,37.86,89.14,160.57,110.29,109.57,93.57,42.43,57.71,206.86,153.57,131,128.86,144.57,113.86,47.86,306.86,24.71,24.29,43.71,22.71
