 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  24/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.68,31.14,36.29,82.76,149,122.33,116.05,93.78,44.56,58.67,191.46,136.58,125.66,123.29,123.89,98.73,52.89,281.7,22.49,22.4,36.8,32.2
Maximum Price,70,62,69,141,210,175,180,153,70,83,262,235,220,189,235,176,167,560,31,70,80,88
Minimum Price,23,21,27,58,87,80,87,70,38,40,122,108,88,98,98,77,36,157,9,8,16,11
Modal Price,40,28,35,80,150,120,120,100,45,60,190,130,120,120,115,90,50,300,28,20,30,25
Andaman and Nicobar,48.67, ,67.67,94,170.33,150.33,132.67,100,55,73,232.5,180,182.33, ,136.33,120,78,308.33,19.67,43.33,56.67,63.33
Andhra Pradesh,59,45.4,49.8,85.2,166.2,141.8,128,104.6,42.8,60,170.4,171.2,109.6,143,114,89.4,59,348.2,22.4,30.6,34,23.6
Arunachal pradesh,31.67,42,41.67,86.67,136.67,126.67,116.67,103.33,50,70.5, ,155,165,140,202.5, ,70,300,22.5,27.5,37.5,60
Assam,43.42,31.6,36.83,83.54,141.88,112.91,113.58,92.25,47,70.46,208.67,146.75,139.53,134.35,147.35,115.12,56.58,255.09,13.71,19.92,44.04,39.59
Bihar,37.38,27.56,33.82,76.35,142.85,117.41,111.29,79.68,44.33,55.73,182.86,132.18,120.48,126.7,162.33,104.63,46.21,275.79,22.88,16.06,34.73,29.03
Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,12,35,35
Chhattisgarh,41,36.25,38.13,88.63,159.63,112.25,111.25,92.13,42.75,57.25,205.63,148.5,127.63,126.63,140.5,112.25,49.25,298.25,23.63,23.13,39.38,20.63
Delhi,40,29,31,80,153,140,118,85,44,54,211,145,119,125,133,98,58,248,26,15,38,33
DNH and DD,48.67,41.33,46.33,88.67,157,141,127,96,43.33,64.33,192,145.67,134.33,133.67,124,100.67,69.67,350,27.33,19.33,25.67,23.67
Goa,52,45,46,88,168,145,125,95,43,59,223,145,135,127,123,93,60,343,24,32,35,37
Gujarat,42.13,35.5,39.5,82.5,149.88,120.75,113.5,93.25,42.5,61.5,191.63,139.88,132.75,129.13,122.38,103.38,52.5,252,14.13,22.63,38.25,26.25
Haryana,45.33,28,34,73.67,122.33,108,106,96,43.33,59.67,184.67,140,122.67,131.67,153.33,111.67,42.67,237.33,24.67,15,37,29.33
Himachal Pradesh,38.5,21,33.42,80.58,153.83,127.42,114.5,89.67,47,53.5,220.5,159.58,131.42,125.4,140.8,117.5,46.67,259.67,27.58,20.83,37.67,41.83
Jammu and Kashmir,44.43,34.5,39.86,89.57,135,120.14,120.86,100.86,50,53.14,240,148.43,136.57,135.71,150,124,49.43,311.71,25.86,21.29,38,38.71
Jharkhand,38.47,31.44,35.37,79.32,148,118.16,110.58,83.53,45.67,58.53,183.23,135.79,121.32,126.39,148.82,103.33,47.44,290.65,24.89,17.79,33.58,26.68
Karnataka,58.26,44.03,47.35,92.87,159.42,137.58,124.03,106.42,42.65,50.65,180.61,164.77,119.71,136.7,121.71,95.68,51.77,291,19.84,32.35,37.74,27.1
Kerala,50.69,45.38,47.46,101.77,177.15,151.67,135.58,111.85,43.31,54.08,228.29,175,140.92, ,117.54,96.83,63.54,232.15,15.08,38.46,33.15,37.46
Madhya Pradesh,39.14,28.91,34.52,79.36,151,115.07,112.82,89.66,43.02,57.39,191.18,134.61,117.7,110.3,136.47,107.41,46.52,249.09,19.2,17.76,30.31,23.47
Maharashtra,50.32,40.63,43.63,81.84,161.11,128.26,121.79,95.32,42.79,58.74,183.89,155.33,125.47,107.26,122.05,97.81,53.32,295.74,23.47,27.58,27.68,30.05
Meghalaya,38.89,38.63,37.11,90.4,151.33,130,118.78,89.44,49.78,73,137,132.22,138.5,131.56,189,142.75,80.6,351.78,21.78,24.44,47.89,37.44
Mizoram,47.91,41.89,45.55,104.33,142,124,128,101.36,50.45,77.9,157.5,188.8,170.8,129.27,175.5,131.2,119.88,481.4,29.18,39.27,60.36,74
Nagaland,41.94,42.63,48.63,96.25,133.58,125.63,122,97.38,50.69,73.29,200,138.75,168,146.75,200,137.5,78.89,319.67,17.56,26.56,62.5,55.31
Odisha,37.08,37.56,40.57,78,149.04,117.33,112.29,81.67,44.43,52.27,173.71,137.13,113.7,133.27,118.21,92.88,50.35,273.94,26.22,18.88,33.54,28.04
Puducherry,56,40,35,89,165,120,115,86,41,48,192,183,113, ,108,94,51,400,22,35,33,26
Punjab,38.4,24.93,31,83.13,154.13,123.8,114.73,98,44.14,59.21,200.33,122.64,116.79,115.29,132.92,99.2,50.71,267,26.57,13.73,30.6,36
Rajasthan,40.24,29.14,32.41,73.79,120.97,107.17,102.21,88.66,42.22,52.24,188.79,149.75,125.23,134.3,158.08,127.4,43.93,300.26,20.63,20.85,40,33.96
Sikkim,53.8,35.6,41.6,85,132.4,128.6,120.2,101,48.6,63.4, ,180.8,130.8,148,178.4, ,59.2,446,19,32,47,42
Tamil Nadu,61.13,45.4,53.41,85.41,166.31,143.09,123.38,95.48,43.22,46.61,206.63,177.07,124.09, ,113.63,89.16,56.84,311.71,25,36.5,34.5,31.09
Telangana,52.7,41.9,45.3,75.6,157.6,122.8,113.7,90,41.1,64.9,169.8,167.5,118.8,146.17,114,97,56.1,303.5,20.1,27.11,31.56,28.44
Tripura,38.75, ,38.75,86.33,142.33,126.67,110.75,103.5,48.25,70.25, ,130,127.67,114.25,144.5,99.75,68.75,221.5,10.5,20,38.25,43
Uttar Pradesh,37.83,26.95,33.15,78.96,145.49,115.79,111.52,94.09,43.67,62.42,191.27,140.11,128.91,131.61,157.36,111.05,47.55,244.12,26.92,15.05,33.69,27.84
Uttarakhand,36.75,27.75,34.5,88,142,109.5,108.75,97.75,43,61.5,154.5,137.75,133.25,131.75,145.5,115.5,52,264.25,28.75,14.5,32.75,29.25
West Bengal,43.61,29.8,38.04,80.7,147.65,119.36,127.35,107.09,45.65,54.74,196.09,128.61,111.3,113,125.22,97.57,50.7,272.78,21.78,18.87,37.09,31.83
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 ,NR -&gt Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,

