 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  14/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,44.1,31.08,36.52,82.28,151.88,122.51,115.87,93.47,43.98,57.49,188.49,135.24,122.07,118.99,122.67,97.41,51.19,276.21,23,22.23,36.25,29.66
Maximum Price,70,54,64,133,193,165,150,153,55,80,260,235,220,180,203,170,167,559,33,60,70,70
Minimum Price,27,21,27,60,87,85,87,70,38,40,126,109,88,97,101,77,36,157,9,9,14,13
Modal Price,40,28,35,80,155,120,120,80,44,60,185,125,120,110,122.5,100,50,280,28,20,30,20
Andhra Pradesh,56.75,44.75,49.5,83.75,161.25,140.5,126.75,102,42.5,62.75,168.5,170.5,109,145,113,89.5,58.25,309.5,21.5,30.75,30.75,22.75
Arunachal pradesh,38.5,42,38,96,139,125,121.5,108.5,50,72,160,148,120,133,160, ,70,300,20,22,53,37
Assam,43.93,32,36.14,81.21,144.79,110.09,115.14,91.64,47.5,71.93,243,144.79,128.78,130.29,147.91,102.25,58.29,260.21,14.86,19.79,44.07,42.15
Bihar,37.68,27.53,33.21,76.79,143.47,119.58,111.16,79.42,44.11,56,180.82,131.11,120.11,122.47,155.11,99.8,46.89,289.79,22.63,16.79,36.58,30.68
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,15,35,35
Chhattisgarh,41,35.2,38.6,86.4,155,110.2,110.8,87.4,42.8,61,201,149.8,119,125.6,146.4,107.8,48.4,311.6,26.4,26.8,41.6,26.2
Delhi,40,29,31,80,153,140,118,83,44,54,212,145,121,124,133,97,57,245,26,15,40,28
DNH and DD,47.67,40.33,46,88.67,159,141,126.67,97,43.33,64.33,191.67,145.33,134,133.67,125.33,100.33,69.67,350,27.33,19.67,26.33,24
Gujarat,50,40.5,44.5,83,148.5,130,129,102.5,42.5,60.5,184.5,139,130.5,131.5,122.5,113.5,49.5,262,14.5,29,34,31
Haryana,45,27.33,33.67,74,126,107.67,105.67,96,43.33,59.67,186.33,140.67,122.67,130.33,153.33,112,44.33,236.33,25,15,36,29.33
Himachal Pradesh,38.58,21,33.33,81.42,155.5,128,114.75,89.83,47,53.5,219.5,159.92,131.75,125.7,141.8,118.5,46.5,260,27.58,21,38.25,40.33
Jammu and Kashmir,37,38.5,48.5,96,131.5,118.5,131,106,50.5,49,250,134,136.5,133.5,159.5,138,51,346.5,28,27,41.5,41
Jharkhand,38.42,31.73,34.92,80.83,147.17,114.25,107.5,82.67,45.09,57.5,203.86,136.42,118.42,127.73,154.4,105.82,46.45,300.3,23.18,19.75,36.5,28.33
Karnataka,58.47,43.7,46.77,92.57,160.33,137.6,123.8,105.83,42.47,50,177.97,165.23,118.77,136.41,121.07,94.63,51.13,289.57,19.13,31.93,39.72,27.8
Madhya Pradesh,39,28.82,34.59,79.97,152.28,112.13,111.1,89.05,43.13,57.18,190.92,132.26,116.97,108.36,134.34,107.2,47.24,251.95,19.29,18.34,31.87,21.5
