 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  30/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.79,31.13,36.26,82.73,148.98,122.74,116.23,93.57,44.54,58.65,190.51,136.43,125,123.22,123.4,98.83,52.92,281.48,22.43,22.24,34.94,33
Maximum Price,70,54,69,137,207,175,180,153,60,83,262,235,220,189,240,176,167,560,31,70,80,88
Minimum Price,25,21,27,60,87,82,81,70,38,40,122,108,88,95,98,77,31,157,9,8,15,11
Modal Price,40,28,35,80,160,120,120,100,44,60,190,130,120,130,115,90,50,300,28,20,30,30
Andaman and Nicobar,49, ,67.67,94,171.67,150.33,132.67,100,55,73,232.5,180,182.33, ,136,120,76.67,308.33,19.67,43.33,56.67,66.67
Andhra Pradesh,59.8,45.4,49,84.2,161.2,142.6,126.4,104.8,42.8,60,168.4,170.8,109.6,143,113.4,89,58.6,348.2,22.2,30.6,29,22.2
Arunachal pradesh,34.25,42,40.5,90.25,139.5,125,118.25,102,50,71,153,154.33,155.33,138.33,195.67, ,74,313.5,21.67,24,46,47.33
Assam,43.71,31.4,36.71,83.42,145.25,115.57,114.33,91.92,47.61,70.7,211.33,145.78,134.81,133.78,149.11,109.93,57.65,261.82,13.7,18.96,40.96,37.1
Bihar,37.71,27.66,33.76,76.84,144.05,118,112.18,79.92,44.43,55.57,181.31,131.95,120.89,126.71,160.13,103.61,47.35,278.57,23.3,16.18,34.39,30.18
Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,12,40,40
Chhattisgarh,40.88,36.13,38.13,88.88,159.63,112.25,110.88,92,42.75,57.25,204.88,148.25,127.63,126.5,140.38,112.13,49.13,298.13,23.63,22.86,39.14,21
Delhi,40,29,31,80,153,140,118,87,44,54,211,145,119,125,133,98,58,248,26,15,38,38
