 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  12/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.65,31.16,36.28,82.97,149.99,122.42,115.69,93.33,44.53,58.37,191.29,136.76,125.92,123.66,123.55,98.53,52.84,281.47,22.31,23.18,38.99,32.41
Maximum Price,70,54,69,138,210,175,151,153,60,83,262,235,220,189,235,176,167,560,33,70,80,88
Minimum Price,26,21,27,58,87,80,80,70,37,40,122,109,88,97,101,83,35,157,9,9,20,12
Modal Price,40,28,35,80,160,120,120,100,44,60,190,130,120,130,120,100,50,200,28,20,40,20
Andaman and Nicobar,48.67, ,67.67,94.33,171.67,149,133.33,100,55.33,73,232.5,180,182.33, ,137,120.67,78.33,308.33,19.67,43.33,56.67,66.67
Andhra Pradesh,58.25,44.5,46.25,84.75,164.5,138.25,125,96.75,43.5,58.5,169.25,166,109,124.5,112.25,89,59.75,385.75,22.25,29,35.5,23.25
Arunachal pradesh,37,42,41.33,94,146,126.67,121,105.67,50,72.5,160,134,115,126.5,170, ,70,300,17.5,23.5,46.5,49
Assam,43.61,31.25,36.36,82.36,143.5,113.67,113.61,92.18,47.29,70.29,208.29,147.96,137.67,136.74,150.14,114.89,56.82,257.56,13.36,20.07,45.32,41.42
Bihar,37.69,27.58,34.06,76.86,144.69,117.92,112.19,80.08,44.26,55.11,182.73,132.26,121.8,127.89,161.61,104.93,47.26,278.89,22.8,16.66,37.14,32.17
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,15,35,35
Chhattisgarh,42.86,36.86,39.29,87.71,158.14,112.57,112.14,90.71,43,59.71,208.14,143.29,123.29,121,136.14,106.71,50.14,302.71,25.29,25.57,41.86,23.14
Delhi,40,29,31,80,153,140,118,83,44,54,212,145,121,124,133,97,57,245,26,15,40,27
DNH and DD,48,40.33,46,88.67,159,141,126.67,97,43.33,64.33,192,145.33,133.67,133.67,125.33,100.33,69.67,350,27.33,19.67,26.33,24
Goa,52,45,43,94.5,177,147.5,133.5,96,44,57.5,225,160,141.5,150,117,95.5,59,325.5,24.5,35,37.5,38
Gujarat,42.63,35.75,39.38,83.25,150.13,120.25,112,95.25,42.75,60.88,189.29,141.71,132.25,129.38,122.38,103.13,53.13,252.5,14.63,24.63,40.63,27.63
Haryana,42.5,28.75,34.25,75.75,127.75,106.25,107,95.5,43.75,59.5,177.5,137.5,123.75,125.5,153.25,106.75,46,231.75,25.25,17.25,41,29.5
Himachal Pradesh,38.58,21,33.33,81.42,155.83,128.58,114.5,89.83,47,53.5,219.5,159.92,131.75,125.7,141.8,118.5,46.5,260,27.58,21,38.25,40.58
