 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  06/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.35,31.18,36.48,83.02,152.36,122.73,116.48,93.75,44.55,58.48,191.75,136.93,125.53,121.5,123.46,98.77,52.32,275.89,22.25,22.92,39.79,33.37
Maximum Price,70,54,69,134,209,172,180,153,70,80,262,235,220,189,239,176,167,559,31,70,80,80
Minimum Price,26,21,28,60,87,80,90,70,38,40,116,108,88,97,101,77,36,157,9,9,20,11
Modal Price,40,28,35,80,160,120,120,100,44,60,220,130,120,130,115,100,50,300,28,20,40,30
Andaman and Nicobar,48.67, ,67.67,94,171.67,149,133.33,100,55,73,232.5,180,182.33, ,137,120.67,78.33,308.33,19.67,43.33,62.67,70
Andhra Pradesh,57.4,45,49.2,84.4,170.4,140.2,126.6,104.8,42.8,60,168.8,171,109.6,143,112.8,88.6,58.6,348.2,21.6,30.2,35.2,23.4
Arunachal pradesh,37,42,38.67,93.33,146,126.67,121,105.67,52.5,72.5, ,120,110,120,180, ,65,300,17.5,23,48.5,49
Assam,43.52,30.91,36.67,82.56,142.88,113.21,113.96,91.81,47.11,70,207.86,148.85,137.75,136.22,150.45,115.33,56.96,257.92,13.41,20.52,46.15,43.4
Bihar,37.94,27.67,33.81,77.58,146,117.28,112.58,80.86,44.22,55.44,183.94,132.33,121.58,126.19,161.03,105.6,47.58,274.89,22.47,17.53,39.58,33.47
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,15,35,35
Chhattisgarh,42.57,36.71,39.71,87.14,165,111.57,112.86,92.14,43,59.43,206.57,145,124.14,122.14,138.86,109.29,50.14,303.71,25.29,25,42.29,23.29
Delhi,39,29,31,82,157,143,118,85,44,54,212,145,121,124,133,97,57,243,26,15,40,30
DNH and DD,48.67,40.67,46,89.67,160.67,142,126.33,97.67,43.33,64.33,198.33,147.33,133.67,132.67,124.67,100.33,69.67,350,27.33,20,27.67,24.33
Gujarat,42.13,35.25,39.13,83.13,148.25,120.25,112,94,42.63,61,196,144.13,132.38,127.38,124.25,103.5,52.88,251.5,14.38,24.38,41,27.88
Haryana,42,28.75,34.25,76.5,128,108.5,108,96,43.5,59.5,178.25,136.5,124.75,125.5,153.5,107,45.75,232,25.25,17,43,30
Himachal Pradesh,38.58,21,33.25,81.5,156.58,128.83,115,89.83,47.25,53.5,219.5,160.5,132.67,126.8,142,118.5,46.5,259.92,27.58,21.25,37.92,40.33
Jammu and Kashmir,43.83,32.8,38.67,88.83,142.17,121.17,122.17,100,50.5,51.83,238,140.33,132.67,129.5,146.2,118.75,50,318,26.83,21.83,40.5,38.83
Jharkhand,38.32,31.44,35.21,79.84,150.21,118.89,111.11,82.68,46,58.53,183.85,136.42,121.58,126.72,149.53,103.39,47.28,290.82,24.83,20.11,39.32,33.16
Karnataka,58.16,43.75,47.31,92.88,161.69,137.81,124.19,106.56,42.56,50.5,180.38,165.84,119.81,136.26,121.19,95.63,51.47,289.31,19.78,32.25,42.56,27.56
Kerala,50.71,45.36,47.21,101.21,183.64,151.08,136.85,111.21,43.21,53.93,230.86,178,144.71, ,116.79,96.69,62.21,231.86,14.71,39.36,36.57,40.79
Madhya Pradesh,38.87,28.87,34.4,80.79,151.47,113.51,111.72,89.91,42.96,57.3,190.49,134.4,117.53,108.65,135.83,106.5,46.94,252.13,19.36,18.74,33.43,22.43
Maharashtra,49.53,40.21,43.26,81.68,164.16,127.47,123.58,95.89,43.05,58.95,184.84,156.17,125.68,108.32,121,97.81,53.26,296.42,23.74,28.63,33.42,33.74
Meghalaya,38.88,38.71,37.25,90,151,128.6,119.5,90,50.25,72.88,135,133,138,134.63,183.67,142.75,80,350.5,22.5,26,51.5,43.75
Mizoram,50,37.5,52.5,98, , ,120,104,50,77.5, ,185,220,140, , ,133.5,520,27.5,50,65,61.5
Nagaland,41.38,42.63,48.31,95.83,133.58,125.63,125.33,98.31,50.69,72.07,200,139.06,174,147.38,202.5,137.5,79.44,313,17.56,27.33,65.67,62.33
Odisha,37.08,37.63,40.88,78.12,150.88,117.62,112.42,80.19,44.28,52.29,171.17,137.31,115.4,131.4,117.15,93.31,50.5,272.4,26.04,19,36.62,29.69
Puducherry,57,40,37,96,175,127,115,82,42,47,201,167,133, ,110,91,51,393,20,39,39,23
Punjab,38.13,25.07,31.13,83.5,154.4,124.13,116.4,96.86,44.2,59.13,203.15,123.73,117.07,114.47,132.92,99.09,49.93,269,26.47,16.27,34.93,35
Rajasthan,36.9,29.2,32.1,73.9,124.8,109.2,105.7,94,41.9,53.1,187.1,152.8,121.89,140.6,166.63,115.5,45.7,297.2,22.8,22.4,47.3,37.9
Sikkim,56,36,42.5,81.25,131.75,132,124.5,105,48.25,63, ,186,140.25,164.67,191.75, ,56.5,447.5,18.75,34.25,53.25,45.75
Tamil Nadu,60.83,44.78,53.41,86.17,170.17,144.38,122.28,95,43.24,47.03,207.79,182.5,125.07, ,113.28,88.83,55.07,302.75,24.1,35.17,34.86,31.45
