 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  26/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.96,31.29,36.58,82,149.74,122.37,115.89,93.5,44.29,57.82,188.1,134.79,123.55,120.59,123.16,97.63,51.61,277.6,22.88,21.64,34.59,30.42
Maximum Price,70,54,67,135,193,164,155,153,60,80,262,218,220,180,225,175,167,547,31,70,80,70
Minimum Price,23,21,27,60,87,85,87,70,38,40,122,110,88,95,104,83,36,157,9,8,15,11
Modal Price,40,28,35,80,145,120,120,90,45,60,180,135,120,110,112,90,50,216.67,28,20,30,30
Andaman and Nicobar,51, ,67,102,187,157,142,109,60,75,262,185,160, ,153,120,90,285,21,50,60,70
Andhra Pradesh,58.75,45.25,47.25,86.5,164.5,140.75,127.5,99.75,43.5,58.5,170.5,166.25,109.5,124.5,113.75,89.25,60.25,385.75,23,29.5,31.25,24.5
Arunachal pradesh,30.5,42,37.5,85,125,125,115,105,50,68, ,190,220, ,225, ,70,300,30,25, ,40
Assam,43.73,31.67,36.33,82.07,147.8,116.38,115.33,91.8,47.27,70.33,232.5,146.07,137.75,131.53,151.5,103.9,57.13,269.87,14.73,18.4,40.73,39.2
Bihar,36.92,28.08,33.92,77.46,142.85,119.92,111.85,79.46,44.46,55.69,161.67,127.62,118.92,121.77,156.55,103.42,44.62,285.69,21.69,15.85,32.23,29.92
Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,12,40,40
Chhattisgarh,38.6,35.4,38.8,85.6,154.6,109.4,111.2,88.4,43,57.2,194.4,144.2,118,128.2,145.6,109.2,48.2,247.4,24,24.2,39.2,21.8
Delhi,40,29,31,80,153,140,118,85,44,54,211,145,119,125,133,98,58,248,26,15,38,33
DNH and DD,48.67,41.33,46.33,88.67,157,141,126.67,96,43.33,64.33,192,145.33,134.33,133,124,100.67,69.67,350,27.33,19.33,25,25.33
Gujarat,47.5,37.5,42,83.5,156.25,124.25,120.75,97.25,43,60,182.75,142.5,137.5,131.75,119.75,106.5,51,251.75,16.5,23.75,32.75,24
Haryana,42.75,29.25,34.5,75.5,125,106.5,107.25,95.5,43.75,59.5,176.25,137,123.75,126.5,153.25,106.5,44.75,232.5,25,17.25,41.5,29.5
Himachal Pradesh,38.5,21,33.33,80.58,153.83,127.17,114.42,89.67,47,53.5,220.5,159.58,131.42,125.4,140.8,117.5,46.67,259.58,27.5,20.83,37.5,41.67
Jammu and Kashmir,40,44,60,110,120,120,140,110,50,45,250,138,145,140,190, ,50,310,28,25,35,40
Jharkhand,39.33,31.93,35.53,79.53,145.13,118.07,111.33,83.87,45.64,58.38,185.36,135.4,119.13,125.07,145.92,103.86,47.43,288.08,24.71,18.27,35,26.4
Karnataka,58.41,43.9,46.83,92.48,158,137.38,123.59,105.79,42.52,49.31,178.21,165.21,118.72,136.29,121.38,94.93,51.52,288.79,19.48,32.52,36.52,26.79
