 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  17/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.6,31.37,36.46,83.47,150.71,123.16,116.98,94.49,44.76,59.45,190.86,135.83,125.75,121,123.15,98.56,53.49,281.58,22.26,23.1,38.08,32
Maximum Price,70,54,69,138,210,175,180,153,70,83,262,235,220,189,225,176,167,559,33,70,80,88
Minimum Price,23,21,27,60,87,82,87,70,38,40,122,109,88,97,101,77,36,157,9,9,18,11
Modal Price,40,28,35,80,160,120,120,100,44,60,190,130,120,115,120,90,50,200,28,20,30,20
Andaman and Nicobar,48.67, ,67.67,94,170.33,150.33,133,100.33,55,73,232.5,180,182.33, ,137,120.67,78,308.33,19.67,43.33,56.67,66.67
Andhra Pradesh,58.6,44.8,49,83.8,163.6,139.8,126,102.2,42.8,60,169.4,171,109.2,143,112.8,89.2,58.6,348.2,21.8,30.2,34.2,22.8
Arunachal pradesh,33.5,42,40,89.5,140,125,117.5,103.75,50,71,160,169,170,149,192.5, ,70,300,21.67,24.33,46.67,48.67
Assam,43.59,31.36,36.37,82.81,143.67,113.91,114.15,91.74,47.22,70.93,208,147.3,136.4,136.59,150.05,112,56.7,256.88,13.41,20.04,45.3,40.16
Bihar,37.76,27.88,33.12,76.04,142.8,119.28,111.96,78.24,44.5,55.83,177.83,131.28,116.52,124.04,154.73,100.38,45.58,290.08,23.17,16.38,35.83,29.58
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,15,35,35
Chhattisgarh,42.86,37,39.29,87.29,157.43,112.71,112.57,90.29,43,59.71,207,142.57,121.71,120.43,135.86,106,50.71,302.57,25.29,24.14,39.29,21.14
Delhi,40,29,31,80,153,140,118,83,44,54,211,145,121,124,133,97,57,245,26,15,37,28
DNH and DD,47.67,40.33,46,88.33,156.67,140,127,96,43.33,64.33,191.33,145.67,134.33,133.33,124.33,100.67,69.67,350,27.33,19.67,26,26
Goa,52,45,43,94.5,170,147.5,131.5,96.5,44,57,225,160,141.5,150,117.5,95.5,59,325.5,24.5,35,37,36
Gujarat,41.86,35.86,39.71,84,151.57,121.29,114,95.43,43,62.67,188,140,130.83,126.67,119.5,102,52.67,246.5,14.5,24.5,37.83,25.17
Haryana,42.5,29,34.5,75.5,127.5,107.75,107.25,96.25,43.5,59.5,176.75,135.25,125,126.25,152.25,106.5,45.75,233.5,25,17.25,40.5,29.5
Himachal Pradesh,38.5,21,33.33,81.5,155.25,128,114.83,89.83,47.08,53.5,219.5,159.67,131.58,125.7,141.8,118.5,46.58,260,27.58,21.08,38.17,40.08
Jammu and Kashmir,36.67,34.33,43.33,93.33,123.33,116,126.67,103.33,55,47.5,250,141.5,145,141.5,166,142,50,318.5,26,26.5,43.5,38.5
