 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  27/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.71,31.18,36.34,82.7,150.18,123.29,116.37,94.02,44.48,58.63,189.12,135.26,125.61,121.14,123.38,98.44,52.47,277.14,22.38,22.04,35.48,31.84
Maximum Price,70,54,69,141,207,175,156,153,70,80,262,235,220,180,240,175,167,559,31,70,80,80
Minimum Price,23,21,27,60,87,85,87,70,38,40,120,108,88,95,98,77,36,157,9,8,15,11
Modal Price,40,28,35,80,150,120,120,100,45,60,200,130,120,130,115,90,50,300,28,20,30,30
Andaman and Nicobar,49, ,67.67,93.67,171.33,151,132.67,99.67,55,73,232.5,180,182.33, ,136.33,120,76.33,308.33,19.67,43.33,56.67,63.33
Andhra Pradesh,59,46,50.4,86.2,164.2,142.4,128.8,105.6,43,60,170.4,172,112.2,143,114.4,90,59.8,349.8,23,31.2,31,23.4
Arunachal pradesh,33.75,42,40.5,90.5,139.5,125,118.25,103.25,50,71,161,152.67,158.67,140,198.33, ,71.5,306.5,21.67,25,46.67,48.33
Assam,43.24,31.67,36.38,83.38,144.9,115.78,112.86,92.38,47.1,70.81,212.4,147.2,136.71,133.9,150.53,110.58,56.95,263.05,14.1,19.05,42.33,37.55
Bihar,37.52,27.67,33.67,77,144.58,118.82,112.73,79.48,44.42,55.52,179.57,131.33,119.7,125.52,158.54,101.54,47.06,280.7,23.15,16.03,33.73,28.97
Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,12,40,40
Chhattisgarh,41.67,36.67,37.83,86.67,159,115.17,112.5,93.83,42.67,55.33,209.17,150.17,137.17,125.33,135,113.83,51.5,306.33,23,23.67,41.33,21.5
Delhi,40,29,31,80,153,140,118,85,44,54,211,145,119,125,133,98,58,248,26,15,38,35
DNH and DD,48.67,41.33,46.33,88.67,157,139.33,126.67,96,43.33,64.33,191.67,145.33,134.33,133,124,100.67,70,350,27.33,19.33,25,26.67
Gujarat,44.75,36.75,41.5,80.5,144.5,119.25,114.75,94,42.75,60.25,185.75,140.75,133.75,136.75,126,110.25,50.75,279,14.75,24.25,37,27.75
Haryana,42.75,29.25,34.5,75.5,125,106.5,107.25,95.5,43.75,59.5,176.25,137,123.75,126.5,153.25,106.5,44.75,232.5,25,17.25,41.5,29.5
Himachal Pradesh,38.5,21,33.17,80.67,153.75,126.92,114.17,89.58,47,53.5,220.5,159.42,131.08,124.9,140.8,117.5,46.83,259.58,27.58,20.83,37.42,42.67
Jammu and Kashmir,44.67,36,40.17,90.83,137.17,120.33,123,101.67,50.33,51.5,235,143.17,135,130.83,145,113.33,49.67,312.83,26.83,20.5,36,42.17
